symbol,signal_date,entry_date,exit_date,entry_layers,layer_entry_dates,layer_entry_prices,layer_weights,total_weight,weighted_entry_price,exit_price,exit_reason,trade_return,return_at_anchor_day,post_anchor_return_contribution,extension_days_after_anchor,entry_capital,exit_capital,hold_calendar_days,hold_trading_days,repair_days,repair_date,ret_5d,close_vs_ma20
518800.SH,2016-03-24,2016-03-25,2016-04-01,1,2016-03-25,2.5380,0.50,0.5,2.5380001068115234,2.5429999828338623,fail_to_rebound_d5,0.0009850031150353544,,,0,1000000.0,1000985.0031150354,7,6,1.0,2016-03-25,-0.0340845991189699,-0.0199201440894463
518800.SH,2016-05-24,2016-05-25,2016-06-01,1,2016-05-25,2.5790,0.50,0.5,2.5789999961853027,2.555000066757202,fail_to_rebound_d5,-0.004652952590849135,,,0,1000985.0031150354,996327.46735139,7,6,2.0,2016-05-26,-0.0370631002723195,-0.0317179292474344
518800.SH,2016-08-25,2016-08-26,2016-09-27,2,2016-08-26|2016-11-15,2.8240|2.7100,0.50|0.40,0.9,2.7733332845899796,2.8540000915527344,max_hold_20d,0.02617793060425948,0.013581787785185373,0.013954321597592646,5,996327.46735139,1022409.2586508325,32,21,1.0,2016-08-26,-0.0230165606200362,-0.0170148035397653
518800.SH,2016-10-11,2016-10-12,2016-11-09,1,2016-10-12,2.7090,0.50,0.5,2.7090001106262207,2.7699999809265137,max_hold_20d,0.011258742674283617,0.02620888071766725,-0.0018456976845500073,5,1022409.2586508325,1033920.3014017873,28,21,2.0,2016-10-13,-0.0427807486631015,-0.0399828403756462
518800.SH,2016-11-14,2016-11-15,2016-11-22,1,2016-11-15,2.7100,0.50,0.5,2.7100000381469727,2.7149999141693115,fail_to_rebound_d5,0.0009224863379997394,,,0,1033920.3014017873,1034874.0787544111,7,6,1.0,2016-11-15,-0.0629940110338146,-0.0398541248793228
518800.SH,2016-11-23,2016-11-24,2016-12-01,1,2016-11-24,2.6750,0.50,0.5,2.674999952316284,2.640000104904175,fail_to_rebound_d5,-0.006542027670281447,,,0,1034874.0787544111,1028103.9038959427,7,6,1.0,2016-11-24,-0.0280366586101326,-0.0514291434555732
518800.SH,2016-12-15,2016-12-16,2016-12-23,1,2016-12-16,2.6040,0.50,0.5,2.6040000915527344,2.578000068664551,fail_to_rebound_d5,-0.004992323727738446,,,0,1028103.9038959427,1022971.2763819424,7,6,2.0,2016-12-19,-0.0359035717617506,-0.0425861154697392
518800.SH,2017-03-07,2017-03-08,2017-03-30,2,2017-03-08|2018-08-17,2.7380|2.5840,0.50|0.40,0.9,2.669555558098687,2.7769999504089355,anchor_return_break_d16,0.036223240526260206,0.04287019292236782,-0.002359933103870837,1,1022971.2763819424,1060026.6109777808,22,17,1.0,2017-03-08,-0.0299377301061005,-0.0173625590270086
518800.SH,2017-05-04,2017-05-05,2017-05-31,2,2017-05-05|2018-08-17,2.7400|2.5840,0.50|0.40,0.9,2.6706667211320667,2.776000022888184,anchor_return_break_d16,0.03549674350243175,0.04206188303081171,-0.0023589512252987846,1,1060026.6109777808,1097654.1036934112,26,17,1.0,2017-05-05,-0.0294373289619724,-0.0317551212060216
518800.SH,2017-06-21,2017-06-22,2017-07-17,2,2017-06-22|2018-08-17,2.7550|2.5840,0.50|0.40,0.9,2.679000112745497,2.683000087738037,anchor_return_break_d17,0.001343776536685759,-0.004479304564152797,0.0053751506444232764,2,1097654.1036934112,1099129.105523351,25,18,1.0,2017-06-22,-0.023098698370676,-0.0171450125954331
518800.SH,2017-09-21,2017-09-22,2017-10-24,2,2017-09-22|2018-08-17,2.7400|2.5840,0.50|0.40,0.9,2.6706667211320667,2.7260000705718994,anchor_return_break_d17,0.01864703450333165,0.021467749617606335,-0.0006739401525140513,2,1099129.105523351,1119624.603877661,32,18,1.0,2017-09-22,-0.0257416598798629,-0.020692491410434
518800.SH,2017-12-08,2017-12-11,2018-01-09,1,2017-12-11,2.6520,0.50,0.5,2.6519999504089355,2.743000030517578,max_hold_20d,0.0171568781693624,0.021116137000424473,0.006598809669150163,5,1119624.603877661,1138833.866801811,29,21,1.0,2017-12-11,-0.0262747078302355,-0.0245660622299546
518800.SH,2018-02-07,2018-02-08,2018-03-09,1,2018-02-08,2.6600,0.50,0.5,2.6600000858306885,2.687999963760376,anchor_return_break_d16,0.00526313477936291,0.015037579158775127,-0.0022556548000246535,1,1138833.866801811,1144827.702934092,29,17,2.0,2018-02-09,-0.0204630503465739,-0.0165704614336527
518800.SH,2018-04-26,2018-04-27,2018-05-29,1,2018-04-27,2.6740,0.50,0.5,2.674000024795532,2.6549999713897705,max_hold_20d,-0.0035527399456950493,-0.019820483472572703,0.006357501790591302,5,1144827.702934092,1140760.4278229396,32,21,1.0,2018-04-27,-0.0226462718252339,-0.015058804792699
518800.SH,2018-06-21,2018-06-22,2018-07-16,1,2018-06-22,2.6270,0.50,0.5,2.627000093460083,2.6489999294281006,anchor_return_break_d16,0.004187254508057681,0.008374509016115361,0.0,1,1140760.4278229396,1145537.082066955,24,17,1.0,2018-06-22,-0.0282208963405866,-0.0194341420376513
518800.SH,2018-07-17,2018-07-18,2018-08-09,1,2018-07-18,2.6330,0.50,0.5,2.632999897003174,2.640000104904175,anchor_return_break_d16,0.00132932171948974,0.004937338379271461,-0.0011393474701459905,1,1145537.082066955,1147059.8693906276,22,17,2.0,2018-07-19,-0.0224119449369251,-0.0218502039807889
518800.SH,2018-08-15,2018-08-16,2018-09-13,1,2018-08-16,2.6000,0.50,0.5,2.5999999046325684,2.624000072479248,max_hold_20d,0.004615417062884708,0.002307708531442465,0.0034615627971634755,5,1147059.8693906276,1152354.0290839635,28,21,4.0,2018-08-21,-0.0289460467529507,-0.0301617642274937
