symbol,policy_name,rebound_check_day,hold_days,signal_date,entry_date,trigger_date,exit_date,entry_price,exit_price,exit_reason,trade_return,entry_capital,exit_capital,hold_calendar_days
518800.SH,fail_to_rebound_d3_hold_10d,3,10,2021-01-08,2021-01-11,,2021-01-25,3.690000057220459,3.7699999809265137,time_exit,0.02168019579010938,1000000.0,1021680.1957901093,14
518800.SH,fail_to_rebound_d3_hold_10d,3,10,2021-02-04,2021-02-05,,2021-02-26,3.641999959945679,3.6040000915527344,time_exit,-0.01043379154609092,1021680.1957901093,1011020.197600466,21
518800.SH,fail_to_rebound_d3_hold_10d,3,10,2021-02-26,2021-03-01,2021-03-03,2021-03-04,3.5420000553131104,3.515000104904175,fail_to_rebound_d3,-0.00762279785073261,1011020.197600466,1003313.3950111499,3
518800.SH,fail_to_rebound_d3_hold_10d,3,10,2021-03-04,2021-03-05,,2021-03-19,3.440000057220459,3.5390000343322754,time_exit,0.028779062635193364,1003313.3950111499,1032187.8140489043,14
518800.SH,fail_to_rebound_d3_hold_10d,3,10,2021-03-30,2021-03-31,,2021-04-15,3.470000028610229,3.559999942779541,time_exit,0.02593657447471487,1032187.8140489043,1058959.2301598769,15
518800.SH,fail_to_rebound_d3_hold_10d,3,10,2021-06-17,2021-06-18,,2021-07-02,3.5999999046325684,3.594000101089477,time_exit,-0.001666612139453294,1058959.2301598769,1057194.3558517064,14
518800.SH,fail_to_rebound_d3_hold_10d,3,10,2021-08-06,2021-08-09,2021-08-11,2021-08-12,3.526000022888184,3.5369999408721924,fail_to_rebound_d3,0.0031196590790145695,1057194.3558517064,1060492.4418222222,3
518800.SH,fail_to_rebound_d3_hold_10d,3,10,2021-08-12,2021-08-13,,2021-08-27,3.5510001182556152,3.625999927520752,time_exit,0.021120756622779124,1060492.4418222222,1082890.8445862462,14
518800.SH,fail_to_rebound_d3_hold_10d,3,10,2021-09-16,2021-09-17,,2021-10-12,3.555999994277954,3.5390000343322754,time_exit,-0.004780641162270505,1082890.8445862462,1077713.9320403712,25
518800.SH,fail_to_rebound_d3_hold_10d,3,10,2021-11-23,2021-11-24,,2021-12-08,3.565999984741211,3.546999931335449,time_exit,-0.005328113709215487,1077713.9320403712,1071971.7496644545,14
