symbol,fund_name,group_name,history_days,history_start,history_end,signal_count,avg_return_15d,win_rate_15d,avg_drawdown_15d,avg_runup_15d,avg_proxy_turnover,score_signal,score_win,score_liquidity,score_history,composite_score,pool_tag
518880.SH,华安黄金ETF,au9999,2501,2016-01-04,2026-04-27,191,0.01411345427852561,0.7120418848167539,-0.017983230748986882,0.02778136105579959,1918738156.5963979,0.9090909090909091,0.9545454545454546,1.0,0.8636363636363636,0.9363636363636364,main_pool
518800.SH,国泰黄金ETF,au9999,2501,2016-01-04,2026-04-27,191,0.01517634821850981,0.7120418848167539,-0.019048912461800755,0.028891939045330106,218230409.0526555,1.0,0.9545454545454546,0.7272727272727273,0.8636363636363636,0.9,main_pool
159937.SZ,博时黄金ETF,au9999,2501,2016-01-04,2026-04-27,191,0.014093960952371004,0.7068062827225131,-0.0204493816192748,0.02788500339131483,407071043.69720733,0.8181818181818182,0.7727272727272727,0.8181818181818182,0.8636363636363636,0.8136363636363636,main_pool
159934.SZ,易方达黄金ETF,au9999,2501,2016-01-04,2026-04-27,191,0.013679075567563087,0.7068062827225131,-0.01860162494231624,0.027480267302471127,617846735.6553223,0.7272727272727273,0.7727272727272727,0.9090909090909091,0.8636363636363636,0.8045454545454545,main_pool
518660.SH,工银黄金ETF,au9999,1439,2020-04-24,2026-04-27,116,0.013677700827976754,0.6896551724137931,-0.021643633384026643,0.03687766765078407,92665685.20465173,0.6363636363636364,0.5,0.5454545454545454,0.5909090909090909,0.5727272727272728,extended_pool
518850.SH,华安黄金ETF9999,au9999,1405,2020-06-05,2026-04-27,115,0.01357956377573431,0.7043478260869566,-0.020232584562706137,0.029438160104470052,181259901.75360456,0.45454545454545453,0.6363636363636364,0.6363636363636364,0.45454545454545453,0.5454545454545454,extended_pool
518680.SH,富国上海金ETF,shanghai_gold,1393,2020-07-28,2026-04-27,115,0.013637731305528911,0.6869565217391305,-0.023542404621629782,0.03338245418773582,80924326.83968247,0.5454545454545454,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.40454545454545454,extended_pool
159812.SZ,前海开源黄金ETF,au9999,1439,2020-04-29,2026-04-27,116,0.01341625012947981,0.6896551724137931,-0.021320012324262616,0.03271960594667052,9746426.259295557,0.36363636363636365,0.5,0.09090909090909091,0.5909090909090909,0.3636363636363636,extended_pool
518890.SH,中银上海金ETF,shanghai_gold,1354,2020-08-28,2026-04-27,109,0.013259775041589148,0.6880733944954128,-0.024442859558032888,0.04368535289749645,22805175.779158358,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.2818181818181818,extended_pool
518600.SH,广发上海金ETF,shanghai_gold,1387,2020-08-05,2026-04-27,115,0.012239889762202616,0.6695652173913044,-0.021635787951801478,0.030798734950868146,81567063.29029284,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.2636363636363636,extended_pool
518860.SH,建信上海金AUETF,shanghai_gold,1342,2020-09-08,2026-04-27,112,0.01197320650895301,0.6428571428571429,-0.02550759776865096,0.03723852564555981,13515658.52159377,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.11363636363636365,extended_pool
