symbol,config_name,signal_date,entry_date,final_exit_date,entry_layers,layer_entry_dates,layer_entry_prices,layer_weights,total_weight,weighted_entry_price,event_dates,event_prices,event_weights,event_reasons,partial_exit_ratio,partial_exit_condition,trailing_drawdown,trailing_start_day,max_hold_days,loss_anchor_action,trade_return,return_at_anchor_day,entry_capital,exit_capital,hold_calendar_days,hold_trading_days,repair_days,repair_date,ret_5d,close_vs_ma20
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2016-03-24,2016-03-25,2016-04-01,1,2016-03-25,2.5380,0.50,0.5,2.5380001068115234,2016-04-01,2.5430,0.5000,fail_to_rebound_d5,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,0.0009850031150353544,0.007880212799376007,1000000.0,1000985.0031150354,7,6,1.0,2016-03-25,-0.0340845991189699,-0.0199201440894463
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2016-05-24,2016-05-25,2016-06-01,1,2016-05-25,2.5790,0.50,0.5,2.5789999961853027,2016-06-01,2.5550,0.5000,fail_to_rebound_d5,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,-0.004652952590849135,0.06901898936037454,1000985.0031150354,996327.46735139,7,6,2.0,2016-05-26,-0.0370631002723195,-0.0317179292474344
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2016-08-25,2016-08-26,2016-09-30,2,2016-08-26|2016-11-15,2.8240|2.7100,0.50|0.40,0.9,2.7733332845899796,2016-09-20|2016-09-30,2.8100|2.8230,0.6300|0.2700,partial_anchor_return_gt_0.01_d15|trail_dd_0.010_d23,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,0.013164662056081687,0.013581787785185373,996327.46735139,1009443.7817562629,35,24,1.0,2016-08-26,-0.0230165606200362,-0.0170148035397653
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2016-10-11,2016-10-12,2016-11-11,1,2016-10-12,2.7090,0.50,0.5,2.7090001106262207,2016-11-02|2016-11-11,2.7960|2.7720,0.3500|0.1500,partial_anchor_return_gt_0.01_d15|trail_dd_0.010_d22,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,0.01472866576251255,0.02620888071766725,1009443.7817562629,1024311.5418237975,30,23,2.0,2016-10-13,-0.0427807486631015,-0.0399828403756462
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2016-11-14,2016-11-15,2016-11-22,1,2016-11-15,2.7100,0.50,0.5,2.7100000381469727,2016-11-22,2.7150,0.5000,fail_to_rebound_d5,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,0.0009224863379997394,-0.029151289694933302,1024311.5418237975,1025256.4552269854,7,6,1.0,2016-11-15,-0.0629940110338146,-0.0398541248793228
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2016-11-23,2016-11-24,2016-12-01,1,2016-11-24,2.6750,0.50,0.5,2.674999952316284,2016-12-01,2.6400,0.5000,fail_to_rebound_d5,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,-0.006542027670281447,-0.01383175384364177,1025256.4552269854,1018549.1991277558,7,6,1.0,2016-11-24,-0.0280366586101326,-0.0514291434555732
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2016-12-15,2016-12-16,2016-12-23,1,2016-12-16,2.6040,0.50,0.5,2.6040000915527344,2016-12-23,2.5780,0.5000,fail_to_rebound_d5,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,-0.004992323727738446,0.008832565706107243,1018549.1991277558,1013464.2717930813,7,6,2.0,2016-12-19,-0.0359035717617506,-0.0425861154697392
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2017-03-07,2017-03-08,2017-04-25,2,2017-03-08|2018-08-17,2.7380|2.5840,0.50|0.40,0.9,2.669555558098687,2017-03-29|2017-04-25,2.7720|2.8140,0.6300|0.2700,partial_anchor_return_gt_0.01_d15|trail_dd_0.010_d32,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,0.03878548805868848,0.04287019292236782,1013464.2717930813,1052771.9782046191,48,33,1.0,2017-03-08,-0.0299377301061005,-0.0173625590270086
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2017-05-04,2017-05-05,2017-06-12,2,2017-05-05|2018-08-17,2.7400|2.5840,0.50|0.40,0.9,2.6706667211320667,2017-05-26|2017-06-12,2.7780|2.7730,0.6300|0.2700,partial_anchor_return_gt_0.01_d15|trail_dd_0.010_d24,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,0.035665260678860174,0.04206188303081171,1052771.9782046191,1090319.3652426861,38,25,1.0,2017-05-05,-0.0294373289619724,-0.0317551212060216
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2017-06-21,2017-06-22,2017-09-14,2,2017-06-22|2018-08-17,2.7550|2.5840,0.50|0.40,0.9,2.679000112745497,2017-09-14,2.7700,0.9000,anchor_loss_max_hold_60d,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,0.030571063051946703,-0.004479304564152797,1090319.3652426861,1123651.5873042787,84,61,1.0,2017-06-22,-0.023098698370676,-0.0171450125954331
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2017-09-21,2017-09-22,2017-12-04,2,2017-09-22|2018-08-17,2.7400|2.5840,0.50|0.40,0.9,2.6706667211320667,2017-10-20|2017-12-04,2.7300|2.7010,0.6300|0.2700,partial_anchor_return_gt_0.01_d15|trail_dd_0.010_d46,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,0.017063138557148787,0.021467749617606335,1123651.5873042787,1142824.6100284117,73,47,1.0,2017-09-22,-0.0257416598798629,-0.020692491410434
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2017-12-08,2017-12-11,2018-01-22,1,2017-12-11,2.6520,0.50,0.5,2.6519999504089355,2018-01-02|2018-01-22,2.7150|2.7370,0.3500|0.1500,partial_anchor_return_gt_0.01_d15|trail_dd_0.010_d29,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,0.013122169565957697,0.021116137000424473,1142824.6100284117,1157820.948345354,42,30,1.0,2017-12-11,-0.0262747078302355,-0.0245660622299546
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2018-02-07,2018-02-08,2018-03-30,1,2018-02-08,2.6600,0.50,0.5,2.6600000858306885,2018-03-08|2018-03-30,2.6960|2.6700,0.3500|0.1500,partial_anchor_return_gt_0.01_d15|trail_dd_0.010_d31,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,0.005300752927641149,0.015037579158775127,1157820.948345354,1163958.27112698,50,32,2.0,2018-02-09,-0.0204630503465739,-0.0165704614336527
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2018-04-26,2018-04-27,2018-07-25,1,2018-04-27,2.6740,0.50,0.5,2.674000024795532,2018-07-25,2.6500,0.5000,anchor_loss_max_hold_60d,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,-0.004487645700365084,-0.019820483472572703,1163958.27112698,1158734.8387961525,89,61,1.0,2018-04-27,-0.0226462718252339,-0.015058804792699
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2018-08-15,2018-08-16,2018-10-08,1,2018-08-16,2.6000,0.50,0.5,2.5999999046325684,2018-10-08,2.6130,0.5000,trail_dd_0.010_d31,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,0.0025000022924863696,0.002307708531442465,1158734.8387961525,1161631.6785495267,53,32,4.0,2018-08-21,-0.0289460467529507,-0.0301617642274937
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2018-11-12,2018-11-13,2019-01-09,1,2018-11-13,2.6760,0.50,0.5,2.6760001182556152,2019-01-09,2.8040,0.5000,trail_dd_0.010_d39,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,0.023916251290320267,0.008221164049259544,1161631.6785495267,1189413.553680514,57,40,3.0,2018-11-15,-0.0231744989985629,-0.0186860237717689
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2019-03-01,2019-03-04,2019-04-01,1,2019-03-04,2.7790,0.50,0.5,2.7790000438690186,2019-03-25|2019-04-01,2.8260|2.7660,0.3500|0.1500,partial_anchor_return_gt_0.01_d15|trail_dd_0.010_d20,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,0.0052176948621441,0.012234587749060166,1189413.553680514,1195619.5506685174,28,21,5.0,2019-03-08,-0.0246764429451676,-0.0158993861040442
518800.SH,p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,2019-04-16,2019-04-17,2019-04-24,1,2019-04-17,2.7500,0.50,0.5,2.75,2019-04-24,2.7340,0.5000,fail_to_rebound_d5,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,-0.0029090968045322185,0.032000021501021214,1195619.5506685174,1192141.3776542314,7,6,4.0,2019-04-22,-0.0237054272451572,-0.0189299113864139
