config_name,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,partial_exit_ratio,partial_exit_condition,trailing_drawdown,trailing_start_day,max_hold_days,loss_anchor_action
p0.00_calways_dd0.010_s12_h20_loss_time_exit_20d,61,2030400.2110790985,1.0304002110790984,-0.14271275123632388,7.220099130264938,0.639344262295082,0.011921316591925003,0.005711081429290755,15.311475409836065,17.0,0.0,always,0.01,12,20,time_exit_20d
p0.00_calways_dd0.010_s12_h20_loss_no_partial_trailing,61,1984945.801574945,0.984945801574945,-0.14271275123632388,6.901596339796806,0.6065573770491803,0.011550460138676139,0.005033565817238683,15.049180327868852,16.0,0.0,always,0.01,12,20,no_partial_trailing
p0.00_calways_dd0.010_s12_h20_loss_hold_to_max,61,2030400.2110790985,1.0304002110790984,-0.14271275123632388,7.220099130264938,0.639344262295082,0.011921316591925003,0.005711081429290755,15.311475409836065,17.0,0.0,always,0.01,12,20,hold_to_max
p0.00_calways_dd0.010_s12_h30_loss_time_exit_20d,61,1989886.9904652592,0.9898869904652592,-0.14271275123632376,6.936219657247485,0.639344262295082,0.011589161166025243,0.00514819222116254,16.508196721311474,17.0,0.0,always,0.01,12,30,time_exit_20d
p0.00_calways_dd0.010_s12_h30_loss_no_partial_trailing,61,1896741.9039616175,0.8967419039616176,-0.14271275123632376,6.283544365819608,0.6065573770491803,0.010794298959741037,0.004423077452112234,16.475409836065573,16.0,0.0,always,0.01,12,30,no_partial_trailing
p0.00_calways_dd0.010_s12_h30_loss_hold_to_max,61,2060576.190790743,1.060576190790743,-0.14271275123632388,7.4315447050312375,0.6557377049180327,0.012179322289718198,0.00514819222116254,17.491803278688526,17.0,0.0,always,0.01,12,30,hold_to_max
p0.00_calways_dd0.010_s12_h45_loss_time_exit_20d,61,1975498.6735647502,0.9754986735647502,-0.14271275123632376,6.835399535878772,0.639344262295082,0.011463096171447282,0.00514819222116254,16.75409836065574,17.0,0.0,always,0.01,12,45,time_exit_20d
p0.00_calways_dd0.010_s12_h45_loss_no_partial_trailing,61,1876664.2765974693,0.8766642765974693,-0.14271275123632376,6.142858777529737,0.6065573770491803,0.01061305744531163,0.004049615926433492,16.80327868852459,16.0,0.0,always,0.01,12,45,no_partial_trailing
p0.00_calways_dd0.010_s12_h45_loss_hold_to_max,60,2118496.823242076,1.1184968232420762,-0.14271275123632388,7.837399346256815,0.65,0.012867785135125652,0.0064018390153586235,18.783333333333335,16.5,0.0,always,0.01,12,45,hold_to_max
p0.00_calways_dd0.010_s12_h60_loss_time_exit_20d,61,1975498.6735647502,0.9754986735647502,-0.14271275123632376,6.835399535878772,0.639344262295082,0.011463096171447282,0.00514819222116254,16.75409836065574,17.0,0.0,always,0.01,12,60,time_exit_20d
p0.00_calways_dd0.010_s12_h60_loss_no_partial_trailing,61,1876664.2765974693,0.8766642765974693,-0.14271275123632376,6.142858777529737,0.6065573770491803,0.01061305744531163,0.004049615926433492,16.80327868852459,16.0,0.0,always,0.01,12,60,no_partial_trailing
p0.00_calways_dd0.010_s12_h60_loss_hold_to_max,59,2199701.257899402,1.199701257899402,-0.14271275123632388,8.406405506910644,0.6610169491525424,0.013759546751069128,0.007192260807632911,20.016949152542374,16.0,0.0,always,0.01,12,60,hold_to_max
