config_name,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,partial_exit_ratio,partial_exit_condition,trailing_drawdown,trailing_start_day,max_hold_days,loss_anchor_action,beats_live_return_drawdown_ratio,defensive_candidate
p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,54,2409336.1168546025,1.4093361168546026,-0.14271275123632388,9.875334226587961,0.7592592592592593,0.01669506655302135,0.015210033126792335,25.462962962962962,24.0,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,True,False
p0.70_canchor_return_gt_0.01_dd0.015_s15_h60_loss_hold_to_max,58,2406692.4736218,1.4066924736218,-0.14271275123632365,9.856810000757415,0.6896551724137931,0.015552465160383796,0.013754690182947827,25.120689655172413,22.5,0.7,anchor_return_gt_0.01,0.015,15,60,hold_to_max,True,False
p0.70_canchor_return_gt_0.01_dd0.015_s18_h60_loss_hold_to_max,52,2400305.205657915,1.400305205657915,-0.14271275123632365,9.81205388815674,0.75,0.01727216238407458,0.016429546292703223,28.942307692307693,25.0,0.7,anchor_return_gt_0.01,0.015,18,60,hold_to_max,True,False
p0.50_canchor_return_gt_0.01_dd0.015_s15_h60_loss_hold_to_max,58,2399620.8892125036,1.3996208892125037,-0.14271275123632376,9.807258826471752,0.6724137931034483,0.01551182874980078,0.013859110168858907,25.120689655172413,22.5,0.5,anchor_return_gt_0.01,0.015,15,60,hold_to_max,True,False
p0.70_canchor_return_gt_0.01_dd0.012_s18_h60_loss_hold_to_max,53,2399561.4215638633,1.3995614215638632,-0.14271275123632376,9.806842131760696,0.7547169811320755,0.01693751692773887,0.016076813217511268,26.09433962264151,24.0,0.7,anchor_return_gt_0.01,0.012,18,60,hold_to_max,True,False
p0.30_canchor_return_gt_0.01_dd0.015_s15_h60_loss_hold_to_max,58,2391976.878182195,1.391976878182195,-0.14271275123632376,9.753696611714567,0.6551724137931034,0.015471192339217768,0.012725617535929701,25.120689655172413,22.5,0.3,anchor_return_gt_0.01,0.015,15,60,hold_to_max,True,False
p0.70_canchor_return_gt_0.01_dd0.020_s15_h60_loss_hold_to_max,54,2385744.2178278086,1.3857442178278085,-0.14271275123632376,9.710023847365251,0.7777777777777778,0.016520943219067972,0.013568401379924246,28.14814814814815,24.5,0.7,anchor_return_gt_0.01,0.02,15,60,hold_to_max,True,False
p0.70_canchor_return_gt_0.01_dd0.015_s12_h60_loss_hold_to_max,58,2384510.9203005875,1.3845109203005874,-0.14271275123632365,9.701382030032631,0.6896551724137931,0.015392092768204102,0.012281748226410687,23.810344827586206,20.5,0.7,anchor_return_gt_0.01,0.015,12,60,hold_to_max,True,False
p0.00_calways_dd0.015_s15_h60_loss_hold_to_max,58,2379450.8980806023,1.3794508980806022,-0.14271275123632376,9.665926037655277,0.6379310344827587,0.015410237723343245,0.010841396616671994,25.120689655172413,22.5,0.0,always,0.015,15,60,hold_to_max,True,False
p0.70_canchor_return_gt_0.01_dd0.020_s12_h60_loss_hold_to_max,54,2375920.410647127,1.3759204106471268,-0.14271275123632365,9.641187621480901,0.7777777777777778,0.016445588273211926,0.012281748226410687,27.444444444444443,24.0,0.7,anchor_return_gt_0.01,0.02,12,60,hold_to_max,True,False
