year,sample_count,compounded_trade_return,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,max_single_trade_return,min_single_trade_return
2016,7,0.013464271793081295,0.5714285714285714,0.0019447876118229002,0.0009224863379997394,11.0,0.01472866576251255,-0.006542027670281447
2017,5,0.14243884127939554,1.0,0.02704142398252037,0.030571063051946703,39.2,0.03878548805868848,0.013122169565957697
2018,4,0.0272862616454721,0.75,0.006807340202520676,0.0039003776100637595,41.25,0.023916251290320267,-0.004487645700365084
2019,4,0.039409061839417614,0.75,0.009805233523302526,0.004382896135286898,29.5,0.03336423862716853,-0.0029090968045322185
2020,5,0.22002253502671087,0.8,0.04124045680476596,0.02980488980869913,27.8,0.10103527428045118,-0.010541761998219934
2021,5,0.07046899039050514,0.8,0.013776049239858068,0.01745603658798801,34.6,0.025749804744164866,-0.0015277664271398095
2022,7,0.12664687864464974,0.8571428571428571,0.01728033420740018,0.016941271478738817,26.0,0.036110838769155204,-0.010273800147545926
2023,5,0.038961655026830355,0.6,0.007796776322598306,0.0029219373633466716,16.4,0.03290306151543332,-0.010072455931420088
2024,4,0.050054067272971015,0.75,0.012384300013327446,0.014712423623980125,23.0,0.029681323269563655,-0.009568970464214122
2025,5,0.09357467669055497,0.8,0.018194202770825132,0.015691400491072118,20.0,0.04510927571027516,-0.004376196564493562
2026,3,0.11016778757625723,0.6666666666666666,0.036908566856383135,0.049873942246090486,17.0,0.09636439519100135,-0.03551263686794242
