config_name,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,partial_exit_ratio,partial_exit_condition,trailing_drawdown,trailing_start_day,max_hold_days,loss_anchor_action
p0.50_canchor_return_gt_0.005_dd0.008_s15_h45_loss_hold_to_max,60,2175367.852805476,1.175367852805476,-0.14271275123632365,8.235899333614123,0.6833333333333333,0.013289394966494632,0.010747760955788194,19.25,19.0,0.5,anchor_return_gt_0.005,0.008,15,45,hold_to_max
p0.50_canchor_return_gt_0.005_dd0.008_s15_h60_loss_hold_to_max,59,2255847.7412121324,1.2558477412121323,-0.14271275123632376,8.799828539024684,0.6949152542372882,0.014167010527443364,0.011270693573603163,20.491525423728813,19.0,0.5,anchor_return_gt_0.005,0.008,15,60,hold_to_max
p0.50_canchor_return_gt_0.005_dd0.008_s18_h45_loss_hold_to_max,56,2160742.120924589,1.1607421209245894,-0.14721144940087438,7.884863070424297,0.7321428571428571,0.014091145176535333,0.013548896421009676,22.375,23.5,0.5,anchor_return_gt_0.005,0.008,18,45,hold_to_max
p0.50_canchor_return_gt_0.005_dd0.008_s18_h60_loss_hold_to_max,55,2284177.2508808044,1.2841772508808043,-0.1472114494008746,8.723351723708895,0.7454545454545455,0.015401981512547631,0.013875487703593092,24.036363636363635,24.0,0.5,anchor_return_gt_0.005,0.008,18,60,hold_to_max
p0.50_canchor_return_gt_0.005_dd0.010_s15_h45_loss_hold_to_max,59,2181010.2492370484,1.1810102492370484,-0.14271275123632365,8.27543607004932,0.6779661016949152,0.013562586799562374,0.012753502953217788,21.016949152542374,21.0,0.5,anchor_return_gt_0.005,0.01,15,45,hold_to_max
p0.50_canchor_return_gt_0.005_dd0.010_s15_h60_loss_hold_to_max,58,2250164.177119353,1.2501641771193528,-0.14271275123632365,8.760003337397348,0.6896551724137931,0.014369495082106165,0.013205828508953372,22.448275862068964,21.0,0.5,anchor_return_gt_0.005,0.01,15,60,hold_to_max
p0.50_canchor_return_gt_0.005_dd0.010_s18_h45_loss_hold_to_max,55,2170390.7275402956,1.1703907275402954,-0.1472114494008746,7.950405571737696,0.7454545454545455,0.014430656317470423,0.013875487703593092,23.727272727272727,24.0,0.5,anchor_return_gt_0.005,0.01,18,45,hold_to_max
p0.50_canchor_return_gt_0.005_dd0.010_s18_h60_loss_hold_to_max,54,2302073.8290308528,1.302073829030853,-0.1472114494008745,8.84492228240447,0.7592592592592593,0.015832677810771786,0.013980073897169942,25.462962962962962,24.0,0.5,anchor_return_gt_0.005,0.01,18,60,hold_to_max
p0.50_canchor_return_gt_0.005_dd0.012_s15_h45_loss_hold_to_max,58,2177245.961764698,1.1772459617646978,-0.14271275123632376,8.249059397749603,0.6724137931034483,0.013773783757941903,0.012556713103863942,21.5,21.0,0.5,anchor_return_gt_0.005,0.012,15,45,hold_to_max
p0.50_canchor_return_gt_0.005_dd0.012_s15_h60_loss_hold_to_max,57,2262405.808550879,1.262405808550879,-0.14271275123632376,8.845781456909975,0.6842105263157895,0.014724441076914051,0.013842732634124721,23.105263157894736,21.0,0.5,anchor_return_gt_0.005,0.012,15,60,hold_to_max
