config_name,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,partial_exit_ratio,partial_exit_condition,trailing_drawdown,trailing_start_day,max_hold_days,loss_anchor_action,beats_live_return_drawdown_ratio,defensive_candidate
p0.70_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,54,2409336.1168546025,1.4093361168546026,-0.14271275123632388,9.875334226587961,0.7592592592592593,0.01669506655302135,0.015210033126792335,25.462962962962962,24.0,0.7,anchor_return_gt_0.01,0.01,18,60,hold_to_max,True,False
p0.70_canchor_return_gt_0.01_dd0.015_s15_h60_loss_hold_to_max,58,2406692.4736218,1.4066924736218,-0.14271275123632365,9.856810000757415,0.6896551724137931,0.015552465160383796,0.013754690182947827,25.120689655172413,22.5,0.7,anchor_return_gt_0.01,0.015,15,60,hold_to_max,True,False
p0.60_canchor_return_gt_0.01_dd0.015_s15_h60_loss_hold_to_max,58,2403228.6010090923,1.4032286010090922,-0.14271275123632376,9.832538360117729,0.6724137931034483,0.01553214695509229,0.013839700636116992,25.120689655172413,22.5,0.6,anchor_return_gt_0.01,0.015,15,60,hold_to_max,True,False
p0.70_canchor_return_gt_0.01_dd0.015_s18_h60_loss_hold_to_max,52,2400305.205657915,1.400305205657915,-0.14271275123632365,9.81205388815674,0.75,0.01727216238407458,0.016429546292703223,28.942307692307693,25.0,0.7,anchor_return_gt_0.01,0.015,18,60,hold_to_max,True,False
p0.50_canchor_return_gt_0.01_dd0.015_s15_h60_loss_hold_to_max,58,2399620.8892125036,1.3996208892125037,-0.14271275123632376,9.807258826471752,0.6724137931034483,0.01551182874980078,0.013859110168858907,25.120689655172413,22.5,0.5,anchor_return_gt_0.01,0.015,15,60,hold_to_max,True,False
p0.70_canchor_return_gt_0.01_dd0.012_s18_h60_loss_hold_to_max,53,2399561.4215638633,1.3995614215638632,-0.14271275123632376,9.806842131760696,0.7547169811320755,0.01693751692773887,0.016076813217511268,26.09433962264151,24.0,0.7,anchor_return_gt_0.01,0.012,18,60,hold_to_max,True,False
p0.60_canchor_return_gt_0.01_dd0.010_s18_h60_loss_hold_to_max,54,2386316.6119618784,1.3863166119618784,-0.14458299359820914,9.588379500665214,0.7592592592592593,0.016512368595567237,0.015017580951545305,25.462962962962962,24.0,0.6,anchor_return_gt_0.01,0.01,18,60,hold_to_max,True,False
p0.60_canchor_return_gt_0.01_dd0.015_s18_h60_loss_hold_to_max,52,2380237.007359828,1.380237007359828,-0.14458299359820914,9.546330263401906,0.7307692307692307,0.017108875633734907,0.016283401418507544,28.942307692307693,25.0,0.6,anchor_return_gt_0.01,0.015,18,60,hold_to_max,True,False
p0.70_canchor_return_gt_0.01_dd0.008_s18_h60_loss_hold_to_max,55,2358390.789053176,1.3583907890531761,-0.14271275123632376,9.518356119445574,0.7454545454545455,0.015997692735993677,0.01329185401374805,24.036363636363635,24.0,0.7,anchor_return_gt_0.01,0.008,18,60,hold_to_max,True,False
p0.70_canchor_return_gt_0.01_dd0.012_s15_h60_loss_hold_to_max,57,2355198.2337026605,1.3551982337026605,-0.14271275123632365,9.495985621204474,0.7017543859649122,0.015437893829159522,0.012911916444237604,23.105263157894736,21.0,0.7,anchor_return_gt_0.01,0.012,15,60,hold_to_max,True,False
