signal_date,entry_date,final_exit_date,branch,entry_layers,total_weight,cost,d15_date,d15_close_ret,d16_close_ret,d18_close_ret,d20_close_ret,max_ret_d15_d20,max_ret_day_d15_d20,trade_return_weighted,hold_trading_days,event_reasons,event_dates,event_prices,event_weights
2016-03-24,2016-03-25,2016-04-01,fail_d5,1,0.5,2.5380001068115234,2016-04-15,0.007880212799376007,0.005516130171653755,0.01694246691261303,0.01970053199844002,0.028762786111676597,19,0.0009850031150353,6,fail_to_rebound_d5,2016-04-01,2.5430,0.5000
2016-05-24,2016-05-25,2016-06-01,fail_d5,1,0.5,2.5789999961853027,2016-06-16,0.06901898936037454,0.04381539986188554,0.04497864956536457,0.03140755710166587,0.06901898936037454,15,-0.0046529525908491,6,fail_to_rebound_d5,2016-06-01,2.5550,0.5000
2016-08-25,2016-08-26,2016-10-11,d15_hit_partial,2,0.9,2.77333328458998,2016-09-19,0.013581787785185373,0.015384627728772582,0.025120186941565592,0.026201925295013417,0.02656247609008333,19,0.0023581655394097,26,partial_anchor_hit_d15|trail_dd_0.012_d25,2016-09-20|2016-10-11,2.8100|2.7120,0.6300|0.2700
2016-10-11,2016-10-12,2016-11-11,d15_hit_partial,1,0.5,2.7090001106262207,2016-11-01,0.02620888071766725,0.035437413145321006,0.030638590364510332,0.026947194995410095,0.03802138110271014,17,0.0147286657625125,23,partial_anchor_hit_d15|trail_dd_0.012_d22,2016-11-02|2016-11-11,2.7960|2.7720,0.3500|0.1500
2016-11-14,2016-11-15,2016-11-22,fail_d5,1,0.5,2.7100000381469727,2016-12-05,-0.029151289694933302,-0.030627285431199747,-0.024354237569066628,-0.03136532728800012,-0.024354237569066628,18,0.0009224863379997,6,fail_to_rebound_d5,2016-11-22,2.7150,0.5000
2016-11-23,2016-11-24,2016-12-01,fail_d5,1,0.5,2.674999952316284,2016-12-14,-0.01383175384364177,-0.023925193428773972,-0.024299087244534445,-0.03214952044887209,-0.01383175384364177,15,-0.0065420276702814,6,fail_to_rebound_d5,2016-12-01,2.6400,0.5000
2016-12-15,2016-12-16,2016-12-23,fail_d5,1,0.5,2.6040000915527344,2017-01-06,0.008832565706107243,0.01228871939562537,0.023425448600472132,0.022657455139952765,0.025345615368951746,19,-0.0049923237277384,6,fail_to_rebound_d5,2016-12-23,2.5780,0.5000
2017-03-07,2017-03-08,2017-04-25,d15_hit_partial,2,0.9,2.669555558098687,2017-03-28,0.04287019292236782,0.040248045029178,0.032381601349608324,0.04287019292236782,0.04287019292236782,15,0.0387854880586884,33,partial_anchor_hit_d15|trail_dd_0.012_d32,2017-03-29|2017-04-25,2.7720|2.8140,0.6300|0.2700
2017-05-04,2017-05-05,2017-06-12,d15_hit_partial,2,0.9,2.6706667211320667,2017-05-25,0.04206188303081171,0.04093856017023301,0.03644526872791731,0.0465551744731274,0.0465551744731274,20,0.0356652606788601,25,partial_anchor_hit_d15|trail_dd_0.012_d24,2017-05-26|2017-06-12,2.7780|2.7730,0.6300|0.2700
2017-06-21,2017-06-22,2017-09-14,unmet_d60,2,0.9,2.679000112745497,2017-07-12,-0.004479304564152797,-0.0011198187247583036,0.002239578119276331,0.006345646032545282,0.006345646032545282,20,0.0305710630519467,61,anchor_unmet_exit_d60,2017-09-14,2.7700,0.9000
2017-09-21,2017-09-22,2017-12-04,d15_hit_partial,2,0.9,2.6706667211320667,2017-10-19,0.021467749617606335,0.02184225008650298,0.021467749617606335,0.020718927225924055,0.02184225008650298,16,0.0170631385571487,47,partial_anchor_hit_d15|trail_dd_0.012_d46,2017-10-20|2017-12-04,2.7300|2.7010,0.6300|0.2700
2017-12-08,2017-12-11,2018-01-22,d15_hit_partial,1,0.5,2.6519999504089355,2017-12-29,0.021116137000424473,0.029411791147478494,0.029034744563975368,0.033182526686788893,0.033182526686788893,19,0.0131221695659576,30,partial_anchor_hit_d15|trail_dd_0.012_d29,2018-01-02|2018-01-22,2.7150|2.7370,0.3500|0.1500
2018-02-07,2018-02-08,2018-03-30,d15_hit_partial,1,0.5,2.6600000858306885,2018-03-07,0.015037579158775127,0.012781924358750363,0.007142787358688896,0.008270614758701056,0.015037579158775127,15,0.0053007529276411,32,partial_anchor_hit_d15|trail_dd_0.012_d31,2018-03-08|2018-03-30,2.6960|2.6700,0.3500|0.1500
2018-04-26,2018-04-27,2018-07-25,unmet_d60,1,0.5,2.674000024795532,2018-05-21,-0.019820483472572703,-0.017202693862433338,-0.010471247602328315,-0.009723269501529352,-0.005983557321077471,19,-0.004487645700365,61,anchor_unmet_exit_d60,2018-07-25,2.6500,0.5000
2018-08-15,2018-08-16,2018-11-16,unmet_d60,1,0.5,2.5999999046325684,2018-09-05,0.002307708531442465,0.0057692713286059405,0.00653853807223892,0.008076979860048183,0.008076979860048183,17,0.0163461617816838,61,anchor_unmet_exit_d60,2018-11-16,2.6850,0.5000
2019-03-01,2019-03-04,2019-04-01,d15_hit_partial,1,0.5,2.7790000438690186,2019-03-22,0.012234587749060166,0.016912533498925297,0.017632250457726872,-0.004318130166933276,0.017992066040658505,17,0.0052176948621441,21,partial_anchor_hit_d15|trail_dd_0.012_d20,2019-03-25|2019-04-01,2.8260|2.7660,0.3500|0.1500
2019-04-16,2019-04-17,2019-04-24,fail_d5,1,0.5,2.75,2019-05-14,0.032000021501021214,0.02581821788441041,0.02909088134765625,0.021818161010742188,0.032000021501021214,15,-0.0029090968045322,6,fail_to_rebound_d5,2019-04-24,2.7340,0.5000
2019-09-10,2019-09-11,2019-10-15,d15_hit_partial,1,0.5,3.368000030517578,2019-10-09,0.01336106766217271,0.007125869718122457,-0.011876473126658627,-0.013954848844887513,0.01336106766217271,15,0.0035926309971333,19,partial_anchor_hit_d15|trail_dd_0.012_d18,2019-10-10|2019-10-15,3.4180|3.3320,0.3500|0.1500
2019-11-07,2019-11-08,2020-02-11,unmet_d60,1,0.5,3.236999988555908,2019-11-28,-0.0009267905441586732,0.00030890562999297266,0.003707162176634249,0.01760887303065295,0.02224282575144576,19,0.0333642386271685,61,anchor_unmet_exit_d60,2020-02-11,3.4530,0.5000
2020-02-28,2020-03-02,2020-05-29,unmet_d60,2,0.9,3.434444348017375,2020-03-20,-0.0339048352561897,-0.03594300177545884,0.03393730060163169,0.04267232972128787,0.04267232972128787,20,0.1010352742804511,61,anchor_unmet_exit_d60,2020-05-29,3.8200,0.9000
2020-06-05,2020-06-08,2020-07-20,d15_hit_partial,2,0.9,3.6437777413262262,2020-06-30,0.0640056470757655,0.07086661904595881,0.06455448819162801,0.06345674052820138,0.07086661904595881,16,0.0598774318091885,29,partial_anchor_hit_d15|trail_dd_0.012_d28,2020-07-01|2020-07-20,3.8910|3.8750,0.6300|0.2700
2020-08-24,2020-08-25,2020-09-23,d15_hit_partial,2,0.9,3.8943333095974393,2020-09-14,0.039972665091041026,0.04382438123681354,0.033039404607262624,0.0374047726979605,0.04382438123681354,16,0.0298048898086991,22,partial_anchor_hit_d15|trail_dd_0.012_d21,2020-09-15|2020-09-23,4.0560|3.9470,0.6300|0.2700
2020-09-23,2020-09-24,2020-10-30,d15_hit_partial,2,0.9,3.789222187466092,2020-10-22,0.037416071108427484,0.03398528484123697,0.03847168313213456,0.024484650787493623,0.03873563332820362,19,0.0260264501237108,21,partial_anchor_hit_d15|trail_dd_0.012_d20,2020-10-23|2020-10-30,3.9120|3.8680,0.6300|0.2700
2020-11-23,2020-11-24,2020-12-01,fail_d5,2,0.9,3.642666710747613,2020-12-14,0.016013890121965968,0.024249606911881383,0.03660321482258411,0.056917969814043845,0.056917969814043845,20,-0.0105417619982199,6,fail_to_rebound_d5,2020-12-01,3.6000,0.9000
2021-01-08,2021-01-11,2021-02-05,d15_hit_partial,2,0.9,3.6171111530727815,2021-01-29,0.03480370718988057,0.04613868906870655,0.027062690902758924,0.0074338053753582045,0.04613868906870655,16,0.0239583251154334,20,partial_anchor_hit_d15|trail_dd_0.012_d19,2021-02-01|2021-02-05,3.7440|3.6420,0.6300|0.2700
2021-02-18,2021-02-19,2021-05-20,unmet_d60,1,0.5,3.586999893188477,2021-03-11,-0.013381617029693982,-0.027042064828585954,-0.01589069514803898,-0.004460494698293904,-0.004460494698293904,20,0.024811850713142,61,anchor_unmet_exit_d60,2021-05-20,3.7650,0.5000
2021-06-17,2021-06-18,2021-06-25,fail_d5,1,0.5,3.5999999046325684,2021-07-08,0.009166664790223988,0.012500021523900173,0.015277796726168358,0.023611122332973578,0.023611122332973578,20,-0.0015277664271398,6,fail_to_rebound_d5,2021-06-25,3.5890,0.5000
