symbol,config_name,signal_date,entry_date,final_exit_date,entry_layers,layer_entry_dates,layer_entry_prices,layer_weights,total_weight,weighted_entry_price,event_dates,event_prices,event_weights,event_reasons,trade_return,entry_capital,exit_capital,hold_calendar_days,hold_trading_days,ret_5d,close_vs_ma20
518800.SH,p0.70_thr0.010_win15_dd0.012_off2_unmet60,2016-03-24,2016-03-25,2016-04-01,1,2016-03-25,2.5380,0.50,0.5,2.5380001068115234,2016-04-01,2.5430,0.5000,fail_to_rebound_d5,0.0009850031150353544,1000000.0,1000985.0031150354,7,6,-0.0340845991189699,-0.0199201440894463
518800.SH,p0.70_thr0.010_win15_dd0.012_off2_unmet60,2016-05-24,2016-05-25,2016-06-01,1,2016-05-25,2.5790,0.50,0.5,2.5789999961853027,2016-06-01,2.5550,0.5000,fail_to_rebound_d5,-0.004652952590849135,1000985.0031150354,996327.46735139,7,6,-0.0370631002723195,-0.0317179292474344
518800.SH,p0.70_thr0.010_win15_dd0.012_off2_unmet60,2016-08-25,2016-08-26,2016-10-11,2,2016-08-26|2016-11-15,2.8240|2.7100,0.50|0.40,0.9,2.7733332845899796,2016-09-20|2016-10-11,2.8100|2.7120,0.6300|0.2700,partial_anchor_hit_d15|trail_dd_0.012_d25,0.0023581655394097093,996327.46735139,998676.9724508655,46,26,-0.0230165606200362,-0.0170148035397653
518800.SH,p0.70_thr0.010_win15_dd0.012_off2_unmet60,2016-10-11,2016-10-12,2016-11-11,1,2016-10-12,2.7090,0.50,0.5,2.7090001106262207,2016-11-02|2016-11-11,2.7960|2.7720,0.3500|0.1500,partial_anchor_hit_d15|trail_dd_0.012_d22,0.01472866576251255,998676.9724508655,1013386.1517828123,30,23,-0.0427807486631015,-0.0399828403756462
518800.SH,p0.70_thr0.010_win15_dd0.012_off2_unmet60,2016-11-14,2016-11-15,2016-11-22,1,2016-11-15,2.7100,0.50,0.5,2.7100000381469727,2016-11-22,2.7150,0.5000,fail_to_rebound_d5,0.0009224863379997394,1013386.1517828123,1014320.9866629501,7,6,-0.0629940110338146,-0.0398541248793228
518800.SH,p0.70_thr0.010_win15_dd0.012_off2_unmet60,2016-11-23,2016-11-24,2016-12-01,1,2016-11-24,2.6750,0.50,0.5,2.674999952316284,2016-12-01,2.6400,0.5000,fail_to_rebound_d5,-0.006542027670281447,1014320.9866629501,1007685.2707016539,7,6,-0.0280366586101326,-0.0514291434555732
518800.SH,p0.70_thr0.010_win15_dd0.012_off2_unmet60,2016-12-15,2016-12-16,2016-12-23,1,2016-12-16,2.6040,0.50,0.5,2.6040000915527344,2016-12-23,2.5780,0.5000,fail_to_rebound_d5,-0.004992323727738446,1007685.2707016539,1002654.5796146374,7,6,-0.0359035717617506,-0.0425861154697392
518800.SH,p0.70_thr0.010_win15_dd0.012_off2_unmet60,2017-03-07,2017-03-08,2017-04-25,2,2017-03-08|2018-08-17,2.7380|2.5840,0.50|0.40,0.9,2.669555558098687,2017-03-29|2017-04-25,2.7720|2.8140,0.6300|0.2700,partial_anchor_hit_d15|trail_dd_0.012_d32,0.03878548805868848,1002654.5796146374,1041543.0268392703,48,33,-0.0299377301061005,-0.0173625590270086
518800.SH,p0.70_thr0.010_win15_dd0.012_off2_unmet60,2017-05-04,2017-05-05,2017-06-12,2,2017-05-05|2018-08-17,2.7400|2.5840,0.50|0.40,0.9,2.6706667211320667,2017-05-26|2017-06-12,2.7780|2.7730,0.6300|0.2700,partial_anchor_hit_d15|trail_dd_0.012_d24,0.035665260678860174,1041543.0268392703,1078689.9303997417,38,25,-0.0294373289619724,-0.0317551212060216
518800.SH,p0.70_thr0.010_win15_dd0.012_off2_unmet60,2017-06-21,2017-06-22,2017-09-14,2,2017-06-22|2018-08-17,2.7550|2.5840,0.50|0.40,0.9,2.679000112745497,2017-09-14,2.7700,0.9000,anchor_unmet_exit_d60,0.030571063051946703,1078689.9303997417,1111666.6282754922,84,61,-0.023098698370676,-0.0171450125954331
