config_name,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,cagr,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,total_hold_trading_days,return_per_hold_day,partial_exit_ratio,anchor_return_threshold,anchor_window_end_day,trailing_drawdown,trailing_start_offset,unmet_exit_day
p0.50_thr0.005_win15_dd0.008_off0_unmet20,61,2108469.691446591,1.108469691446591,-0.14271275123632365,7.767138408053198,0.07502944794292521,0.6885245901639344,0.012527457486562857,0.008341041243247305,16.098360655737704,19.0,982.0,0.0007781821860288537,0.5,0.005,15,0.008,0,20
p0.50_thr0.005_win15_dd0.008_off0_unmet30,61,2106964.1806276673,1.1069641806276675,-0.14271275123632365,7.756589169769435,0.07495497700203058,0.7049180327868853,0.012518245391220829,0.00956131584796327,18.34426229508197,19.0,1119.0,0.0006824065852229406,0.5,0.005,15,0.008,0,30
p0.50_thr0.005_win15_dd0.008_off0_unmet45,59,2189815.523954555,1.1898155239545551,-0.14271275123632376,8.337135355090254,0.07898356643527804,0.6779661016949152,0.0136277707062749,0.011337087989499173,19.88135593220339,19.0,1173.0,0.0006854547925577315,0.5,0.005,15,0.008,0,45
p0.50_thr0.005_win15_dd0.008_off0_unmet60,58,2282525.0469258907,1.2825250469258909,-0.14271275123632354,8.986758616979559,0.08333147086815496,0.6896551724137931,0.014616266641421724,0.013941950258634938,21.586206896551722,19.0,1252.0,0.0006771113939316773,0.5,0.005,15,0.008,0,60
p0.50_thr0.005_win15_dd0.008_off2_unmet20,60,2098754.6915988964,1.0987546915988964,-0.14271275123632388,7.699064604111118,0.07454804260377967,0.7166666666666667,0.012647290694733382,0.008794947673114756,16.85,21.0,1011.0,0.0007505810501325449,0.5,0.005,15,0.008,2,20
p0.50_thr0.005_win15_dd0.008_off2_unmet30,60,2134695.736110391,1.134695736110391,-0.14271275123632376,7.95090646267062,0.07631908942950116,0.7166666666666667,0.012947000060080016,0.009031386588504442,19.7,22.0,1182.0,0.0006572081248771581,0.5,0.005,15,0.008,2,30
p0.50_thr0.005_win15_dd0.008_off2_unmet45,58,2201426.706462949,1.2014267064629491,-0.14271275123632365,8.418495867082399,0.07953711557848253,0.6896551724137931,0.013950698587036103,0.013565273955743862,21.43103448275862,22.0,1243.0,0.0006509577779952486,0.5,0.005,15,0.008,2,45
p0.50_thr0.005_win15_dd0.008_off2_unmet60,57,2294627.8083731076,1.2946278083731078,-0.14271275123632376,9.07156366307648,0.08388725060953384,0.7017543859649122,0.01496220195754973,0.014008412813676785,23.19298245614035,22.0,1322.0,0.0006451176335706011,0.5,0.005,15,0.008,2,60
p0.50_thr0.005_win15_dd0.010_off0_unmet20,61,2111768.525803147,1.111768525803147,-0.14271275123632376,7.79025361204147,0.07519245890918325,0.6885245901639344,0.01255383803294229,0.008341041243247305,16.37704918032787,21.0,999.0,0.0007665506706801599,0.5,0.005,15,0.01,0,20
p0.50_thr0.005_win15_dd0.010_off0_unmet30,60,2110105.548173312,1.110105548173312,-0.14271275123632376,7.778600990846597,0.07511031210404173,0.7,0.012756631153729566,0.01019777905185909,19.333333333333332,21.0,1160.0,0.0006598257493308396,0.5,0.005,15,0.01,0,30
p0.50_thr0.005_win15_dd0.010_off0_unmet45,58,2197476.4565973044,1.1974764565973044,-0.14271275123632365,8.390816140979274,0.07934908869788293,0.6724137931034483,0.01392649322343005,0.013205828508953372,21.689655172413794,21.0,1258.0,0.0006420799737352487,0.5,0.005,15,0.01,0,45
