trade_date,policy_name,selected_flag
2021-01-08,hold_15d_baseline,1
2021-01-11,hold_15d_baseline,1
2021-01-12,hold_15d_baseline,1
2021-01-14,hold_15d_baseline,1
2021-02-04,hold_15d_baseline,1
2021-02-17,hold_15d_baseline,1
2021-02-18,hold_15d_baseline,1
2021-02-19,hold_15d_baseline,1
2021-02-26,hold_15d_baseline,1
2021-03-01,hold_15d_baseline,1
2021-03-02,hold_15d_baseline,1
2021-03-03,hold_15d_baseline,1
2021-03-04,hold_15d_baseline,1
2021-03-08,hold_15d_baseline,1
2021-03-30,hold_15d_baseline,1
2021-06-17,hold_15d_baseline,1
2021-06-18,hold_15d_baseline,1
2021-06-21,hold_15d_baseline,1
2021-06-22,hold_15d_baseline,1
2021-06-23,hold_15d_baseline,1
2021-08-06,hold_15d_baseline,1
2021-08-09,hold_15d_baseline,1
2021-08-10,hold_15d_baseline,1
2021-08-11,hold_15d_baseline,1
2021-08-12,hold_15d_baseline,1
2021-09-16,hold_15d_baseline,1
2021-09-17,hold_15d_baseline,1
2021-09-28,hold_15d_baseline,1
2021-09-29,hold_15d_baseline,1
2021-11-23,hold_15d_baseline,1
2021-11-24,hold_15d_baseline,1
2021-11-26,hold_15d_baseline,1
2021-11-29,hold_15d_baseline,1
2022-01-28,hold_15d_baseline,1
2022-03-16,hold_15d_baseline,1
2022-04-25,hold_15d_baseline,1
2022-04-26,hold_15d_baseline,1
2022-04-27,hold_15d_baseline,1
2022-04-28,hold_15d_baseline,1
2022-05-12,hold_15d_baseline,1
2022-05-13,hold_15d_baseline,1
2022-05-16,hold_15d_baseline,1
2022-06-14,hold_15d_baseline,1
2022-07-05,hold_15d_baseline,1
2022-07-06,hold_15d_baseline,1
2022-07-07,hold_15d_baseline,1
2022-07-08,hold_15d_baseline,1
2022-07-11,hold_15d_baseline,1
2022-07-12,hold_15d_baseline,1
2022-07-15,hold_15d_baseline,1
2022-07-20,hold_15d_baseline,1
2022-08-22,hold_15d_baseline,1
2022-08-31,hold_15d_baseline,1
2022-09-01,hold_15d_baseline,1
2022-09-06,hold_15d_baseline,1
2022-09-15,hold_15d_baseline,1
2022-09-16,hold_15d_baseline,1
2022-09-19,hold_15d_baseline,1
2022-09-20,hold_15d_baseline,1
2022-09-26,hold_15d_baseline,1
2022-10-14,hold_15d_baseline,1
2022-10-19,hold_15d_baseline,1
2022-10-20,hold_15d_baseline,1
2022-11-03,hold_15d_baseline,1
2023-02-03,hold_15d_baseline,1
2023-02-06,hold_15d_baseline,1
2023-02-07,hold_15d_baseline,1
2023-02-08,hold_15d_baseline,1
2023-02-09,hold_15d_baseline,1
2023-02-15,hold_15d_baseline,1
2023-05-18,hold_15d_baseline,1
2023-06-22,hold_15d_baseline,1
2023-09-27,hold_15d_baseline,1
2023-09-28,hold_15d_baseline,1
2023-09-29,hold_15d_baseline,1
2023-10-02,hold_15d_baseline,1
2023-10-03,hold_15d_baseline,1
2023-10-04,hold_15d_baseline,1
2023-10-05,hold_15d_baseline,1
2023-11-10,hold_15d_baseline,1
2024-02-13,hold_15d_baseline,1
2024-02-14,hold_15d_baseline,1
2024-06-13,hold_15d_baseline,1
2024-11-06,hold_15d_baseline,1
2024-11-11,hold_15d_baseline,1
2024-11-12,hold_15d_baseline,1
2024-11-13,hold_15d_baseline,1
2024-11-14,hold_15d_baseline,1
2024-11-15,hold_15d_baseline,1
2024-12-19,hold_15d_baseline,1
2025-02-28,hold_15d_baseline,1
2025-04-07,hold_15d_baseline,1
2025-04-08,hold_15d_baseline,1
2025-05-12,hold_15d_baseline,1
2025-05-13,hold_15d_baseline,1
