symbol,policy_name,signal_date,entry_date,trigger_date,exit_date,signal_index,entry_index,trigger_index,exit_index,entry_price,exit_price,exit_reason,trade_return,entry_capital,exit_capital,hold_trading_days,hold_calendar_days
518880.SH,hold_15d_baseline,2021-01-08,2021-01-11,,2021-02-01,1220,1221,,1236,3.7170000076293945,3.7780001163482666,time_exit,0.016411113423100643,1000000.0,1016411.1134231007,15,21
518880.SH,hold_15d_baseline,2021-02-04,2021-02-05,,2021-03-05,1239,1240,,1255,3.680000066757202,3.4670000076293945,time_exit,-0.05788044979996487,1016411.1134231007,957580.7809964885,15,28
518880.SH,hold_15d_baseline,2021-03-08,2021-03-09,,2021-03-30,1256,1257,,1272,3.489000082015991,3.558000087738037,time_exit,0.019776441415896073,957580.7809964885,976518.3212128535,15,21
518880.SH,hold_15d_baseline,2021-03-30,2021-03-31,,2021-04-22,1272,1273,,1288,3.500999927520752,3.683000087738037,time_exit,0.051985193940340846,976518.3212128535,1027282.8155273998,15,22
518880.SH,hold_15d_baseline,2021-06-17,2021-06-18,,2021-07-09,1324,1325,,1340,3.625,3.684000015258789,time_exit,0.0162758662782867,1027282.8155273998,1044002.7332629056,15,21
518880.SH,hold_15d_baseline,2021-08-06,2021-08-09,,2021-08-30,1360,1361,,1376,3.555000066757202,3.7060000896453857,time_exit,0.04247539241987197,1044002.7332629056,1088347.1590456665,15,21
518880.SH,hold_15d_baseline,2021-09-16,2021-09-17,,2021-10-19,1389,1390,,1405,3.595999956130981,3.5840001106262207,time_exit,-0.0033369982344692017,1088347.1590456665,1084715.3464974414,15,32
518880.SH,hold_15d_baseline,2021-11-23,2021-11-24,,2021-12-15,1430,1431,,1446,3.615000009536743,3.562000036239624,time_exit,-0.014661126737842256,1084715.3464974414,1068812.19732796,15,21
518880.SH,hold_15d_baseline,2022-01-28,2022-02-07,,2022-02-28,1477,1478,,1493,3.619999885559082,3.79800009727478,time_exit,0.04917133075770996,1068812.19732796,1121367.115400648,15,21
518880.SH,hold_15d_baseline,2022-03-16,2022-03-17,,2022-04-11,1505,1506,,1521,3.829999923706055,3.884999990463257,time_exit,0.0143603310320648,1121367.115400648,1137470.318386273,15,25
518880.SH,hold_15d_baseline,2022-04-25,2022-04-26,,2022-05-20,1531,1532,,1547,3.8959999084472656,3.869999885559082,time_exit,-0.006673517325247014,1137470.318386273,1129879.390509568,15,24
518880.SH,hold_15d_baseline,2022-06-14,2022-06-15,,2022-07-06,1563,1564,,1579,3.8320000171661377,3.733000040054321,time_exit,-0.02583506698025273,1129879.390509568,1100688.8807761462,15,21
518880.SH,hold_15d_baseline,2022-07-06,2022-07-07,,2022-07-28,1579,1580,,1595,3.680000066757202,3.690999984741211,time_exit,0.00298910809360442,1100688.8807761462,1103978.9588182145,15,21
518880.SH,hold_15d_baseline,2022-08-22,2022-08-23,,2022-09-14,1612,1613,,1628,3.759999990463257,3.766000032424927,time_exit,0.0015957558449171128,1103978.9588182145,1105740.639694414,15,22
518880.SH,hold_15d_baseline,2022-09-15,2022-09-16,,2022-10-14,1629,1630,,1645,3.7279999256134033,3.803999900817871,time_exit,0.020386259850035504,1105740.639694414,1128282.555701969,15,28
518880.SH,hold_15d_baseline,2022-10-14,2022-10-17,,2022-11-07,1645,1646,,1661,3.799999952316284,3.8340001106262207,time_exit,0.00894741019383738,1128282.555701969,1138377.7625423856,15,21
518880.SH,hold_15d_baseline,2023-02-03,2023-02-06,,2023-02-27,1719,1720,,1735,4.020999908447266,4.019999980926514,time_exit,-0.0002486763351203791,1138377.7625423856,1138094.674932414,15,21
518880.SH,hold_15d_baseline,2023-05-18,2023-05-19,,2023-06-09,1789,1790,,1805,4.327000141143799,4.366000175476074,time_exit,0.009013180739570359,1138094.674932414,1148352.5279363224,15,21
518880.SH,hold_15d_baseline,2023-09-27,2023-09-28,,2023-10-27,1881,1882,,1897,4.4629998207092285,4.590000152587891,time_exit,0.028456270889672508,1148352.5279363224,1181030.3585481185,15,29
518880.SH,hold_15d_baseline,2023-11-10,2023-11-13,,2023-12-04,1907,1908,,1923,4.5229997634887695,4.668000221252441,time_exit,0.03205847122393557,1181030.3585481185,1218892.3863122277,15,21
518880.SH,hold_15d_baseline,2024-06-13,2024-06-14,,2024-07-05,2048,2049,,2064,5.249000072479248,5.364999771118164,time_exit,0.022099389795612323,1218892.3863122277,1245829.1642762457,15,21
518880.SH,hold_15d_baseline,2024-11-06,2024-11-07,,2024-11-28,2145,2146,,2161,5.864999771118164,5.830999851226807,time_exit,-0.0057970880167443894,1245829.1642762457,1238606.9829571093,15,21
518880.SH,hold_15d_baseline,2024-12-19,2024-12-20,,2025-01-13,2176,2177,,2192,5.876999855041504,6.105000019073486,time_exit,0.03879533259412882,1238606.9829571093,1286659.1528143408,15,24
518880.SH,hold_15d_baseline,2025-02-28,2025-03-03,,2025-03-24,2220,2221,,2236,6.445000171661377,6.769999980926514,time_exit,0.05042665641719579,1286659.1528143408,1351541.0718393498,15,21
518880.SH,hold_15d_baseline,2025-04-07,2025-04-08,,2025-04-29,2245,2246,,2261,6.877999782562256,7.560999870300293,time_exit,0.09930213860570958,1351541.0718393498,1485751.9906864502,15,21
