holding_days,sample_count,win_rate,avg_return,median_return,avg_max_drawdown,avg_max_runup,return_per_day,annualized_equivalent,structure_name
3,0,,,,,,,,trend_continuation
5,0,,,,,,,,trend_continuation
10,0,,,,,,,,trend_continuation
15,0,,,,,,,,trend_continuation
20,0,,,,,,,,trend_continuation
30,0,,,,,,,,trend_continuation
3,0,,,,,,,,pullback_repair
5,0,,,,,,,,pullback_repair
10,0,,,,,,,,pullback_repair
15,0,,,,,,,,pullback_repair
20,0,,,,,,,,pullback_repair
30,0,,,,,,,,pullback_repair
3,0,,,,,,,,mean_reversion
5,0,,,,,,,,mean_reversion
10,0,,,,,,,,mean_reversion
15,0,,,,,,,,mean_reversion
20,0,,,,,,,,mean_reversion
30,0,,,,,,,,mean_reversion
