symbol,signal_date,entry_date,exit_date,entry_layers,layer_entry_dates,layer_entry_prices,layer_weights,total_weight,weighted_entry_price,exit_price,exit_reason,trade_return,entry_capital,exit_capital,hold_calendar_days,hold_trading_days,repair_days,repair_date,ret_5d,close_vs_ma20
518800.SH,2016-03-24,2016-03-25,2016-04-01,1,2016-03-25,2.5380,0.50,0.5,2.5380001068115234,2.5429999828338623,fail_to_rebound_d5,0.0009850031150353544,1000000.0,1000985.0031150354,7,6,1.0,2016-03-25,-0.0340845991189699,-0.0199201440894463
518800.SH,2016-05-24,2016-05-25,2016-06-01,1,2016-05-25,2.5790,0.50,0.5,2.5789999961853027,2.555000066757202,fail_to_rebound_d5,-0.004652952590849135,1000985.0031150354,996327.46735139,7,6,2.0,2016-05-26,-0.0370631002723195,-0.0317179292474344
518800.SH,2016-08-25,2016-08-26,2016-09-27,2,2016-08-26|2016-11-15,2.8240|2.7100,0.50|0.40,0.9,2.7733332845899796,2.8540000915527344,time_exit,0.02617793060425948,996327.46735139,1022409.2586508325,32,21,1.0,2016-08-26,-0.0230165606200362,-0.0170148035397653
518800.SH,2016-10-11,2016-10-12,2016-11-09,1,2016-10-12,2.7090,0.50,0.5,2.7090001106262207,2.7699999809265137,time_exit,0.011258742674283617,1022409.2586508325,1033920.3014017873,28,21,2.0,2016-10-13,-0.0427807486631015,-0.0399828403756462
518800.SH,2016-11-14,2016-11-15,2016-11-22,1,2016-11-15,2.7100,0.50,0.5,2.7100000381469727,2.7149999141693115,fail_to_rebound_d5,0.0009224863379997394,1033920.3014017873,1034874.0787544111,7,6,1.0,2016-11-15,-0.0629940110338146,-0.0398541248793228
518800.SH,2016-11-23,2016-11-24,2016-12-01,1,2016-11-24,2.6750,0.50,0.5,2.674999952316284,2.640000104904175,fail_to_rebound_d5,-0.006542027670281447,1034874.0787544111,1028103.9038959427,7,6,1.0,2016-11-24,-0.0280366586101326,-0.0514291434555732
518800.SH,2016-12-15,2016-12-16,2016-12-23,1,2016-12-16,2.6040,0.50,0.5,2.6040000915527344,2.578000068664551,fail_to_rebound_d5,-0.004992323727738446,1028103.9038959427,1022971.2763819424,7,6,2.0,2016-12-19,-0.0359035717617506,-0.0425861154697392
518800.SH,2017-03-07,2017-03-08,2017-04-07,2,2017-03-08|2018-08-17,2.7380|2.5840,0.50|0.40,0.9,2.669555558098687,2.7880001068115234,time_exit,0.03993177572879421,1022971.2763819424,1063820.3359674246,30,21,1.0,2017-03-08,-0.0299377301061005,-0.0173625590270086
518800.SH,2017-05-04,2017-05-05,2017-06-06,2,2017-05-05|2018-08-17,2.7400|2.5840,0.50|0.40,0.9,2.6706667211320667,2.799999952316284,time_exit,0.04358458775284955,1063820.3359674246,1110186.5067536626,32,21,1.0,2017-05-05,-0.0294373289619724,-0.0317551212060216
518800.SH,2017-06-21,2017-06-22,2017-07-20,2,2017-06-22|2018-08-17,2.7550|2.5840,0.50|0.40,0.9,2.679000112745497,2.696000099182129,time_exit,0.005711081429290755,1110186.5067536626,1116526.8722954325,28,21,1.0,2017-06-22,-0.023098698370676,-0.0171450125954331
518800.SH,2017-09-21,2017-09-22,2017-10-27,2,2017-09-22|2018-08-17,2.7400|2.5840,0.50|0.40,0.9,2.6706667211320667,2.719000101089477,time_exit,0.01628808327803266,1116526.8722954325,1134712.954973542,35,21,1.0,2017-09-22,-0.0257416598798629,-0.020692491410434
518800.SH,2017-12-08,2017-12-11,2018-01-09,1,2017-12-11,2.6520,0.50,0.5,2.6519999504089355,2.743000030517578,time_exit,0.0171568781693624,1134712.954973542,1154181.0868992202,29,21,1.0,2017-12-11,-0.0262747078302355,-0.0245660622299546
518800.SH,2018-02-07,2018-02-08,2018-03-15,1,2018-02-08,2.6600,0.50,0.5,2.6600000858306885,2.681999921798706,time_exit,0.004135307379350528,1154181.0868992202,1158953.9804649816,35,21,2.0,2018-02-09,-0.0204630503465739,-0.0165704614336527
518800.SH,2018-04-26,2018-04-27,2018-05-29,1,2018-04-27,2.6740,0.50,0.5,2.674000024795532,2.6549999713897705,time_exit,-0.0035527399456950493,1158953.9804649816,1154836.5183633615,32,21,1.0,2018-04-27,-0.0226462718252339,-0.015058804792699
518800.SH,2018-06-21,2018-06-22,2018-07-20,1,2018-06-22,2.6270,0.50,0.5,2.627000093460083,2.631999969482422,time_exit,0.0009516322505632724,1154836.5183633615,1155935.498038364,28,21,1.0,2018-06-22,-0.0282208963405866,-0.0194341420376513
518800.SH,2018-08-15,2018-08-16,2018-09-13,1,2018-08-16,2.6000,0.50,0.5,2.5999999046325684,2.624000072479248,time_exit,0.004615417062884708,1155935.498038364,1161270.6224596044,28,21,4.0,2018-08-21,-0.0289460467529507,-0.0301617642274937
