config_key,ret_threshold,ma20_threshold,use_risk_filter,event_count
ret-0.015_ma-0.010_risk1,-0.015,-0.01,True,146
ret-0.015_ma-0.010_risk0,-0.015,-0.01,False,312
ret-0.015_ma-0.015_risk1,-0.015,-0.015,True,112
ret-0.015_ma-0.015_risk0,-0.015,-0.015,False,259
ret-0.015_ma-0.020_risk1,-0.015,-0.02,True,76
ret-0.015_ma-0.020_risk0,-0.015,-0.02,False,198
ret-0.015_ma-0.025_risk1,-0.015,-0.025,True,43
ret-0.015_ma-0.025_risk0,-0.015,-0.025,False,142
ret-0.020_ma-0.010_risk1,-0.02,-0.01,True,114
ret-0.020_ma-0.010_risk0,-0.02,-0.01,False,233
ret-0.020_ma-0.015_risk1,-0.02,-0.015,True,94
ret-0.020_ma-0.015_risk0,-0.02,-0.015,False,207
ret-0.020_ma-0.020_risk1,-0.02,-0.02,True,68
ret-0.020_ma-0.020_risk0,-0.02,-0.02,False,166
ret-0.020_ma-0.025_risk1,-0.02,-0.025,True,40
ret-0.020_ma-0.025_risk0,-0.02,-0.025,False,121
ret-0.025_ma-0.010_risk1,-0.025,-0.01,True,84
ret-0.025_ma-0.010_risk0,-0.025,-0.01,False,170
ret-0.025_ma-0.015_risk1,-0.025,-0.015,True,73
ret-0.025_ma-0.015_risk0,-0.025,-0.015,False,155
ret-0.025_ma-0.020_risk1,-0.025,-0.02,True,57
ret-0.025_ma-0.020_risk0,-0.025,-0.02,False,132
ret-0.025_ma-0.025_risk1,-0.025,-0.025,True,34
ret-0.025_ma-0.025_risk0,-0.025,-0.025,False,99
ret-0.030_ma-0.010_risk1,-0.03,-0.01,True,55
ret-0.030_ma-0.010_risk0,-0.03,-0.01,False,115
ret-0.030_ma-0.015_risk1,-0.03,-0.015,True,52
ret-0.030_ma-0.015_risk0,-0.03,-0.015,False,110
ret-0.030_ma-0.020_risk1,-0.03,-0.02,True,42
ret-0.030_ma-0.020_risk0,-0.03,-0.02,False,96
ret-0.030_ma-0.025_risk1,-0.03,-0.025,True,29
ret-0.030_ma-0.025_risk0,-0.03,-0.025,False,78
