config_key,ret_threshold,ma20_threshold,use_risk_filter,event_count,exit_rule,sample_count,years_covered,events_per_year,win_rate,avg_return,median_return,avg_max_drawdown,avg_max_runup,return_per_day,annualized_equivalent,positive_year_ratio
ret-0.015_ma-0.010_risk1,-0.015,-0.01,True,146,hold_10d,146,11,13.272727272727273,0.6575342465753424,0.011013007309097787,0.01193181818181821,-0.01913108956975188,0.03123854784527327,0.0011013007309097788,0.317861971234469,0.7272727272727273
ret-0.015_ma-0.010_risk1,-0.015,-0.01,True,146,hold_15d,146,11,13.272727272727273,0.6575342465753424,0.01488247594538836,0.014571552849064862,-0.021994500311646608,0.03884536433696905,0.0009921650630258906,0.28169491138554426,0.8181818181818182
ret-0.015_ma-0.010_risk0,-0.015,-0.01,False,312,hold_10d,312,11,28.363636363636363,0.657051282051282,0.010578428462851987,0.00970651758057639,-0.01803829434302617,0.02864474601250085,0.0010578428462851986,0.30366076867698344,1.0
ret-0.015_ma-0.010_risk0,-0.015,-0.01,False,312,hold_15d,312,11,28.363636363636363,0.6762820512820513,0.0158113545804633,0.014527746119015417,-0.021363463568425344,0.03662477938738448,0.00105409030536422,0.30154580975101286,0.9090909090909091
ret-0.015_ma-0.015_risk1,-0.015,-0.015,True,112,hold_10d,112,11,10.181818181818182,0.7321428571428571,0.014498837675891793,0.014094502352126503,-0.017489003793938952,0.03501488619756611,0.0014498837675891792,0.4372726306677217,0.7272727272727273
ret-0.015_ma-0.015_risk1,-0.015,-0.015,True,112,hold_15d,112,11,10.181818181818182,0.6875,0.018089980909321717,0.018601610245891687,-0.020467267006956145,0.04243311018607364,0.0012059987272881145,0.3514735410942922,0.7272727272727273
ret-0.015_ma-0.015_risk0,-0.015,-0.015,False,259,hold_10d,259,11,23.545454545454547,0.6988416988416989,0.012926879526914063,0.012064134037150565,-0.017231945258679084,0.030859792949666114,0.0012926879526914063,0.38219086275588543,1.0
ret-0.015_ma-0.015_risk0,-0.015,-0.015,False,259,hold_15d,259,11,23.545454545454547,0.7104247104247104,0.018680544350766787,0.017228001237863166,-0.020351104402113657,0.03905122992434006,0.0012453696233844524,0.3647044151763401,1.0
ret-0.015_ma-0.020_risk1,-0.015,-0.02,True,76,hold_10d,76,11,6.909090909090909,0.75,0.01786295879512415,0.018422475061274812,-0.01908936564132371,0.03791581687178529,0.001786295879512415,0.5623222448702867,0.6363636363636364
ret-0.015_ma-0.020_risk1,-0.015,-0.02,True,76,hold_15d,76,11,6.909090909090909,0.7894736842105263,0.025578188088233603,0.024100503420569797,-0.02121725233868639,0.04666054824168283,0.0017052125392155735,0.52853515764846,0.6363636363636364
ret-0.015_ma-0.020_risk0,-0.015,-0.02,False,198,hold_10d,198,11,18.0,0.7222222222222222,0.015195382891103129,0.015737808414243548,-0.018362933665501405,0.03268129717472358,0.001519538289110313,0.46234813232676286,1.0
