exit_rule,holding_days,exit_day,realized_return,realized_drawdown,realized_runup,trade_date
hold_10d,10,10,0.025144457482451088,-0.024330721637277897,0.02856210829898309,2016-05-24
hold_15d,15,15,0.046301589456955394,-0.024330721637277897,0.05476436278036623,2016-05-24
break_event_low,2,2,-0.011473655410484174,-0.024330721637277897,-0.004394193430533266,2016-05-24
break_ma5,1,1,-0.004394193430533266,-0.00838151860154257,-0.004394193430533266,2016-05-24
break_ma10,1,1,-0.004394193430533266,-0.00838151860154257,-0.004394193430533266,2016-05-24
hold_10d,10,10,0.03816914685073569,-0.020024519820187936,0.03914999952109732,2016-05-25
hold_15d,15,15,0.0593379449006437,-0.020024519820187936,0.07592972980307522,2016-05-25
break_event_low,8,8,-0.037024968532897384,-0.03800572129137725,0.041275030649775335,2016-05-25
break_ma5,1,1,-0.00711070780547618,-0.020024519820187936,-0.004822250919493287,2016-05-25
break_ma10,1,1,-0.00711070780547618,-0.020024519820187936,-0.004822250919493287,2016-05-25
hold_10d,10,10,0.05828113591706785,-0.00773791902883969,0.061656156843262755,2016-05-31
hold_15d,15,15,0.045851126879363324,-0.00773791902883969,0.0836351428236668,2016-05-31
break_event_low,7,7,-0.030128495519432863,-0.031116272068468676,0.04873225946029813,2016-05-31
break_ma5,1,1,0.04148822863523427,0.038277904431047505,0.04873225946029813,2016-05-31
break_ma10,1,1,0.04148822863523427,0.038277904431047505,0.04873225946029813,2016-05-31
hold_10d,10,10,-0.043464012395322715,-0.04583331338720387,0.0043301052517361605,2016-11-15
hold_15d,15,15,-0.04003267973856206,-0.054738562091503296,0.0043301052517361605,2016-11-15
break_event_low,2,2,-0.037418340686274476,-0.03839869281045749,0.0043301053921567245,2016-11-15
break_ma5,1,1,-0.0004901764705882439,-0.0008169934640522847,0.0043301053921567245,2016-11-15
break_ma10,1,1,-0.0004901764705882439,-0.0008169934640522847,0.0043301053921567245,2016-11-15
hold_10d,10,10,-0.04618276840975233,-0.051822807870571586,0.001307810653922381,2016-11-16
hold_15d,15,15,-0.04381230547351733,-0.054274990264009726,0.001307810653922381,2016-11-16
break_event_low,2,2,-0.0429949112018817,-0.045365374617058474,-0.024603543251095372,2016-11-16
break_ma5,1,1,-0.03694627473602563,-0.03792710764108853,-0.027873119775679633,2016-11-16
break_ma10,1,1,-0.03694627473602563,-0.03792710764108853,-0.027873119775679633,2016-11-16
hold_10d,10,10,0.020546230062678417,-0.01019160211985326,0.027313493681206724,2017-05-04
hold_15d,15,15,0.023889155179881882,-0.01019160211985326,0.028617998847074944,2017-05-04
break_event_low,3,3,-0.009946963717896495,-0.01019160211985326,0.006114961271912023,2017-05-04
break_ma5,1,1,-0.001386017937219819,-0.001386017937219819,0.005870322869955258,2017-05-04
break_ma10,1,1,-0.001386017937219819,-0.001386017937219819,0.005870322869955258,2017-05-04
hold_10d,10,10,0.02277914862139685,-0.008817805680574886,0.028739345010276418,2017-05-05
hold_15d,15,15,0.034944419539142624,-0.008817805680574886,0.034944419539142624,2017-05-05
break_event_low,2,2,-0.00857282773475665,-0.008817805680574886,0.007511390271969232,2017-05-05
break_ma5,1,1,0.0004082300391425875,-0.0006532077043027718,0.007511390271969232,2017-05-05
break_ma10,1,1,0.0004082300391425875,-0.0006532077043027718,0.007511390271969232,2017-05-05
hold_10d,10,10,0.03335254745240679,0.002470559070548717,0.03895242102926688,2017-05-09
hold_15d,15,15,0.047517045912630174,0.002470559070548717,0.04850522932992729,2017-05-09
break_event_low,4,4,-0.004694122209437435,-0.004694122209437435,0.017870337066046238,2017-05-09
break_ma5,1,1,0.0024705592120910502,0.0024705592120910502,0.004858685608691848,2017-05-09
break_ma10,1,1,0.0024705592120910502,0.0024705592120910502,0.004858685608691848,2017-05-09
hold_10d,10,10,0.02137194490904326,-0.009585881700271526,0.02443631558845727,2017-10-02
hold_15d,15,15,0.003928655764774858,-0.009585881700271526,0.02443631558845727,2017-10-02
break_event_low,2,2,-0.07480156739553334,-0.07708020659665038,-0.017914613064046514,2017-10-02
break_ma5,1,1,-0.025850478065612803,-0.025850478065612803,-0.017914613064046514,2017-10-02
break_ma10,1,1,-0.025850478065612803,-0.025850478065612803,-0.017914613064046514,2017-10-02
hold_10d,10,10,0.07138620883277835,-0.04196079543102493,0.11202748188837952,2020-03-13
hold_15d,15,15,0.07785182015000225,-0.04196079543102493,0.11202748188837952,2020-03-13
break_event_low,15,15,0.1716039494670607,-0.04196079515784257,0.27234945050236714,2020-03-13
