holding_days,sample_count,win_rate,avg_return,median_return,avg_max_drawdown,avg_max_runup,return_per_day,annualized_equivalent,ret_5d_bucket,ma20_gap_bucket,resonance_regime,failure_risk_share
3,2,0.0,-0.005862463656000461,-0.005862463656000461,-0.028112218462494953,0.019999750348000944,-0.0019541545520001535,-0.3897558095724313,ret5_extreme,ma20_gap_deep,usd_down_oil_down,1.0
5,2,1.0,0.0394888886771364,0.0394888886771364,-0.028112218462494953,0.046165742542819355,0.00789777773542728,6.042397128627711,ret5_extreme,ma20_gap_deep,usd_down_oil_down,1.0
10,2,1.0,0.05536181216348235,0.05536181216348235,-0.028112218462494953,0.0768096488818345,0.005536181216348235,2.887896177461924,ret5_extreme,ma20_gap_deep,usd_down_oil_down,1.0
15,2,1.0,0.07367626616925549,0.07367626616925549,-0.028112218462494953,0.08383718015623631,0.004911751077950366,2.3012037609541767,ret5_extreme,ma20_gap_deep,usd_down_oil_down,1.0
20,2,1.0,0.050478742127949006,0.050478742127949006,-0.028112218462494953,0.09024953611530306,0.0025239371063974503,0.8598571148255594,ret5_extreme,ma20_gap_deep,usd_down_oil_down,1.0
30,0,,,,,,,,ret5_extreme,ma20_gap_deep,usd_down_oil_down,1.0
3,4,0.5,0.0017993212691227445,0.00828214692080792,-0.054316498288110804,0.021678301476456052,0.0005997737563742481,0.16300499924310596,ret5_extreme,ma20_gap_deep,usd_down_oil_up,0.75
5,4,0.5,0.009706472781512265,0.01566706898410386,-0.054316498288110804,0.03269653499869263,0.001941294556302453,0.6271780346488756,ret5_extreme,ma20_gap_deep,usd_down_oil_up,0.75
10,4,1.0,0.034849248434160596,0.02437580872239442,-0.054316498288110804,0.061962342149369354,0.0034849248434160596,1.3708421107675992,ret5_extreme,ma20_gap_deep,usd_down_oil_up,0.75
15,4,1.0,0.05551028615133946,0.04796017135982378,-0.054316498288110804,0.07324528478071007,0.0037006857434226307,1.4783891270418694,ret5_extreme,ma20_gap_deep,usd_down_oil_up,0.75
20,4,1.0,0.06045688763419299,0.057203879344757014,-0.054316498288110804,0.07800568826297993,0.0030228443817096494,1.0951350215915174,ret5_extreme,ma20_gap_deep,usd_down_oil_up,0.75
30,1,1.0,0.04387003804480161,0.04387003804480161,-0.00045048531835834016,0.10373378290663604,0.0014623346014933868,0.43426708341567677,ret5_extreme,ma20_gap_deep,usd_down_oil_up,0.75
3,7,0.42857142857142855,0.018304376735820305,-0.004912880212788018,-0.015565701920992667,0.043744883502611645,0.006101458911940101,3.5890128447705933,ret5_extreme,ma20_gap_deep,usd_up_oil_down,0.14285714285714285
5,7,0.8571428571428571,0.05579578579921719,0.05457969866977952,-0.015565701920992667,0.07485908394794914,0.011159157159843438,14.432211933994559,ret5_extreme,ma20_gap_deep,usd_up_oil_down,0.14285714285714285
10,7,1.0,0.06046305173136817,0.06830020917131185,-0.015565701920992667,0.10318140653352052,0.0060463051731368175,3.390233789208332,ret5_extreme,ma20_gap_deep,usd_up_oil_down,0.14285714285714285
15,7,1.0,0.09573024748586786,0.09174373544116032,-0.015565701920992667,0.11784743766921209,0.0063820164990578574,3.64538087534223,ret5_extreme,ma20_gap_deep,usd_up_oil_down,0.14285714285714285
20,7,1.0,0.12379723643147249,0.14243201613910572,-0.015565701920992667,0.14788522491616093,0.006189861821573625,3.3517936398381964,ret5_extreme,ma20_gap_deep,usd_up_oil_down,0.14285714285714285
30,7,1.0,0.10416708640444616,0.12944519335142424,-0.015565701920992667,0.14960059940208303,0.003472236213481539,1.298752938837656,ret5_extreme,ma20_gap_deep,usd_up_oil_down,0.14285714285714285
