split_mode,valid_year,model_name,auc,pr_auc,accuracy,precision,recall,brier,train_count,valid_count
expanding,2021,hgb,0.5416666666666666,0.8109167221497598,0.6666666666666666,0.7241379310344828,0.875,0.2649211066659739,94,33
expanding,2021,rf,0.3842592592592593,0.665697418095561,0.7272727272727273,0.7272727272727273,1.0,0.21795435954150325,94,33
expanding,2021,xgb,0.4305555555555556,0.6963383394832572,0.696969696969697,0.7333333333333333,0.9166666666666666,0.24315980956598157,94,33
expanding,2022,hgb,0.37727272727272726,0.6207139969831157,0.5483870967741935,0.6071428571428571,0.85,0.3695973195291446,127,31
expanding,2022,rf,0.36363636363636365,0.6286625002772072,0.6451612903225806,0.6451612903225806,1.0,0.2792156330628421,127,31
expanding,2022,xgb,0.3204545454545455,0.5535619828926509,0.5806451612903226,0.6206896551724138,0.9,0.33677963887487045,127,31
expanding,2023,hgb,0.8333333333333333,0.9064610389610389,0.75,0.7142857142857143,1.0,0.1915299725053735,158,16
expanding,2023,rf,0.6333333333333333,0.7865384615384615,0.625,0.625,1.0,0.23755239947302276,158,16
expanding,2023,xgb,0.75,0.8484920634920634,0.625,0.625,1.0,0.22973344478999813,158,16
expanding,2024,hgb,0.5555555555555556,0.9467813051146385,0.5,0.8333333333333334,0.5555555555555556,0.32263074687024074,174,10
expanding,2024,rf,0.7777777777777778,0.9765432098765432,0.8,0.8888888888888888,0.8888888888888888,0.14705297875678125,174,10
expanding,2024,xgb,0.3333333333333333,0.9060405643738978,0.3,0.75,0.3333333333333333,0.34869082133610985,174,10
expanding,2025,hgb,,0.9999999999999998,0.9230769230769231,1.0,0.9230769230769231,0.08895138664543814,184,13
expanding,2025,rf,,0.9999999999999998,1.0,1.0,1.0,0.08852678557764823,184,13
expanding,2025,xgb,,0.9999999999999998,0.9230769230769231,1.0,0.9230769230769231,0.07290848529424025,184,13
expanding,2026,hgb,0.875,0.975,0.8,0.8,1.0,0.14060810809264845,197,10
expanding,2026,rf,0.25,0.71984126984127,0.8,0.8,1.0,0.17381010719579432,197,10
expanding,2026,xgb,1.0,1.0,0.8,0.8,1.0,0.13990280562309748,197,10
rolling_5y,2021,hgb,0.5416666666666666,0.8109167221497598,0.6666666666666666,0.7241379310344828,0.875,0.2649211066659739,94,33
rolling_5y,2021,rf,0.3842592592592593,0.665697418095561,0.7272727272727273,0.7272727272727273,1.0,0.21795435954150325,94,33
rolling_5y,2021,xgb,0.4305555555555556,0.6963383394832572,0.696969696969697,0.7333333333333333,0.9166666666666666,0.24315980956598157,94,33
rolling_5y,2022,hgb,0.6454545454545455,0.8027942453605439,0.5806451612903226,0.64,0.8,0.3519489652466975,101,31
rolling_5y,2022,rf,0.44545454545454544,0.63839044454656,0.6451612903225806,0.6451612903225806,1.0,0.2838720831037835,101,31
rolling_5y,2022,xgb,0.5204545454545455,0.7169489835005265,0.6129032258064516,0.6333333333333333,0.95,0.30276883164523677,101,31
rolling_5y,2023,hgb,0.9333333333333333,0.9651515151515152,0.8125,0.7692307692307693,1.0,0.18662775986321745,111,16
rolling_5y,2023,rf,0.8500000000000001,0.9068650793650794,0.625,0.625,1.0,0.1944315645173621,111,16
rolling_5y,2023,xgb,0.8333333333333333,0.8952888777888778,0.75,0.8,0.8,0.17515332794773897,111,16
rolling_5y,2024,hgb,0.7777777777777778,0.9765432098765432,0.8,0.8888888888888888,0.8888888888888888,0.16562420090903412,113,10
rolling_5y,2024,rf,0.5555555555555556,0.9467813051146385,0.7,0.875,0.7777777777777778,0.14954244384682996,113,10
rolling_5y,2024,xgb,0.7777777777777778,0.9765432098765432,0.7,0.875,0.7777777777777778,0.2101508177572861,113,10
rolling_5y,2025,hgb,,0.9999999999999998,0.8461538461538461,1.0,0.8461538461538461,0.09011191178990832,111,13
rolling_5y,2025,rf,,0.9999999999999998,1.0,1.0,1.0,0.09646525175462625,111,13
rolling_5y,2025,xgb,,0.9999999999999998,1.0,1.0,1.0,0.04914818051460083,111,13
rolling_5y,2026,hgb,0.875,0.9704861111111112,0.8,0.8,1.0,0.13215341304451492,103,10
rolling_5y,2026,rf,0.8125,0.959375,0.8,0.8,1.0,0.15891598759259923,103,10
rolling_5y,2026,xgb,0.875,0.975,0.8,0.8,1.0,0.152653268037734,103,10
