split_mode,model_name,selection_policy,sample_count,years_covered,events_per_year,win_rate,avg_return,median_return,avg_max_drawdown,avg_max_runup,positive_year_ratio
expanding,hgb,top_30pct,35,6,5.833333333333333,0.7714285714285715,0.028934817534335775,0.03136334015876008,-0.01962438976683275,0.04771382030208706,0.8333333333333334
expanding,hgb,top_50pct,58,6,9.666666666666666,0.8103448275862069,0.027263124336221155,0.025323587956236238,-0.01967785910746088,0.04373402517007518,1.0
expanding,rf,top_30pct,35,6,5.833333333333333,0.6857142857142857,0.020965540864218167,0.02586544034280225,-0.025977914600125003,0.04183291705507701,0.8333333333333334
expanding,rf,top_50pct,58,6,9.666666666666666,0.7241379310344828,0.0202030036477909,0.02014490319952389,-0.024919919108769253,0.04058028833327455,1.0
expanding,rule_baseline,all,113,6,18.833333333333332,0.7433628318584071,0.02304689687386328,0.020504276935833454,-0.022984561849837347,0.042772118939123825,1.0
expanding,xgb,top_30pct,35,6,5.833333333333333,0.7428571428571429,0.029004226414301764,0.027801084471643422,-0.01903870320281381,0.04861613983558543,1.0
expanding,xgb,top_50pct,58,6,9.666666666666666,0.7241379310344828,0.02533815282339064,0.02190575488723323,-0.019547886283281884,0.04561501118031849,1.0
rolling_5y,hgb,top_30pct,35,6,5.833333333333333,0.9142857142857143,0.03698563052065987,0.03413376281982572,-0.01915666367251596,0.050762905677994775,1.0
rolling_5y,hgb,top_50pct,58,6,9.666666666666666,0.8620689655172413,0.03123009947352202,0.027574844999636028,-0.0216107008294248,0.04809830898984896,1.0
rolling_5y,rf,top_30pct,35,6,5.833333333333333,0.7714285714285715,0.02867903965913302,0.02586544034280225,-0.01965905651906064,0.04748371177610781,1.0
rolling_5y,rf,top_50pct,58,6,9.666666666666666,0.7758620689655172,0.02671707591476175,0.024921538035733826,-0.02154444976014948,0.04524657345286291,1.0
rolling_5y,rule_baseline,all,113,6,18.833333333333332,0.7433628318584071,0.02304689687386328,0.020504276935833454,-0.022984561849837347,0.042772118939123825,1.0
rolling_5y,xgb,top_30pct,35,6,5.833333333333333,0.8285714285714286,0.034159027489375826,0.031670134301981845,-0.0169336981472197,0.04785212674061059,1.0
rolling_5y,xgb,top_50pct,58,6,9.666666666666666,0.7758620689655172,0.027504571880845388,0.025323587956236238,-0.02065211659454252,0.044576816783656575,1.0
