holding_days,sample_count,win_rate,avg_return,median_return,avg_max_drawdown,avg_max_runup,return_per_day,annualized_equivalent,structure_name,resonance_regime
3,8,0.25,0.007150865265148049,-0.0028653223260713956,-0.009001292702192881,0.020866992226411918,0.0023836217550493497,0.8194517171791962,mean_reversion,usd_down_oil_down
5,8,0.875,0.029065672979077042,0.024782676500321954,-0.009001292702192881,0.034818273666579386,0.0058131345958154085,3.2377156336307316,mean_reversion,usd_down_oil_down
10,8,1.0,0.050394233987100995,0.0382847860391381,-0.009001292702192881,0.06311872372634228,0.005039423398710099,2.4520628399164375,mean_reversion,usd_down_oil_down
15,8,1.0,0.05237150613715599,0.0371199486828927,-0.009001292702192881,0.06752042430122529,0.0034914337424770663,1.3574394962160796,mean_reversion,usd_down_oil_down
20,8,1.0,0.05582001575447046,0.0427540528559589,-0.009001292702192881,0.07382359785539117,0.0027910007877235228,0.9825886945247175,mean_reversion,usd_down_oil_down
30,6,1.0,0.048664282548835036,0.04248422810609498,-0.0032543053243874742,0.08069534559395686,0.0016221427516278344,0.49054948956554933,mean_reversion,usd_down_oil_down
3,9,0.5555555555555556,0.00421865241093839,0.011473962930273585,-0.02685822975111412,0.01954391517070632,0.0014062174703127967,0.42421590892455696,mean_reversion,usd_down_oil_up
5,9,0.4444444444444444,0.005528998660662304,-0.0018846679630551977,-0.03093776507035119,0.024659651755695646,0.0011057997321324608,0.32034623401366,mean_reversion,usd_down_oil_up
10,9,0.8888888888888888,0.023075831743810733,0.019049142546028408,-0.03305262084106767,0.044412360650884115,0.002307583174381073,0.7769581508330536,mean_reversion,usd_down_oil_up
15,9,0.8888888888888888,0.0395024535575412,0.037633468334312914,-0.03375966045497653,0.055468853871040585,0.00263349690383608,0.9172057148226425,mean_reversion,usd_down_oil_up
20,9,0.8888888888888888,0.045806527216578234,0.05168042192355515,-0.03375966045497653,0.061725667331935914,0.0022903263608289115,0.7582757473651065,mean_reversion,usd_down_oil_up
30,6,0.8333333333333334,0.03327857090425331,0.04484327324657578,-0.014503572710117318,0.0649080426388593,0.0011092856968084436,0.3165166333058196,mean_reversion,usd_down_oil_up
3,44,0.5681818181818182,0.008246408011143786,0.0038860202840995672,-0.010095980389499139,0.018992700723701603,0.002748802670381262,0.9934319315822917,mean_reversion,usd_up_oil_down
5,44,0.7272727272727273,0.019065933458494853,0.01486637970727478,-0.011807813303164156,0.02966086004046944,0.0038131866916989708,1.5905686145364082,mean_reversion,usd_up_oil_down
10,44,0.8409090909090909,0.028445894142692173,0.023609491728463272,-0.013468990015420845,0.04595902089033728,0.0028445894142692173,1.0275543607407958,mean_reversion,usd_up_oil_down
15,44,0.9318181818181818,0.0403429643479783,0.022872068933699863,-0.014381266072244998,0.05634278664538508,0.0026895309565318866,0.9434160225477963,mean_reversion,usd_up_oil_down
20,44,0.8636363636363636,0.04596107212004981,0.0337947801437527,-0.014381266072244998,0.0659979331986318,0.0022980536060024904,0.7615524206393884,mean_reversion,usd_up_oil_down
30,44,0.8863636363636364,0.03952986750202792,0.021310646709709613,-0.014826070937681462,0.07036836820469296,0.0013176622500675973,0.38493874044888865,mean_reversion,usd_up_oil_down
3,29,0.6896551724137931,0.0076754451004378355,0.002733132079280276,-0.005194488883916979,0.01625013329302879,0.002558481700145945,0.9008015275173569,mean_reversion,usd_up_oil_up
5,29,0.6551724137931034,0.008543691563430654,0.0027639448272516187,-0.007107676811259635,0.018572181263227603,0.0017087383126861307,0.5353724649230858,mean_reversion,usd_up_oil_up
10,29,0.6896551724137931,0.008363497591369298,0.010489210769359714,-0.014110964031020868,0.027120832838581542,0.0008363497591369299,0.2335345629407921,mean_reversion,usd_up_oil_up
15,29,0.6896551724137931,0.015665706440159747,0.020563250254288734,-0.018337081235030056,0.035991130558999766,0.001044380429343983,0.29841419189848506,mean_reversion,usd_up_oil_up
20,29,0.6551724137931034,0.01674192776677546,0.02294506147903408,-0.021123337343932784,0.04663859109349623,0.000837096388338773,0.23269387178683476,mean_reversion,usd_up_oil_up
30,29,0.5862068965517241,0.0134353057879785,0.012792417737296002,-0.027916327787262565,0.05334486385963524,0.00044784352626595,0.11863048981104463,mean_reversion,usd_up_oil_up
3,46,0.41304347826086957,-0.00705721816534251,-0.004403488007791667,-0.01897548700056269,0.014495717632553022,-0.00235240605511417,-0.44838668886956,pullback_repair,usd_down_oil_down
5,46,0.5,-0.004115056188077842,-0.0006273359577806947,-0.023058212093977147,0.017502768855564836,-0.0008230112376155684,-0.1876522241273021,pullback_repair,usd_down_oil_down
10,46,0.5217391304347826,0.0029266814439544127,0.0004885315010483282,-0.030620042475033138,0.02725607005988567,0.0002926681443954413,0.07642423841180768,pullback_repair,usd_down_oil_down
15,46,0.5869565217391305,0.004032789309789648,0.005695745262512153,-0.036882190537021346,0.035142380033932205,0.0002688526206526432,0.0699528842686965,pullback_repair,usd_down_oil_down
20,46,0.6521739130434783,0.01539715624863378,0.01917125875735748,-0.03781993821346332,0.04296758280828954,0.0007698578124316891,0.2123077427886748,pullback_repair,usd_down_oil_down
30,46,0.7608695652173914,0.04086732783242116,0.04470570652134276,-0.0400983443650419,0.0668497400090675,0.0013622442610807053,0.3999778445534845,pullback_repair,usd_down_oil_down
3,50,0.6,0.001374202571315164,0.0043990231494306364,-0.011621673541206048,0.014130296893973715,0.0004580675237717213,0.12227039789227145,pullback_repair,usd_down_oil_up
5,50,0.56,-0.00011670495395227798,0.0039349550984170145,-0.014496224070657766,0.017892834528893453,-2.3340990790455597e-05,-0.005865006236045689,pullback_repair,usd_down_oil_up
10,50,0.54,0.0008550675592058509,0.0015596297988537122,-0.02255755393059692,0.0251761606003664,8.55067559205851e-05,0.021772123075633143,pullback_repair,usd_down_oil_up
15,50,0.52,2.058245544906301e-05,0.0024395466464379734,-0.0273687089647931,0.029285523362107505,1.3721636966042007e-06,0.00034584148242000623,pullback_repair,usd_down_oil_up
20,50,0.46,0.0044048537072582,-0.0029344016810210483,-0.031102536338438753,0.03472537090014689,0.00022024268536291,0.056941412496180455,pullback_repair,usd_down_oil_up
30,50,0.56,0.020522864816679115,0.015159109692616024,-0.032968878428746545,0.048418352649859865,0.0006840954938893038,0.18607188682171638,pullback_repair,usd_down_oil_up
3,54,0.4444444444444444,-0.00147650273274091,-0.0009770315901551085,-0.012290087546419356,0.012315432990976816,-0.0004921675775803033,-0.11672428783751321,pullback_repair,usd_up_oil_down
5,54,0.48148148148148145,-0.00011441266043634754,-0.00130258220848678,-0.01684555192374876,0.017603897591980767,-2.2882532087269507e-05,-0.0057501323260064074,pullback_repair,usd_up_oil_down
10,54,0.5185185185185185,0.004661341933797237,0.0007032547607096484,-0.02145258254526714,0.026882862503414515,0.0004661341933797237,0.1243362824167491,pullback_repair,usd_up_oil_down
15,54,0.6111111111111112,0.012342136353922804,0.0035507195163424488,-0.024902854150673552,0.03728207362882331,0.0008228090902615202,0.2288499900505394,pullback_repair,usd_up_oil_down
20,54,0.6481481481481481,0.014661175097111519,0.010725995852648773,-0.02662100130449785,0.045557221138345975,0.0007330587548555759,0.20128247224966178,pullback_repair,usd_up_oil_down
30,54,0.5740740740740741,0.026591081880573415,0.016162818837582527,-0.027745269542430655,0.060561454320357824,0.0008863693960191138,0.24663378422846027,pullback_repair,usd_up_oil_down
3,47,0.5319148936170213,0.0030904388596048734,0.002884963206401858,-0.013773853875428255,0.016109602625319363,0.0010301462865349579,0.2958884926818355,pullback_repair,usd_up_oil_up
5,47,0.5957446808510638,0.006643413080918598,0.008224059725667976,-0.01776192067308281,0.02464589714172242,0.0013286826161837196,0.3961531719023126,pullback_repair,usd_up_oil_up
10,47,0.5106382978723404,0.002825595021366372,8.126114116047134e-05,-0.024213061088269056,0.033914116844034205,0.0002825595021366372,0.07369351266051805,pullback_repair,usd_up_oil_up
15,47,0.5957446808510638,0.0032440887961067808,0.006626830779973725,-0.030257846303667114,0.041228792582642906,0.0002162725864071187,0.05592005820308943,pullback_repair,usd_up_oil_up
20,47,0.5106382978723404,0.0001536617183732155,0.0013777057607906595,-0.040138640030068375,0.0493357234065085,7.683085918660774e-06,0.0019378641481042624,pullback_repair,usd_up_oil_up
30,47,0.5531914893617021,0.009055462979641847,0.0054826884218563965,-0.04248358665699696,0.05710598737103942,0.00030184876598806157,0.07866433430114173,pullback_repair,usd_up_oil_up
3,19,0.7368421052631579,0.009607603907405829,0.009307398627404151,-0.009875111933581891,0.019029064983176528,0.0032025346358019427,1.2326439879219508,trend_continuation,usd_down_oil_down
5,19,0.6842105263157895,0.013366555774421286,0.010630946409881936,-0.016009373397990887,0.03619984704500102,0.002673311154884257,0.9526975594334621,trend_continuation,usd_down_oil_down
10,19,0.47368421052631576,0.00045420228309361584,-0.005368679845908386,-0.0340897080797678,0.0485647002603922,4.5420228309361585e-05,0.011509023954143771,trend_continuation,usd_down_oil_down
15,19,0.7368421052631579,0.013715863621204605,0.019732879145184068,-0.035952308673262004,0.056517423556241786,0.000914390908080307,0.2571667301964291,trend_continuation,usd_down_oil_down
20,19,0.7368421052631579,0.01972003921190671,0.024345481994639595,-0.03831349850625838,0.06145175999267929,0.0009860019605953355,0.27896900700001015,trend_continuation,usd_down_oil_down
30,19,0.6842105263157895,0.027012782272219805,0.03912668812129705,-0.0388030815646082,0.06815311367323218,0.0009004260757406601,0.2509418750084125,trend_continuation,usd_down_oil_down
3,24,0.6666666666666666,-0.005464476821475758,0.003583746934029408,-0.02131185658419386,0.016842075088399494,-0.0018214922738252527,-0.36888979599445504,trend_continuation,usd_down_oil_up
