group_type,group_key,sample_count,avg_future_10d_return,positive_rate,avg_max_high_return,avg_max_drawdown_from_close
event_type,breakdown_20d,49,0.00311461,0.591837,0.03118637,-0.03901179
event_type,breakdown_60d,23,0.01167025,0.695652,0.03880717,-0.04343606
event_type,breakout_20d,108,0.00615645,0.555556,0.02564151,-0.02299114
event_type,breakout_60d,67,0.00396061,0.522388,0.02774747,-0.02275914
event_type,near_resistance_20d,216,0.00430632,0.537037,0.02469107,-0.02260700
event_type,near_support_20d,105,0.00956017,0.666667,0.03239163,-0.02775471
action_label,confirmed_breakdown_reduce,16,-0.05694269,0.000000,-0.00050726,-0.09780183
action_label,confirmed_breakout_add_or_hold,69,0.03056850,1.000000,0.04285672,-0.00445383
action_label,false_breakdown_avoid_panic_sell,55,0.02417633,0.800000,0.04388533,-0.02352693
action_label,false_breakout_avoid_chase,96,-0.01146954,0.270833,0.01581679,-0.03713554
action_label,resistance_break_watch,90,0.03445884,1.000000,0.04579475,-0.00732348
action_label,resistance_reject_watch,126,-0.01723119,0.206349,0.00961701,-0.03352380
action_label,support_fail_watch,50,-0.01848942,0.300000,0.01556726,-0.05397643
action_label,support_hold_watch,55,0.03505981,1.000000,0.04768651,-0.00391678
action_label,uncertain_breakdown_wait,1,0.00241630,1.000000,0.01511979,-0.05179667
action_label,uncertain_breakout_wait,10,-0.00778939,0.000000,0.01528382,-0.01355799
event_type_x_volume_bucket,breakdown_20d|extreme_high,7,-0.00980768,0.428571,0.04981559,-0.08091699
event_type_x_volume_bucket,breakdown_20d|high,16,0.01422560,0.625000,0.03453469,-0.03943153
event_type_x_volume_bucket,breakdown_20d|mild_high,13,0.00270027,0.615385,0.02533244,-0.02190441
event_type_x_volume_bucket,breakdown_20d|normal_or_low,13,-0.00318797,0.615385,0.02288816,-0.03303824
event_type_x_volume_bucket,breakdown_60d|extreme_high,8,-0.00153790,0.625000,0.04491020,-0.07310279
event_type_x_volume_bucket,breakdown_60d|high,9,0.02133250,0.666667,0.03925506,-0.03896015
event_type_x_volume_bucket,breakdown_60d|mild_high,5,0.01547456,0.800000,0.03326979,-0.01075744
event_type_x_volume_bucket,breakdown_60d|normal_or_low,1,0.01135367,1.000000,0.01363868,-0.00977846
event_type_x_volume_bucket,breakout_20d|extreme_high,7,-0.00009830,0.428571,0.01935152,-0.01731093
event_type_x_volume_bucket,breakout_20d|high,30,0.01172641,0.600000,0.02979474,-0.02154765
event_type_x_volume_bucket,breakout_20d|mild_high,20,0.00525833,0.550000,0.02470442,-0.02364588
event_type_x_volume_bucket,breakout_20d|normal_or_low,51,0.00409069,0.549020,0.02442926,-0.02436313
event_type_x_volume_bucket,breakout_60d|extreme_high,6,0.00869855,0.500000,0.02355023,-0.01095810
event_type_x_volume_bucket,breakout_60d|high,25,0.01054215,0.640000,0.02968308,-0.02262091
event_type_x_volume_bucket,breakout_60d|mild_high,10,-0.00450871,0.400000,0.02617266,-0.02430551
event_type_x_volume_bucket,breakout_60d|normal_or_low,26,-0.00020373,0.461538,0.02746059,-0.02502061
event_type_x_volume_bucket,near_resistance_20d|extreme_high,6,-0.00568742,0.333333,0.02657443,-0.02689240
event_type_x_volume_bucket,near_resistance_20d|high,32,0.01496496,0.687500,0.03449502,-0.01564723
event_type_x_volume_bucket,near_resistance_20d|mild_high,37,0.00035880,0.486486,0.02534949,-0.02799743
event_type_x_volume_bucket,near_resistance_20d|normal_or_low,141,0.00334848,0.524823,0.02221314,-0.02258966
event_type_x_volume_bucket,near_support_20d|extreme_high,5,-0.00619321,0.400000,0.05156688,-0.08235428
event_type_x_volume_bucket,near_support_20d|high,18,-0.00984972,0.444444,0.03028845,-0.04927901
event_type_x_volume_bucket,near_support_20d|mild_high,27,0.01274869,0.666667,0.03074365,-0.02362311
event_type_x_volume_bucket,near_support_20d|normal_or_low,55,0.01577936,0.763636,0.03214574,-0.01777504
