event_type,stand_window,status,sample_count,avg_future_10d_return,positive_rate,avg_max_drawdown_from_close
breakout_20d,1d,stood,85,0.01066406,0.600000,-0.01909763
breakout_20d,1d,failed,23,-0.01050213,0.391304,-0.03738022
breakout_20d,3d,stood,63,0.01729025,0.682540,-0.01255640
breakout_20d,3d,failed,45,-0.00943087,0.377778,-0.03759978
breakout_20d,5d,stood,54,0.02112758,0.740741,-0.00837932
breakout_20d,5d,failed,54,-0.00881469,0.370370,-0.03760296
breakout_20d,10d,stood,44,0.02833817,0.886364,-0.00457338
breakout_20d,10d,failed,64,-0.00909349,0.328125,-0.03565335
breakout_60d,1d,stood,58,0.00927147,0.568966,-0.01786994
breakout_60d,1d,failed,9,-0.03026493,0.222222,-0.05426730
breakout_60d,3d,stood,47,0.01210212,0.638298,-0.01418161
breakout_60d,3d,failed,20,-0.01517193,0.250000,-0.04291634
breakout_60d,5d,stood,41,0.01665756,0.707317,-0.00861537
breakout_60d,5d,failed,26,-0.01606149,0.230769,-0.04506278
breakout_60d,10d,stood,33,0.02332281,0.848485,-0.00596202
breakout_60d,10d,failed,34,-0.01483211,0.205882,-0.03906223
