date,close,event_type,event_level,support_20d,resistance_20d,support_60d,resistance_60d,volume,volume_ratio_60d,volume_bucket,future_10d_return,future_10d_max_high_return,future_10d_max_drawdown_from_close,stood_1d,stood_3d,stood_5d,stood_10d,first_stand_day,action_label
2020-03-06,20749.750000,breakdown_20d,20834.289062,20834.289062,23995.369141,20834.289062,24115.949219,111700000,1.673158,extreme_high,-0.18612131,-0.01940074,-0.21164398,True,True,True,True,1,confirmed_breakdown_reduce
2020-03-06,20749.750000,breakdown_60d,20834.289062,20834.289062,23995.369141,20834.289062,24115.949219,111700000,1.673158,extreme_high,-0.18612131,-0.01940074,-0.21164398,True,True,True,True,1,confirmed_breakdown_reduce
2020-02-25,22605.410156,breakdown_20d,22775.919922,22775.919922,23995.369141,22775.919922,24115.949219,105800000,1.767113,extreme_high,-0.12113432,-0.00658512,-0.16428105,True,True,True,True,1,confirmed_breakdown_reduce
2020-02-25,22605.410156,breakdown_60d,22775.919922,22775.919922,23995.369141,22775.919922,24115.949219,105800000,1.767113,extreme_high,-0.12113432,-0.00658512,-0.16428105,True,True,True,True,1,confirmed_breakdown_reduce
2025-03-31,35617.558594,breakdown_20d,35987.128906,35987.128906,38220.691406,35987.128906,40398.230469,168400000,1.315437,high,-0.04590992,0.01221253,-0.13546179,True,True,True,True,1,confirmed_breakdown_reduce
2025-03-31,35617.558594,breakdown_60d,35987.128906,35987.128906,38220.691406,35987.128906,40398.230469,168400000,1.315437,high,-0.04590992,0.01221253,-0.13546179,True,True,True,True,1,confirmed_breakdown_reduce
2018-12-19,20987.919922,breakdown_20d,21062.310547,21062.310547,22698.789062,20971.929688,24448.070312,81300000,1.011718,normal_or_low,-0.02672296,-0.00698402,-0.09716732,True,True,True,True,1,confirmed_breakdown_reduce
2018-02-05,22682.080078,breakdown_20d,23092.849609,23092.849609,24129.339844,21972.339844,24129.339844,107600000,1.263751,high,-0.03337350,-0.01447005,-0.07635674,True,True,True,True,1,confirmed_breakdown_reduce
2018-12-20,20392.580078,breakdown_60d,20880.730469,20880.730469,22698.789062,20880.730469,24448.070312,96300000,1.208231,high,-0.01121875,0.00499052,-0.07081007,True,True,True,True,1,confirmed_breakdown_reduce
2025-02-25,38237.789062,breakdown_20d,38401.820312,38401.820312,40279.789062,37801.621094,40398.230469,132900000,1.069962,mild_high,-0.03778146,0.00345658,-0.05885958,True,True,True,True,1,confirmed_breakdown_reduce
2022-12-19,27237.640625,breakdown_20d,27415.660156,27415.660156,28502.289062,25621.960938,28502.289062,58200000,0.795480,normal_or_low,-0.05583381,0.00373930,-0.05785193,True,True,True,True,1,confirmed_breakdown_reduce
2022-09-22,27153.830078,breakdown_20d,27268.699219,27268.699219,28792.929688,25841.750000,29222.769531,62200000,0.949111,normal_or_low,-0.00138915,0.00903590,-0.05641448,True,True,True,False,1,confirmed_breakdown_reduce
2024-04-16,38471.199219,breakdown_20d,38774.238281,38774.238281,41087.750000,35371.250000,41087.750000,133000000,1.099704,mild_high,-0.00512457,0.00356039,-0.04518031,True,True,True,True,1,confirmed_breakdown_reduce
2019-05-09,21402.130859,breakdown_20d,21489.949219,21489.949219,22362.919922,20315.310547,22362.919922,96900000,1.470038,high,-0.01172735,0.00850191,-0.03040266,True,True,True,True,1,confirmed_breakdown_reduce
2019-08-05,20720.289062,breakdown_20d,20960.089844,20960.089844,21823.070312,20289.640625,21823.070312,85800000,1.385323,high,-0.00207856,0.00298121,-0.02941703,True,True,True,True,1,confirmed_breakdown_reduce
2017-08-09,19738.710938,breakdown_20d,19891.900391,19891.900391,20200.880859,19449.730469,20318.109375,104400000,1.070294,mild_high,-0.01950185,0.00461884,-0.01959556,True,True,True,True,1,confirmed_breakdown_reduce
2020-06-02,22325.609375,breakout_20d,22161.390625,19448.929688,22161.390625,16358.190430,22161.390625,77900000,0.727267,normal_or_low,0.01149360,0.03853155,-0.03564424,True,True,True,False,1,confirmed_breakout_add_or_hold
2025-10-06,47944.761719,breakout_20d,45852.750000,42066.589844,45852.750000,39288.898438,45852.750000,178300000,1.409338,high,0.02860160,0.04173944,-0.02921510,True,True,True,True,1,confirmed_breakout_add_or_hold
2025-10-06,47944.761719,breakout_60d,45852.750000,42066.589844,45852.750000,39288.898438,45852.750000,178300000,1.409338,high,0.02860160,0.04173944,-0.02921510,True,True,True,True,1,confirmed_breakout_add_or_hold
2023-06-05,32217.429688,breakout_20d,31560.429688,28931.810547,31560.429688,26632.919922,31560.429688,98800000,1.242767,high,0.03578784,0.04828011,-0.02473756,True,True,True,True,1,confirmed_breakout_add_or_hold
2023-06-05,32217.429688,breakout_60d,31560.429688,28931.810547,31560.429688,26632.919922,31560.429688,98800000,1.242767,high,0.03578784,0.04828011,-0.02473756,True,True,True,True,1,confirmed_breakout_add_or_hold
