event_type,decision_window,fallback_below_resistance,sample_count,avg_future_10d_return,positive_rate,avg_max_drawdown_from_close,avg_fallback_depth_in_window,reclaim_within_same_window_count,reclaim_within_same_window_rate,reclaim_within_10d_count,reclaim_within_10d_rate
breakout_20d,3d,False,63,0.01729025,0.682540,-0.01255640,0.00000000,0,0.000000,10,0.158730
breakout_20d,3d,True,45,-0.00943087,0.377778,-0.03759978,-0.01149550,11,0.244444,29,0.644444
breakout_20d,5d,False,54,0.02112758,0.740741,-0.00837932,0.00000000,0,0.000000,4,0.074074
breakout_20d,5d,True,54,-0.00881469,0.370370,-0.03760296,-0.01681818,23,0.425926,35,0.648148
breakout_20d,10d,False,44,0.02833817,0.886364,-0.00457338,0.00000000,0,0.000000,0,0.000000
breakout_20d,10d,True,64,-0.00909349,0.328125,-0.03565335,-0.02371464,39,0.609375,39,0.609375
breakout_60d,3d,False,47,0.01210212,0.638298,-0.01418161,0.00000000,0,0.000000,7,0.148936
breakout_60d,3d,True,20,-0.01517193,0.250000,-0.04291634,-0.00994785,2,0.100000,14,0.700000
breakout_60d,5d,False,41,0.01665756,0.707317,-0.00861537,0.00000000,0,0.000000,4,0.097561
breakout_60d,5d,True,26,-0.01606149,0.230769,-0.04506278,-0.01710809,11,0.423077,17,0.653846
breakout_60d,10d,False,33,0.02332281,0.848485,-0.00596202,0.00000000,0,0.000000,0,0.000000
breakout_60d,10d,True,34,-0.01483211,0.205882,-0.03906223,-0.02667160,21,0.617647,21,0.617647
all_breakouts,3d,False,110,0.01507350,0.663636,-0.01325081,0.00000000,0,0.000000,17,0.154545
all_breakouts,3d,True,65,-0.01119735,0.338462,-0.03923565,-0.01101930,13,0.200000,43,0.661538
all_breakouts,5d,False,95,0.01919841,0.726316,-0.00848119,0.00000000,0,0.000000,8,0.084211
all_breakouts,5d,True,80,-0.01116990,0.325000,-0.04002740,-0.01691240,34,0.425000,52,0.650000
all_breakouts,10d,False,77,0.02618873,0.870130,-0.00516851,0.00000000,0,0.000000,0,0.000000
all_breakouts,10d,True,98,-0.01108444,0.285714,-0.03683603,-0.02474052,60,0.612245,60,0.612245
breakout_20d,3d_to_5d_to_10d_path,3d_fall__5d_fall__10d_fall,45,-0.00943087,0.377778,-0.03759978,-0.02679487,,,29,0.644444
breakout_20d,3d_to_5d_to_10d_path,3d_no_fall__5d_fall__10d_fall,9,-0.00573376,0.333333,-0.03761887,-0.02100478,,,6,0.666667
breakout_20d,3d_to_5d_to_10d_path,3d_no_fall__5d_no_fall__10d_fall,10,-0.01059901,0.100000,-0.02512547,-0.01229249,,,4,0.400000
breakout_20d,3d_to_5d_to_10d_path,3d_no_fall__5d_no_fall__10d_no_fall,44,0.02833817,0.886364,-0.00457338,0.00000000,,,0,0.000000
breakout_60d,3d_to_5d_to_10d_path,3d_fall__5d_fall__10d_fall,20,-0.01517193,0.250000,-0.04291634,-0.03286502,,,14,0.700000
breakout_60d,3d_to_5d_to_10d_path,3d_no_fall__5d_fall__10d_fall,6,-0.01902668,0.166667,-0.05221759,-0.03170011,,,3,0.500000
breakout_60d,3d_to_5d_to_10d_path,3d_no_fall__5d_no_fall__10d_fall,8,-0.01083664,0.125000,-0.01956043,-0.00741667,,,4,0.500000
breakout_60d,3d_to_5d_to_10d_path,3d_no_fall__5d_no_fall__10d_no_fall,33,0.02332281,0.848485,-0.00596202,0.00000000,,,0,0.000000
all_breakouts,3d_to_5d_to_10d_path,3d_fall__5d_fall__10d_fall,65,-0.01119735,0.338462,-0.03923565,-0.02866261,,,43,0.661538
all_breakouts,3d_to_5d_to_10d_path,3d_no_fall__5d_fall__10d_fall,15,-0.01105093,0.266667,-0.04345836,-0.02528291,,,9,0.600000
all_breakouts,3d_to_5d_to_10d_path,3d_no_fall__5d_no_fall__10d_fall,18,-0.01070462,0.111111,-0.02265212,-0.01012546,,,8,0.444444
all_breakouts,3d_to_5d_to_10d_path,3d_no_fall__5d_no_fall__10d_no_fall,77,0.02618873,0.870130,-0.00516851,0.00000000,,,0,0.000000
