group_type,event_type,window,volume_bucket,fallback_state,sample_count,avg_volume_ratio_60d,avg_future_10d_return,positive_rate,avg_max_drawdown_from_close,fallback_rate_3d,fallback_rate_5d,fallback_rate_10d,reclaim_rate_10d_after_fallback
volume_bucket,all_breakouts,all,normal_or_low,all,77,0.902531,0.00264063,0.519481,-0.02458514,0.428571,0.506494,0.597403,0.521739
volume_bucket,all_breakouts,all,mild_high,all,30,1.125887,0.00200265,0.500000,-0.02386576,0.533333,0.600000,0.700000,0.571429
volume_bucket,all_breakouts,all,high,all,55,1.327446,0.01118811,0.618182,-0.02203550,0.272727,0.363636,0.472727,0.769231
volume_bucket,all_breakouts,all,extreme_high,all,13,1.683898,0.00396178,0.461538,-0.01437886,0.076923,0.230769,0.384615,0.800000
volume_bucket,breakout_20d,all,normal_or_low,all,51,0.900916,0.00409069,0.549020,-0.02436313,0.470588,0.529412,0.607843,0.548387
volume_bucket,breakout_20d,all,mild_high,all,20,1.120732,0.00525833,0.550000,-0.02364588,0.550000,0.650000,0.750000,0.600000
volume_bucket,breakout_20d,all,high,all,30,1.328682,0.01172641,0.600000,-0.02154765,0.300000,0.400000,0.500000,0.733333
volume_bucket,breakout_20d,all,extreme_high,all,7,1.690718,-0.00009830,0.428571,-0.01731093,0.142857,0.285714,0.428571,0.666667
volume_bucket,breakout_60d,all,normal_or_low,all,26,0.905699,-0.00020373,0.461538,-0.02502061,0.346154,0.461538,0.576923,0.466667
volume_bucket,breakout_60d,all,mild_high,all,10,1.136198,-0.00450871,0.400000,-0.02430551,0.500000,0.500000,0.600000,0.500000
volume_bucket,breakout_60d,all,high,all,25,1.325962,0.01054215,0.640000,-0.02262091,0.240000,0.320000,0.440000,0.818182
volume_bucket,breakout_60d,all,extreme_high,all,6,1.675942,0.00869855,0.500000,-0.01095810,0.000000,0.166667,0.333333,1.000000
volume_bucket_x_fallback,all_breakouts,3d,normal_or_low,fallback_False,44,0.917831,0.01622526,0.681818,-0.01182583,,,,
volume_bucket_x_fallback,all_breakouts,3d,normal_or_low,fallback_True,33,0.882131,-0.01547221,0.303030,-0.04159755,,,,
volume_bucket_x_fallback,all_breakouts,3d,mild_high,fallback_False,14,1.126487,0.01041367,0.642857,-0.01149067,,,,
volume_bucket_x_fallback,all_breakouts,3d,mild_high,fallback_True,16,1.125363,-0.00535699,0.375000,-0.03469396,,,,
volume_bucket_x_fallback,all_breakouts,3d,high,fallback_False,40,1.321933,0.01735000,0.700000,-0.01612214,,,,
volume_bucket_x_fallback,all_breakouts,3d,high,fallback_True,15,1.342146,-0.00524358,0.400000,-0.03780445,,,,
volume_bucket_x_fallback,all_breakouts,3d,extreme_high,fallback_False,12,1.675942,0.00869855,0.500000,-0.01095810,,,,
volume_bucket_x_fallback,all_breakouts,5d,normal_or_low,fallback_False,38,0.911295,0.02104117,0.763158,-0.00755517,,,,
volume_bucket_x_fallback,all_breakouts,5d,normal_or_low,fallback_True,39,0.893992,-0.01528811,0.282051,-0.04117844,,,,
volume_bucket_x_fallback,all_breakouts,5d,mild_high,fallback_False,12,1.134193,0.01184268,0.666667,-0.01027384,,,,
volume_bucket_x_fallback,all_breakouts,5d,mild_high,fallback_True,18,1.120350,-0.00455737,0.388889,-0.03292703,,,,
volume_bucket_x_fallback,all_breakouts,5d,high,fallback_False,35,1.329798,0.02170007,0.742857,-0.00937128,,,,
volume_bucket_x_fallback,all_breakouts,5d,high,fallback_True,20,1.323329,-0.00720780,0.400000,-0.04419788,,,,
volume_bucket_x_fallback,all_breakouts,5d,extreme_high,fallback_False,10,1.650763,0.01226701,0.600000,-0.00673360,,,,
volume_bucket_x_fallback,all_breakouts,5d,extreme_high,fallback_True,3,1.794348,-0.02372231,0.000000,-0.03986304,,,,
volume_bucket_x_fallback,all_breakouts,10d,normal_or_low,fallback_False,31,0.913791,0.02897678,0.903226,-0.00360301,,,,
volume_bucket_x_fallback,all_breakouts,10d,normal_or_low,fallback_True,46,0.894943,-0.01510765,0.260870,-0.03872527,,,,
volume_bucket_x_fallback,all_breakouts,10d,mild_high,fallback_False,9,1.138523,0.02138488,0.888889,-0.00375840,,,,
volume_bucket_x_fallback,all_breakouts,10d,mild_high,fallback_True,21,1.120472,-0.00630402,0.333333,-0.03248319,,,,
volume_bucket_x_fallback,all_breakouts,10d,high,fallback_False,29,1.335717,0.02737052,0.862069,-0.00739243,,,,
