group_type,group_key,sample_count,avg_future_10d_return,median_future_10d_return,positive_rate,avg_max_drawdown_from_close,worst_max_drawdown_from_close,fallback_5d_rate,fallback_10d_rate,avg_volume_ratio_60d
rule_label,A_volume_confirmed_breakout,45,0.01960383,0.02020739,0.711111,-0.00878513,-0.02921510,0.000000,0.177778,1.401124
rule_label,B_price_confirmed_breakout,50,0.01883354,0.01512761,0.740000,-0.00820765,-0.04635403,0.000000,0.200000,0.964791
rule_label,D_failed_or_fallback,80,-0.01116990,-0.00705365,0.325000,-0.04002740,-0.12624028,1.000000,1.000000,1.086020
suggested_position_action,formal_add,45,0.01960383,0.02020739,0.711111,-0.00878513,-0.02921510,0.000000,0.177778,1.401124
suggested_position_action,pause_add_or_reduce,80,-0.01116990,-0.00705365,0.325000,-0.04002740,-0.12624028,1.000000,1.000000,1.086020
suggested_position_action,small_add_or_hold,50,0.01883354,0.01512761,0.740000,-0.00820765,-0.04635403,0.000000,0.200000,0.964791
rule_label_x_event_type,A_volume_confirmed_breakout|breakout_20d,23,0.02010177,0.02071220,0.695652,-0.00820711,-0.02921510,0.000000,0.173913,1.405569
rule_label_x_event_type,A_volume_confirmed_breakout|breakout_60d,22,0.01908326,0.02020739,0.727273,-0.00938942,-0.02921510,0.000000,0.181818,1.396476
rule_label_x_event_type,B_price_confirmed_breakout|breakout_20d,31,0.02188867,0.01512761,0.774194,-0.00850708,-0.04635403,0.000000,0.193548,0.958816
rule_label_x_event_type,B_price_confirmed_breakout|breakout_60d,19,0.01384885,0.01509672,0.684211,-0.00771910,-0.02515271,0.000000,0.210526,0.974540
rule_label_x_event_type,D_failed_or_fallback|breakout_20d,54,-0.00881469,-0.00583928,0.370370,-0.03760296,-0.12624028,1.000000,1.000000,1.074175
rule_label_x_event_type,D_failed_or_fallback|breakout_60d,26,-0.01606149,-0.00914377,0.230769,-0.04506278,-0.12624028,1.000000,1.000000,1.110620
rule_label_x_volume_bucket,A_volume_confirmed_breakout|extreme_high,10,0.01226701,0.00174867,0.600000,-0.00673360,-0.01463004,0.000000,0.200000,1.650763
rule_label_x_volume_bucket,A_volume_confirmed_breakout|high,35,0.02170007,0.02071220,0.742857,-0.00937128,-0.02921510,0.000000,0.171429,1.329798
rule_label_x_volume_bucket,B_price_confirmed_breakout|mild_high,12,0.01184268,0.01283614,0.666667,-0.01027384,-0.04635403,0.000000,0.250000,1.134193
rule_label_x_volume_bucket,B_price_confirmed_breakout|normal_or_low,38,0.02104117,0.02333481,0.763158,-0.00755517,-0.03564424,0.000000,0.184211,0.911295
rule_label_x_volume_bucket,D_failed_or_fallback|extreme_high,3,-0.02372231,-0.00914377,0.000000,-0.03986304,-0.05542793,1.000000,1.000000,1.794348
rule_label_x_volume_bucket,D_failed_or_fallback|high,20,-0.00720780,-0.00583928,0.400000,-0.04419788,-0.12248342,1.000000,1.000000,1.323329
rule_label_x_volume_bucket,D_failed_or_fallback|mild_high,18,-0.00455737,-0.00175272,0.388889,-0.03292703,-0.06552315,1.000000,1.000000,1.120350
rule_label_x_volume_bucket,D_failed_or_fallback|normal_or_low,39,-0.01528811,-0.00622872,0.282051,-0.04117844,-0.12624028,1.000000,1.000000,0.893992
