calendar_year,rule_label,sample_count,avg_future_10d_return,positive_rate,avg_max_drawdown_from_close,fallback_5d_rate,avg_volume_ratio_60d
2016,A_volume_confirmed_breakout,4,0.02848471,1.000000,-0.00037445,0.000000,1.443134
2017,A_volume_confirmed_breakout,4,-0.00039432,0.250000,-0.01664479,0.000000,1.296542
2018,A_volume_confirmed_breakout,2,0.05091864,1.000000,-0.00239926,0.000000,1.522572
2019,A_volume_confirmed_breakout,9,0.00735620,0.555556,-0.00778194,0.000000,1.579243
2020,A_volume_confirmed_breakout,4,0.04162395,1.000000,-0.00215842,0.000000,1.316121
2021,A_volume_confirmed_breakout,5,0.01226457,0.800000,-0.00924184,0.000000,1.322200
2022,A_volume_confirmed_breakout,3,0.00335407,0.666667,-0.00607429,0.000000,1.269642
2023,A_volume_confirmed_breakout,7,0.03718996,0.857143,-0.00699771,0.000000,1.354124
2024,A_volume_confirmed_breakout,2,0.03276956,1.000000,-0.00973291,0.000000,1.332870
2025,A_volume_confirmed_breakout,4,0.01051116,0.500000,-0.02140267,0.000000,1.430585
2026,A_volume_confirmed_breakout,1,-0.00402660,0.000000,-0.02529174,0.000000,1.282165
2016,B_price_confirmed_breakout,4,-0.00038968,0.500000,-0.01092792,0.000000,0.935973
2017,B_price_confirmed_breakout,7,0.04100275,1.000000,-0.00182185,0.000000,0.925626
2018,B_price_confirmed_breakout,6,0.00394576,0.666667,-0.00781282,0.000000,1.051848
2019,B_price_confirmed_breakout,5,0.00311416,0.400000,-0.00918255,0.000000,0.953046
2020,B_price_confirmed_breakout,5,0.03477335,0.800000,-0.01846707,0.000000,0.738528
2021,B_price_confirmed_breakout,2,0.03924609,1.000000,0.00147525,0.000000,1.158389
2022,B_price_confirmed_breakout,1,0.00222688,1.000000,-0.00560580,0.000000,0.875692
2023,B_price_confirmed_breakout,5,-0.00166808,0.400000,-0.01784290,0.000000,1.034690
2024,B_price_confirmed_breakout,7,0.02234864,0.714286,-0.00542369,0.000000,1.047572
2025,B_price_confirmed_breakout,7,0.02229714,1.000000,-0.00418167,0.000000,0.908219
2026,B_price_confirmed_breakout,1,0.05820510,1.000000,-0.00968543,0.000000,1.190853
2016,D_failed_or_fallback,8,0.00499395,0.500000,-0.03937887,1.000000,1.157841
2017,D_failed_or_fallback,7,-0.00750263,0.285714,-0.02714526,1.000000,1.187927
2018,D_failed_or_fallback,6,-0.06237688,0.000000,-0.07943721,1.000000,0.934749
2019,D_failed_or_fallback,4,0.00944705,0.750000,-0.02124770,1.000000,0.897744
2020,D_failed_or_fallback,11,0.00354597,0.363636,-0.02170406,1.000000,0.977582
2021,D_failed_or_fallback,3,-0.01853895,0.333333,-0.04022183,1.000000,1.058275
2022,D_failed_or_fallback,7,-0.02463302,0.428571,-0.04248533,1.000000,1.028194
2023,D_failed_or_fallback,7,0.00202597,0.571429,-0.02736930,1.000000,1.187333
2024,D_failed_or_fallback,14,-0.02749828,0.000000,-0.05074373,1.000000,1.094929
2025,D_failed_or_fallback,7,0.00627323,0.285714,-0.03035732,1.000000,1.197095
2026,D_failed_or_fallback,6,-0.00477136,0.500000,-0.06070409,1.000000,1.159720
