group_type,group_key,sample_count,trial_3d_allowed_rate,formal_5d_allowed_rate,trial_entry_avg_future_10d_return,trial_entry_positive_rate_10d,trial_entry_avg_10d_drawdown,formal_entry_avg_future_10d_return,formal_entry_positive_rate_10d,formal_entry_avg_10d_drawdown,formal_entry_avg_future_20d_return,formal_entry_positive_rate_20d,formal_entry_avg_20d_drawdown,trial_entry_good_rate,formal_entry_good_rate,avg_breakout_volume_ratio_60d
entry_timing_label,A_formal_add_volume_confirmed_5d_no_fallback,45,1.000000,1.000000,0.00681826,0.533333,-0.01689897,0.00205545,0.444444,-0.02396164,0.02182367,0.622222,-0.02996366,0.488889,0.511111,1.401124
entry_timing_label,B_formal_add_price_confirmed_5d_no_fallback,49,1.000000,1.000000,0.00487225,0.632653,-0.01841809,0.00312355,0.632653,-0.02434270,0.00546251,0.551020,-0.04262098,0.632653,0.428571,0.960177
entry_timing_label,C_trial_only_3d_ok_but_5d_failed,15,1.000000,0.000000,-0.01227741,0.466667,-0.04267179,0.00707370,0.600000,-0.02558067,0.00447113,0.600000,-0.03437905,0.466667,0.000000,1.190260
entry_timing_label,D_no_entry_fallback_within_3d,65,0.000000,0.000000,-0.00002641,0.476923,-0.02883923,0.00429940,0.646154,-0.02669587,0.00585883,0.507692,-0.04031981,0.000000,0.000000,1.061965
suggested_action,avoid_or_wait_reclaim,65,0.000000,0.000000,-0.00002641,0.476923,-0.02883923,0.00429940,0.646154,-0.02669587,0.00585883,0.507692,-0.04031981,0.000000,0.000000,1.061965
suggested_action,formal_add,45,1.000000,1.000000,0.00681826,0.533333,-0.01689897,0.00205545,0.444444,-0.02396164,0.02182367,0.622222,-0.02996366,0.488889,0.511111,1.401124
suggested_action,small_add_or_hold,49,1.000000,1.000000,0.00487225,0.632653,-0.01841809,0.00312355,0.632653,-0.02434270,0.00546251,0.551020,-0.04262098,0.632653,0.428571,0.960177
suggested_action,trial_only_or_stop_add,15,1.000000,0.000000,-0.01227741,0.466667,-0.04267179,0.00707370,0.600000,-0.02558067,0.00447113,0.600000,-0.03437905,0.466667,0.000000,1.190260
entry_timing_label_x_event_type,A_formal_add_volume_confirmed_5d_no_fallback|breakout_20d,23,1.000000,1.000000,0.00484791,0.521739,-0.01774118,-0.00356541,0.391304,-0.02760372,0.01591695,0.565217,-0.03409609,0.478261,0.478261,1.405569
entry_timing_label_x_event_type,A_formal_add_volume_confirmed_5d_no_fallback|breakout_60d,22,1.000000,1.000000,0.00887817,0.545455,-0.01601848,0.00793181,0.500000,-0.02015401,0.02799887,0.681818,-0.02564340,0.500000,0.545455,1.396476
entry_timing_label_x_event_type,B_formal_add_price_confirmed_5d_no_fallback|breakout_20d,30,1.000000,1.000000,0.00542250,0.666667,-0.01769903,0.00334938,0.633333,-0.02249551,0.00555715,0.566667,-0.03966195,0.666667,0.400000,0.951081
entry_timing_label_x_event_type,B_formal_add_price_confirmed_5d_no_fallback|breakout_60d,19,1.000000,1.000000,0.00400344,0.578947,-0.01955346,0.00276697,0.631579,-0.02725932,0.00531309,0.526316,-0.04729313,0.578947,0.473684,0.974540
entry_timing_label_x_event_type,C_trial_only_3d_ok_but_5d_failed|breakout_20d,9,1.000000,0.000000,-0.00817557,0.555556,-0.03660958,0.00797566,0.666667,-0.02184929,0.00383011,0.555556,-0.03477476,0.555556,0.000000,1.182298
entry_timing_label_x_event_type,C_trial_only_3d_ok_but_5d_failed|breakout_60d,6,1.000000,0.000000,-0.01843016,0.333333,-0.05176510,0.00572077,0.500000,-0.03117775,0.00543266,0.666667,-0.03378549,0.333333,0.000000,1.202203
entry_timing_label_x_event_type,D_no_entry_fallback_within_3d|breakout_20d,45,0.000000,0.000000,0.00168690,0.466667,-0.02592288,0.00662576,0.644444,-0.02348422,0.00797135,0.533333,-0.03571729,0.000000,0.000000,1.052551
entry_timing_label_x_event_type,D_no_entry_fallback_within_3d|breakout_60d,20,0.000000,0.000000,-0.00388136,0.500000,-0.03540102,-0.00093489,0.650000,-0.03392206,0.00110567,0.450000,-0.05067549,0.000000,0.000000,1.083145
entry_timing_label_x_volume_bucket,A_formal_add_volume_confirmed_5d_no_fallback|extreme_high,10,1.000000,1.000000,-0.01134475,0.200000,-0.02043556,-0.00815505,0.200000,-0.03041665,-0.01378465,0.400000,-0.04614932,0.200000,0.200000,1.650763
