calendar_year,entry_timing_label,sample_count,formal_entry_avg_future_10d_return,formal_entry_positive_rate_10d,formal_entry_avg_10d_drawdown,trial_entry_avg_future_10d_return,trial_entry_positive_rate_10d
2016,A_formal_add_volume_confirmed_5d_no_fallback,4,0.01200278,1.000000,-0.01208684,0.01295489,0.500000
2017,A_formal_add_volume_confirmed_5d_no_fallback,4,-0.00252940,0.250000,-0.02631705,-0.00836203,0.250000
2018,A_formal_add_volume_confirmed_5d_no_fallback,2,-0.01813768,0.000000,-0.02367229,0.00459520,1.000000
2019,A_formal_add_volume_confirmed_5d_no_fallback,9,-0.00099681,0.222222,-0.02475912,-0.00152667,0.333333
2020,A_formal_add_volume_confirmed_5d_no_fallback,4,0.02120483,0.500000,-0.01482777,0.03358315,1.000000
2021,A_formal_add_volume_confirmed_5d_no_fallback,5,-0.03163043,0.000000,-0.04832231,-0.01644694,0.400000
2022,A_formal_add_volume_confirmed_5d_no_fallback,3,-0.06297363,0.000000,-0.06725809,-0.03863619,0.000000
2023,A_formal_add_volume_confirmed_5d_no_fallback,7,0.02174692,0.857143,-0.00669784,0.04067259,0.857143
2024,A_formal_add_volume_confirmed_5d_no_fallback,2,0.04502110,1.000000,-0.00699780,0.04214364,1.000000
2025,A_formal_add_volume_confirmed_5d_no_fallback,4,0.02179825,0.500000,-0.01896929,-0.00020342,0.500000
2026,A_formal_add_volume_confirmed_5d_no_fallback,1,0.03263866,1.000000,-0.01502692,-0.01137122,0.000000
2016,B_formal_add_price_confirmed_5d_no_fallback,4,0.02691784,1.000000,-0.03753355,-0.01032771,0.500000
2017,B_formal_add_price_confirmed_5d_no_fallback,7,0.03258911,1.000000,-0.00381537,0.03752651,1.000000
2018,B_formal_add_price_confirmed_5d_no_fallback,6,-0.00437327,0.333333,-0.01493764,-0.00105675,0.666667
2019,B_formal_add_price_confirmed_5d_no_fallback,5,-0.01000484,0.600000,-0.02772458,-0.01043792,0.400000
2020,B_formal_add_price_confirmed_5d_no_fallback,5,0.00070255,0.400000,-0.02998806,0.01881207,0.600000
2021,B_formal_add_price_confirmed_5d_no_fallback,2,-0.01371028,0.500000,-0.02842438,0.00689484,1.000000
2022,B_formal_add_price_confirmed_5d_no_fallback,1,0.00373723,1.000000,-0.00668033,0.01985578,1.000000
2023,B_formal_add_price_confirmed_5d_no_fallback,5,-0.00047668,0.600000,-0.02717245,-0.00932140,0.400000
2024,B_formal_add_price_confirmed_5d_no_fallback,7,-0.03264656,0.285714,-0.04356035,-0.00929771,0.428571
2025,B_formal_add_price_confirmed_5d_no_fallback,7,0.02065752,0.857143,-0.01906398,0.00855442,0.714286
2016,C_trial_only_3d_ok_but_5d_failed,2,-0.01244650,0.000000,-0.02324187,-0.02442447,0.000000
2020,C_trial_only_3d_ok_but_5d_failed,3,0.01620278,1.000000,-0.00187403,0.03030492,1.000000
2021,C_trial_only_3d_ok_but_5d_failed,1,0.00058730,1.000000,-0.00837893,0.00453535,1.000000
2023,C_trial_only_3d_ok_but_5d_failed,2,-0.00455289,0.500000,-0.02849373,-0.03170187,0.000000
2025,C_trial_only_3d_ok_but_5d_failed,5,0.01085314,0.400000,-0.03232141,-0.00380381,0.600000
2026,C_trial_only_3d_ok_but_5d_failed,2,0.01832150,1.000000,-0.05231543,-0.07416973,0.000000
2016,D_no_entry_fallback_within_3d,6,0.02452125,0.666667,-0.02672734,0.03024732,0.666667
2017,D_no_entry_fallback_within_3d,7,0.00596302,0.714286,-0.01708003,-0.00756741,0.428571
2018,D_no_entry_fallback_within_3d,6,-0.04589072,0.333333,-0.06722361,-0.04931202,0.333333
2019,D_no_entry_fallback_within_3d,4,0.01353256,1.000000,-0.00331560,0.01862920,1.000000
2020,D_no_entry_fallback_within_3d,8,0.01593554,0.625000,-0.01880648,-0.00601708,0.250000
2021,D_no_entry_fallback_within_3d,2,-0.03725462,0.000000,-0.04481798,-0.04702157,0.000000
2022,D_no_entry_fallback_within_3d,7,-0.01509566,0.285714,-0.03310013,-0.00631764,0.285714
2023,D_no_entry_fallback_within_3d,5,0.01485554,0.800000,-0.02141576,0.00677559,0.600000
2024,D_no_entry_fallback_within_3d,14,0.01292142,0.785714,-0.02680566,0.00151383,0.428571
2025,D_no_entry_fallback_within_3d,2,0.02315641,1.000000,-0.00204816,0.03665443,1.000000
2026,D_no_entry_fallback_within_3d,4,0.01575268,0.750000,-0.02011497,0.03728738,0.750000
