date_of_data,code,ticker_yahoo,ticker_stooq,company,industry,sector,official_weight,required_history_start,required_history_end,required_fields,current_status,blocking_reason
2026/03/31,6857,6857.T,6857.jp,ADVANTEST CORP.,Electric Machinery,Technology,0.10646200,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,9983,9983.T,9983.jp,"FAST RETAILING CO., LTD.",Retail,Consumer Goods,0.09682100,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,8035,8035.T,8035.jp,TOKYO ELECTRON LTD.,Electric Machinery,Technology,0.07311100,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,9984,9984.T,9984.jp,SOFTBANK GROUP CORP.,Communications,Technology,0.05584900,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,9433,9433.T,9433.jp,KDDI CORP.,Communications,Technology,0.02139300,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,4063,4063.T,4063.jp,"SHIN-ETSU CHEMICAL CO., LTD.",Chemicals,Materials,0.02048500,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,6762,6762.T,6762.jp,TDK CORP.,Electric Machinery,Technology,0.01930400,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,6954,6954.T,6954.jp,FANUC CORP.,Electric Machinery,Technology,0.01735300,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,4519,4519.T,4519.jp,"CHUGAI PHARMACEUTICAL CO., LTD.",Pharmaceuticals,Technology,0.01691000,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
2026/03/31,5803,5803.T,5803.jp,FUJIKURA LTD.,Nonferrous Metals,Materials,0.01606400,2016-04-25,2026-04-24,"date,open,high,low,close,volume",missing_component_history,Yahoo/yfinance rate-limited; Stooq requires API key/captcha; local runtime has no component stock history
