ticker,code,company,official_weight,rows,nonzero_volume,first_date,last_date,status
6857.T,6857,ADVANTEST CORP.,0.10646200,2464,2441,2016-04-25,2026-04-24,ok
9983.T,9983,"FAST RETAILING CO., LTD.",0.09682100,2464,2441,2016-04-25,2026-04-24,ok
8035.T,8035,TOKYO ELECTRON LTD.,0.07311100,2464,2441,2016-04-25,2026-04-24,ok
9984.T,9984,SOFTBANK GROUP CORP.,0.05584900,2464,2441,2016-04-25,2026-04-24,ok
9433.T,9433,KDDI CORP.,0.02139300,2464,2441,2016-04-25,2026-04-24,ok
4063.T,4063,"SHIN-ETSU CHEMICAL CO., LTD.",0.02048500,2464,2441,2016-04-25,2026-04-24,ok
6762.T,6762,TDK CORP.,0.01930400,2464,2441,2016-04-25,2026-04-24,ok
6954.T,6954,FANUC CORP.,0.01735300,2464,2441,2016-04-25,2026-04-24,ok
4519.T,4519,"CHUGAI PHARMACEUTICAL CO., LTD.",0.01691000,2464,2441,2016-04-25,2026-04-24,ok
5803.T,5803,FUJIKURA LTD.,0.01606400,2464,2441,2016-04-25,2026-04-24,ok
6098.T,6098,"RECRUIT HOLDINGS CO., LTD.",0.01281500,2464,2441,2016-04-25,2026-04-24,ok
9766.T,9766,KONAMI GROUP CORP.,0.01265600,2464,2441,2016-04-25,2026-04-24,ok
6971.T,6971,KYOCERA CORP.,0.01245300,2464,2441,2016-04-25,2026-04-24,ok
6367.T,6367,"DAIKIN INDUSTRIES, LTD.",0.01223100,2464,2441,2016-04-25,2026-04-24,ok
8015.T,8015,TOYOTA TSUSHO CORP.,0.01168400,2464,2441,2016-04-25,2026-04-24,ok
4543.T,4543,TERUMO CORP.,0.01103900,2464,2441,2016-04-25,2026-04-24,ok
6758.T,6758,SONY GROUP CORP.,0.01050300,2464,2441,2016-04-25,2026-04-24,ok
8058.T,8058,MITSUBISHI CORP.,0.01044100,2464,2441,2016-04-25,2026-04-24,ok
7203.T,7203,TOYOTA MOTOR CORP.,0.01034900,2464,2441,2016-04-25,2026-04-24,ok
6988.T,6988,NITTO DENKO CORP.,0.01002800,2464,2441,2016-04-25,2026-04-24,ok
4062.T,4062,"IBIDEN CO., LTD.",0.00965100,2464,2441,2016-04-25,2026-04-24,ok
6920.T,6920,LASERTEC CORP.,0.00873200,2464,2441,2016-04-25,2026-04-24,ok
7741.T,7741,HOYA CORP.,0.00869000,2464,2441,2016-04-25,2026-04-24,ok
4503.T,4503,ASTELLAS PHARMA INC.,0.00824500,2464,2441,2016-04-25,2026-04-24,ok
6146.T,6146,DISCO CORP.,0.00801700,2464,2441,2016-04-25,2026-04-24,ok
9735.T,9735,"SECOM CO., LTD.",0.00790200,2464,2441,2016-04-25,2026-04-24,ok
8031.T,8031,"MITSUI & CO., LTD.",0.00780100,2464,2441,2016-04-25,2026-04-24,ok
7832.T,7832,BANDAI NAMCO HOLDINGS INC.,0.00759400,2464,2441,2016-04-25,2026-04-24,ok
4578.T,4578,"OTSUKA HOLDINGS CO., LTD.",0.00720700,2464,2441,2016-04-25,2026-04-24,ok
8766.T,8766,"TOKIO MARINE HOLDINGS, INC.",0.00717600,2464,2441,2016-04-25,2026-04-24,ok
