nikkei_breakout_date,nikkei_event_type,nikkei_fallback_below_resistance_3d,nikkei_fallback_below_resistance_5d,nikkei_fallback_below_resistance_10d,nikkei_future_10d_return,nikkei_breakout_fallback_label,component_valid_count,top30_official_weight_coverage,component_breakout20_count,component_breakout60_count,component_volume_confirmed_count,component_breakout20_volume_confirmed_count,component_breakout60_volume_confirmed_count,component_breakout20_5d_no_fallback_count,component_breakout60_5d_no_fallback_count,weighted_breakout20_breadth,weighted_breakout60_breadth,weighted_volume_confirmed_breadth,weighted_breakout20_volume_confirmed_breadth,weighted_breakout60_volume_confirmed_breadth,weighted_breakout20_5d_no_fallback_breadth,weighted_breakout60_5d_no_fallback_breadth,avg_component_volume_ratio_60d
2016-09-05,breakout_20d,False,True,True,-0.03201622,strong_breakout_no_3d_fallback,30,0.63896600,3,3,3,1,1,0,0,0.04498674,0.04498674,0.06021760,0.01634046,0.01634046,0.00000000,0.00000000,0.764881
2016-09-05,breakout_60d,False,True,True,-0.03201622,strong_breakout_no_3d_fallback,30,0.63896600,3,3,3,1,1,0,0,0.04498674,0.04498674,0.06021760,0.01634046,0.01634046,0.00000000,0.00000000,0.764881
2016-10-20,breakout_20d,False,False,True,-0.01915469,strong_breakout_no_3d_fallback,30,0.63896600,9,5,3,2,2,4,2,0.28726098,0.08650539,0.05064589,0.03936673,0.03936673,0.19670687,0.02790289,0.900326
2016-10-20,breakout_60d,False,False,True,-0.01915469,strong_breakout_no_3d_fallback,30,0.63896600,9,5,3,2,2,4,2,0.28726098,0.08650539,0.05064589,0.03936673,0.03936673,0.19670687,0.02790289,0.900326
2016-10-28,breakout_20d,True,True,True,0.01296593,healthy_pullback_reclaimed,30,0.63896600,7,5,20,6,5,2,1,0.29972174,0.10289436,0.66327786,0.26951043,0.10289436,0.19867567,0.03205961,1.497592
2016-10-28,breakout_60d,True,True,True,0.01296593,healthy_pullback_reclaimed,30,0.63896600,7,5,20,6,5,2,1,0.29972174,0.10289436,0.66327786,0.26951043,0.10289436,0.19867567,0.03205961,1.497592
2016-11-14,breakout_20d,False,False,False,0.03589847,strong_breakout_no_3d_fallback,30,0.63896600,8,7,8,4,3,5,4,0.35587027,0.34350341,0.12879715,0.05214675,0.03977989,0.21290022,0.20053336,1.112365
2016-11-14,breakout_60d,False,False,False,0.03589847,strong_breakout_no_3d_fallback,30,0.63896600,8,7,8,4,3,5,4,0.35587027,0.34350341,0.12879715,0.05214675,0.03977989,0.21290022,0.20053336,1.112365
2016-11-22,breakout_20d,False,False,False,0.01837533,strong_breakout_no_3d_fallback,30,0.63896600,3,2,5,1,1,2,2,0.11757590,0.03017062,0.11366958,0.01188483,0.01188483,0.03017062,0.03017062,0.889999
2016-11-22,breakout_60d,False,False,False,0.01837533,strong_breakout_no_3d_fallback,30,0.63896600,3,2,5,1,1,2,2,0.11757590,0.03017062,0.11366958,0.01188483,0.01188483,0.03017062,0.03017062,0.889999
