nikkei_breakout_date,nikkei_event_type,nikkei_5d_fallback,code,ticker,company,sector,official_weight,normalized_top30_weight,component_breakout20,component_breakout60,component_volume_confirmed,component_volume_ratio_60d,component_breakout20_volume_confirmed,component_breakout60_volume_confirmed,component_breakout20_5d_no_fallback,component_breakout60_5d_no_fallback,component_close_position20
2016-09-05,breakout_20d,True,6857,6857.T,ADVANTEST CORP.,Technology,0.10646200,0.16661606,False,False,False,0.505654,False,False,False,False,0.689119
2016-09-05,breakout_20d,True,9983,9983.T,"FAST RETAILING CO., LTD.",Consumer Goods,0.09682100,0.15152762,False,False,False,0.991018,False,False,False,False,0.685237
2016-09-05,breakout_20d,True,8035,8035.T,TOKYO ELECTRON LTD.,Technology,0.07311100,0.11442080,False,False,False,0.745824,False,False,False,False,0.801037
2016-09-05,breakout_20d,True,9984,9984.T,SOFTBANK GROUP CORP.,Technology,0.05584900,0.08740528,False,False,False,0.584531,False,False,False,False,0.942006
2016-09-05,breakout_20d,True,9433,9433.T,KDDI CORP.,Technology,0.02139300,0.03348065,False,False,False,0.602858,False,False,False,False,0.375000
2016-09-05,breakout_20d,True,4063,4063.T,"SHIN-ETSU CHEMICAL CO., LTD.",Materials,0.02048500,0.03205961,False,False,False,0.634585,False,False,False,False,0.668316
2016-09-05,breakout_20d,True,6762,6762.T,TDK CORP.,Technology,0.01930400,0.03021131,False,False,True,1.651100,False,False,False,False,0.920635
2016-09-05,breakout_20d,True,6954,6954.T,FANUC CORP.,Technology,0.01735300,0.02715794,False,False,False,0.470617,False,False,False,False,0.758333
2016-09-05,breakout_20d,True,4519,4519.T,"CHUGAI PHARMACEUTICAL CO., LTD.",Technology,0.01691000,0.02646463,False,False,False,1.174006,False,False,False,False,0.550000
2016-09-05,breakout_20d,True,5803,5803.T,FUJIKURA LTD.,Materials,0.01606400,0.02514062,False,False,False,0.772279,False,False,False,False,0.571428
2016-09-05,breakout_20d,True,6098,6098.T,"RECRUIT HOLDINGS CO., LTD.",Consumer Goods,0.01281500,0.02005584,False,False,False,0.524361,False,False,False,False,0.669903
2016-09-05,breakout_20d,True,9766,9766.T,KONAMI GROUP CORP.,Consumer Goods,0.01265600,0.01980700,False,False,False,0.716065,False,False,False,False,0.093023
2016-09-05,breakout_20d,True,6971,6971.T,KYOCERA CORP.,Technology,0.01245300,0.01948930,False,False,False,0.444779,False,False,False,False,0.435644
2016-09-05,breakout_20d,True,6367,6367.T,"DAIKIN INDUSTRIES, LTD.",Capital Goods/Others,0.01223100,0.01914186,False,False,False,0.532817,False,False,False,False,0.881665
2016-09-05,breakout_20d,True,8015,8015.T,TOYOTA TSUSHO CORP.,Materials,0.01168400,0.01828579,False,False,False,0.665190,False,False,False,False,0.894068
