metric,bucket,sample_count,avg_metric,avg_nikkei_future_10d_return,positive_rate,nikkei_5d_fallback_rate
weighted_breakout20_breadth,low,59,0.14499350,0.00137038,0.508475,0.661017
weighted_breakout20_breadth,mid,57,0.28069717,0.00723035,0.596491,0.368421
weighted_breakout20_breadth,high,59,0.49422515,0.00741144,0.525424,0.338983
weighted_breakout60_breadth,low,59,0.05788624,-0.00498351,0.389831,0.661017
weighted_breakout60_breadth,mid,58,0.19515479,0.01551730,0.741379,0.379310
weighted_breakout60_breadth,high,58,0.39107717,0.00559106,0.500000,0.327586
weighted_volume_confirmed_breadth,low,58,0.12377697,-0.00463949,0.431034,0.603448
weighted_volume_confirmed_breadth,mid,59,0.38267827,0.00726249,0.593220,0.525424
weighted_volume_confirmed_breadth,high,58,0.73357133,0.01329071,0.603448,0.241379
weighted_breakout20_volume_confirmed_breadth,low,58,0.03934927,-0.00848177,0.362069,0.672414
weighted_breakout20_volume_confirmed_breadth,mid,58,0.15476391,0.00798579,0.637931,0.413793
weighted_breakout20_volume_confirmed_breadth,high,59,0.36651142,0.01625464,0.627119,0.288136
weighted_breakout60_volume_confirmed_breadth,low,59,0.01815812,-0.00337564,0.406780,0.677966
weighted_breakout60_volume_confirmed_breadth,mid,57,0.10263421,0.00736061,0.666667,0.385965
weighted_breakout60_volume_confirmed_breadth,high,59,0.29606045,0.01203161,0.559322,0.305085
weighted_breakout20_5d_no_fallback_breadth,low,59,0.02867355,-0.01480038,0.288136,0.779661
weighted_breakout20_5d_no_fallback_breadth,mid,57,0.16209936,0.01561577,0.719298,0.368421
weighted_breakout20_5d_no_fallback_breadth,high,59,0.35703252,0.01548103,0.627119,0.220339
weighted_breakout60_5d_no_fallback_breadth,low,58,0.01059503,-0.01720864,0.206897,0.793103
weighted_breakout60_5d_no_fallback_breadth,mid,58,0.08627101,0.02025590,0.775862,0.344828
weighted_breakout60_5d_no_fallback_breadth,high,59,0.28761555,0.01277146,0.644068,0.237288
avg_component_volume_ratio_60d,low,58,0.89144095,-0.00526180,0.413793,0.672414
avg_component_volume_ratio_60d,mid,58,1.14050847,0.00989708,0.603448,0.413793
avg_component_volume_ratio_60d,high,59,1.51383588,0.01121036,0.610169,0.288136
rule_component_b20_vol_breadth_ge_30pct,true,32,,0.00698435,0.500000,0.281250
rule_component_b20_vol_breadth_ge_30pct,false,143,,0.00494236,0.552448,0.496503
rule_component_b20_vol_breadth_ge_20pct,true,64,,0.01499571,0.625000,0.265625
rule_component_b20_vol_breadth_ge_20pct,false,111,,-0.00026548,0.495495,0.567568
rule_component_b20_nofb5_breadth_ge_30pct,true,40,,0.00942683,0.550000,0.225000
rule_component_b20_nofb5_breadth_ge_30pct,false,135,,0.00409766,0.540741,0.525926
rule_component_volume_breadth_ge_50pct,true,61,,0.01329361,0.622951,0.245902
rule_component_volume_breadth_ge_50pct,false,114,,0.00104691,0.500000,0.570175
