group_type,group_key,sample_count,avg_strategy_return_20d_proxy,median_strategy_return_20d_proxy,positive_strategy_rate,avg_formal_entry_future_20d_return,formal_entry_positive_rate_20d,nikkei_5d_fallback_rate,avg_component_volume_confirmed_count,avg_component_b20_volume_breakout_count
strategy_action,FORMAL_ADD_PRICE_CONFIRM_ONLY,34,0.00995941,0.01431040,0.676471,0.01991882,0.676471,0.000000,6.2941,3.0294
strategy_action,FORMAL_ADD_STRONG_COMPONENT_CONFIRM,47,0.01618090,0.02057029,0.638298,0.01618090,0.638298,0.000000,17.5319,8.3404
strategy_action,FORMAL_ADD_VOLUME_BREADTH_ONLY,13,-0.01084697,-0.00564846,0.153846,-0.01446262,0.153846,0.000000,18.1538,6.6923
strategy_action,NO_ENTRY_D3_FALLBACK,65,0.00000000,0.00000000,0.000000,0.00585883,0.507692,1.000000,8.5538,3.0769
strategy_action,TRIAL_ONLY_EXIT_OR_STOP_ADD_D5_FALLBACK,15,-0.00306935,-0.00503888,0.466667,0.00447113,0.600000,1.000000,11.7333,4.6000
event_type,breakout_20d,107,0.00354500,0.00000000,0.327103,0.00865407,0.551402,0.504673,10.6636,4.4112
event_type,breakout_60d,67,0.00795158,0.00000000,0.402985,0.01151691,0.567164,0.388060,12.9104,5.6567
strategy_action_x_event_type,FORMAL_ADD_PRICE_CONFIRM_ONLY|breakout_20d,21,0.00806805,0.01199936,0.666667,0.01613610,0.666667,0.000000,5.9048,2.9524
strategy_action_x_event_type,FORMAL_ADD_PRICE_CONFIRM_ONLY|breakout_60d,13,0.01301469,0.02284898,0.692308,0.02602938,0.692308,0.000000,6.9231,3.1538
strategy_action_x_event_type,FORMAL_ADD_STRONG_COMPONENT_CONFIRM|breakout_20d,25,0.01325149,0.01592403,0.600000,0.01325149,0.600000,0.000000,17.3600,7.8000
strategy_action_x_event_type,FORMAL_ADD_STRONG_COMPONENT_CONFIRM|breakout_60d,22,0.01950977,0.02603991,0.681818,0.01950977,0.681818,0.000000,17.7273,8.9545
strategy_action_x_event_type,FORMAL_ADD_VOLUME_BREADTH_ONLY|breakout_20d,7,-0.01471511,-0.00564846,0.142857,-0.01962014,0.142857,0.000000,17.8571,6.7143
strategy_action_x_event_type,FORMAL_ADD_VOLUME_BREADTH_ONLY|breakout_60d,6,-0.00633414,-0.00457519,0.166667,-0.00844551,0.166667,0.000000,18.5000,6.6667
strategy_action_x_event_type,NO_ENTRY_D3_FALLBACK|breakout_20d,45,0.00000000,0.00000000,0.000000,0.00797135,0.533333,1.000000,7.8889,2.8000
strategy_action_x_event_type,NO_ENTRY_D3_FALLBACK|breakout_60d,20,0.00000000,0.00000000,0.000000,0.00110567,0.450000,1.000000,10.0500,3.7000
strategy_action_x_event_type,TRIAL_ONLY_EXIT_OR_STOP_ADD_D5_FALLBACK|breakout_20d,9,-0.00204389,0.00094345,0.555556,0.00383011,0.555556,1.000000,11.4444,4.6667
strategy_action_x_event_type,TRIAL_ONLY_EXIT_OR_STOP_ADD_D5_FALLBACK|breakout_60d,6,-0.00460754,-0.00845908,0.333333,0.00543266,0.666667,1.000000,12.1667,4.5000
