metric,threshold_count_ge,sample_count,nikkei_5d_no_fallback_rate,nikkei_5d_fallback_rate,avg_formal_entry_future_20d_return,formal_entry_positive_rate_20d
pure_volume_count,0,174,0.540230,0.459770,0.00975643,0.557471
pure_volume_count,1,170,0.535294,0.464706,0.01042735,0.564706
pure_volume_count,2,168,0.541667,0.458333,0.01000544,0.559524
pure_volume_count,3,161,0.527950,0.472050,0.01061255,0.552795
pure_volume_count,4,146,0.541096,0.458904,0.00955403,0.534247
pure_volume_count,5,131,0.587786,0.412214,0.00992155,0.549618
pure_volume_count,6,123,0.609756,0.390244,0.00848988,0.544715
pure_volume_count,7,111,0.657658,0.342342,0.00643057,0.531532
pure_volume_count,8,102,0.676471,0.323529,0.00560930,0.509804
pure_volume_count,9,97,0.670103,0.329897,0.00348282,0.494845
pure_volume_count,10,93,0.677419,0.322581,0.00428496,0.505376
pure_volume_count,11,89,0.674157,0.325843,0.00261077,0.483146
pure_volume_count,12,82,0.682927,0.317073,0.00283820,0.487805
pure_volume_count,13,73,0.671233,0.328767,0.00566416,0.520548
pure_volume_count,14,68,0.691176,0.308824,0.00845377,0.529412
pure_volume_count,15,60,0.716667,0.283333,0.01019053,0.566667
pure_volume_count,16,55,0.709091,0.290909,0.01153272,0.563636
pure_volume_count,17,54,0.722222,0.277778,0.01232786,0.574074
pure_volume_count,18,47,0.744681,0.255319,0.01264702,0.595745
pure_volume_count,19,40,0.775000,0.225000,0.01353000,0.575000
pure_volume_count,20,31,0.774194,0.225806,0.00953296,0.580645
pure_volume_count,21,22,0.772727,0.227273,0.00675154,0.590909
pure_volume_count,22,20,0.750000,0.250000,-0.00157273,0.550000
pure_volume_count,23,18,0.722222,0.277778,-0.00200480,0.555556
pure_volume_count,24,16,0.687500,0.312500,-0.00167175,0.625000
pure_volume_count,25,13,0.846154,0.153846,-0.00316541,0.615385
pure_volume_count,26,8,1.000000,0.000000,-0.02845755,0.375000
pure_volume_count,27,3,1.000000,0.000000,-0.06553008,0.000000
pure_volume_count,28,3,1.000000,0.000000,-0.06553008,0.000000
pure_volume_count,29,2,1.000000,0.000000,-0.07723726,0.000000
breakout20_volume_count,0,174,0.540230,0.459770,0.00975643,0.557471
breakout20_volume_count,1,170,0.535294,0.464706,0.01042735,0.564706
