date,event_type,close,support_level,support20,support60,resistance20,index_1d_return,index_volume_ratio_60d,future_10d_return,future_20d_return,future_10d_max_drawdown,future_20d_max_drawdown,future_20d_max_high_return,component_valid_count,component_volume_down_count,component_breakdown20_count,component_breakdown60_count,component_breakdown20_volume_count,component_breakdown60_volume_count,component_near_support20_count,component_low_volume_pullback_count,weighted_volume_down_breadth,weighted_breakdown20_breadth,weighted_breakdown20_volume_breadth,weighted_breakdown60_volume_breadth,weighted_low_volume_pullback_breadth,downside_label,suggested_action,calendar_year
2016-09-15,near_support_20d,16405.009766,16320.429688,16320.429688,14864.009766,17156.359375,-0.01259344,0.892627,0.01180494,0.03405055,-0.00729043,-0.00729043,0.04080773,30,0,3,1,0,0,8,5,0.00000000,0.25620925,0.00000000,0.00000000,0.25266446,low_volume_support_test_watch_hold,hold_or_watch_rebound,2016
2016-09-28,near_support_20d,16465.400391,16285.410156,16285.410156,15106.519531,17156.359375,-0.01309819,0.865618,0.01875690,0.05289999,-0.00349953,-0.00349953,0.05762450,30,0,0,0,0,0,5,5,0.00000000,0.00000000,0.00000000,0.00000000,0.08288860,mixed_downside_signal,watch,2016
2016-10-31,volume_down_day,17425.019531,16407.779297,16407.779297,15921.040039,17461.029297,-0.00122608,1.335921,0.01395297,0.05070071,-0.07536347,-0.07536347,0.06071270,30,5,0,0,0,0,0,0,0.08627063,0.00000000,0.00000000,0.00000000,0.00000000,mixed_downside_signal,watch,2016
2016-11-04,near_support_20d,16905.359375,16727.779297,16727.779297,16230.700195,17473.119141,-0.01338340,1.150760,0.06282332,0.08101755,-0.04694072,-0.04694072,0.10889564,30,11,8,4,6,4,4,2,0.18842787,0.22050782,0.12182338,0.07901829,0.03372167,mixed_downside_signal,watch,2016
2016-11-09,breakdown_20d,16251.540039,16727.779297,16727.779297,16285.410156,17473.119141,-0.05356825,2.363816,0.12810294,0.15468877,0.01902097,0.01902097,0.15468877,30,28,19,8,18,8,3,0,0.97273407,0.42657825,0.41291242,0.23983905,0.00000000,confirmed_distribution_breakdown_reduce,reduce_or_avoid,2016
2016-11-09,breakdown_60d,16251.540039,16285.410156,16727.779297,16285.410156,17473.119141,-0.05356825,2.363816,0.12810294,0.15468877,0.01902097,0.01902097,0.15468877,30,28,19,8,18,8,3,0,0.97273407,0.42657825,0.41291242,0.23983905,0.00000000,confirmed_distribution_breakdown_reduce,reduce_or_avoid,2016
2016-11-09,volume_down_day,16251.540039,16727.779297,16727.779297,16285.410156,17473.119141,-0.05356825,2.363816,0.12810294,0.15468877,0.01902097,0.01902097,0.15468877,30,28,19,8,18,8,3,0,0.97273407,0.42657825,0.41291242,0.23983905,0.00000000,broad_volume_down_risk,tighten_risk,2016
2016-12-02,volume_down_day,18426.080078,16111.809570,16111.809570,16111.809570,18746.279297,-0.00470148,1.479277,0.05291795,0.06339276,-0.01078306,-0.01078306,0.06339276,30,8,0,0,0,0,1,0,0.23976237,0.00000000,0.00000000,0.00000000,0.00000000,mixed_downside_signal,watch,2016
2017-01-16,near_support_20d,19095.240234,18991.589844,18991.589844,16111.809570,19615.400391,-0.00995677,0.839077,0.01432867,0.01905764,-0.02329953,-0.02329953,0.02221492,30,1,2,0,0,0,7,7,0.01360010,0.18173893,0.00000000,0.00000000,0.10836727,low_volume_support_test_watch_hold,hold_or_watch_rebound,2017
2017-01-17,breakdown_20d,18813.529297,18991.589844,18991.589844,16111.809570,19615.400391,-0.01475294,0.838122,0.01210887,0.02261411,-0.00867457,-0.00867457,0.03752141,30,3,10,0,0,0,3,3,0.04131675,0.29979060,0.00000000,0.00000000,0.04365334,price_breakdown_without_broad_volume_confirm,reduce_partial_or_wait_reclaim,2017
2017-01-24,near_support_20d,18787.990234,18650.330078,18650.330078,16111.809570,19615.400391,-0.00545439,0.910707,0.00653551,0.03158663,0.00092240,0.00092240,0.03893174,30,1,4,0,1,0,6,3,0.15152762,0.19369106,0.15152762,0.00000000,0.04141065,mixed_downside_signal,watch,2017
2017-02-02,near_support_20d,18914.580078,18650.330078,18650.330078,16111.809570,19615.400391,-0.01219443,0.939910,0.02288971,0.03437669,-0.00577648,-0.00577648,0.03983328,30,3,4,0,0,0,5,3,0.06336644,0.19197579,0.00000000,0.00000000,0.06586109,mixed_downside_signal,watch,2017
2017-03-22,near_support_20d,19041.380859,18995.550781,18995.550781,18650.330078,19668.009766,-0.02130461,1.096602,-0.00945894,-0.03199251,-0.01773768,-0.04289086,0.01337455,30,13,14,4,8,4,5,3,0.21732299,0.47039749,0.13152500,0.07511511,0.04246861,mixed_downside_signal,watch,2017
2017-03-30,near_support_20d,19063.220703,18973.750000,18973.750000,18650.330078,19668.009766,-0.00802705,0.991137,-0.03338265,0.00989594,-0.03978866,-0.04398737,0.01186625,30,0,2,1,0,0,10,9,0.00000000,0.16443128,0.00000000,0.00000000,0.23924434,low_volume_support_test_watch_hold,hold_or_watch_rebound,2017
