group_type,group_key,sample_count,avg_future_10d_return,positive_rate_10d,avg_future_20d_return,positive_rate_20d,avg_10d_drawdown,avg_20d_drawdown,avg_weighted_volume_down_breadth,avg_weighted_breakdown20_volume_breadth,avg_weighted_low_volume_pullback_breadth
event_type,breakdown_20d,49,0.00311461,0.591837,0.01680109,0.632653,-0.03901179,-0.04531238,0.40662890,0.20559450,0.07042836
event_type,breakdown_60d,23,0.01167025,0.695652,0.02951410,0.782609,-0.04343606,-0.05055370,0.64430134,0.35856810,0.05488058
event_type,near_support_20d,98,0.01069905,0.663265,0.01920657,0.642857,-0.02660252,-0.03465119,0.21586329,0.07847280,0.08114278
event_type,volume_down_day,108,0.01065912,0.629630,0.01951989,0.629630,-0.02993507,-0.04034281,0.43673884,0.11420436,0.01870987
downside_label,broad_volume_down_risk,43,0.00431277,0.558140,0.01897476,0.627907,-0.04366651,-0.05163572,0.70596732,0.20630701,0.00564859
downside_label,confirmed_distribution_breakdown_reduce,31,0.01854101,0.612903,0.03683509,0.806452,-0.05022441,-0.05922625,0.72633048,0.46328186,0.01607173
downside_label,low_volume_support_test_watch_hold,21,0.01351637,0.761905,0.02859521,0.761905,-0.01928581,-0.02383049,0.07152687,0.02379574,0.22550384
downside_label,mixed_downside_signal,142,0.01218590,0.654930,0.01812660,0.619718,-0.02505192,-0.03543707,0.25678689,0.07502460,0.03517034
downside_label,price_breakdown_without_broad_volume_confirm,41,-0.00374975,0.634146,0.00878512,0.585366,-0.03301586,-0.03773239,0.29823175,0.09657218,0.10280535
suggested_action,hold_or_watch_rebound,21,0.01351637,0.761905,0.02859521,0.761905,-0.01928581,-0.02383049,0.07152687,0.02379574,0.22550384
suggested_action,reduce_or_avoid,31,0.01854101,0.612903,0.03683509,0.806452,-0.05022441,-0.05922625,0.72633048,0.46328186,0.01607173
suggested_action,reduce_partial_or_wait_reclaim,41,-0.00374975,0.634146,0.00878512,0.585366,-0.03301586,-0.03773239,0.29823175,0.09657218,0.10280535
suggested_action,tighten_risk,43,0.00431277,0.558140,0.01897476,0.627907,-0.04366651,-0.05163572,0.70596732,0.20630701,0.00564859
suggested_action,watch,142,0.01218590,0.654930,0.01812660,0.619718,-0.02505192,-0.03543707,0.25678689,0.07502460,0.03517034
