b20_vol_count,bd20_vol_count,date,equity_before,level,price,target_position,type,vol_down_count,weighted_b20_vol
1,,2016-09-05,10000000.00,16946.4902,17037.6309,0.00,D0_BREAKOUT_WATCH,,0.0163
,,2016-09-08,10000000.00,,16958.7695,0.25,D3_TRIAL,,
,,2016-09-09,10000000.00,,16994.3691,0.25,execute,,
,,2016-09-12,9952712.39,,16672.9199,0.00,D5_FALLBACK_EXIT,,
,,2016-09-13,9966206.64,,16764.6504,0.00,execute,,
2,,2016-10-20,9966206.64,17156.3594,17235.5000,0.00,D0_BREAKOUT_WATCH,,0.0394
,,2016-10-25,9966206.64,,17365.2500,0.25,D3_TRIAL,,
,,2016-10-26,9966206.64,,17329.0293,0.25,execute,,
2,,2016-10-27,9967269.25,,17336.4199,0.50,D5_PRICE_CONFIRM_ADD,,0.0394
,,2016-10-28,9983348.08,,17448.2500,0.50,execute,,
6,,2016-10-28,9982821.73,17414.2109,17446.4102,0.50,D0_BREAKOUT_WATCH,,0.2695
,,2016-11-07,9905808.00,,17177.2109,0.00,D5_FALLBACK_EXIT,,
,,2016-11-08,9924543.18,,17242.6992,0.00,execute,,
4,,2016-11-14,9924543.18,17621.7305,17672.6191,0.00,D0_BREAKOUT_WATCH,,0.0521
,,2016-11-17,9924543.18,,17862.6309,0.25,D3_TRIAL,,
,,2016-11-18,9924543.18,,18024.2109,0.25,execute,,
4,,2016-11-21,9935804.61,,18106.0195,0.50,D5_PRICE_CONFIRM_ADD,,0.0521
,,2016-11-22,9933744.07,,18091.0508,0.50,execute,,
1,,2016-11-22,9953481.00,18129.0293,18162.9395,0.50,D0_BREAKOUT_WATCH,,0.0119
6,,2016-12-01,10049622.33,18482.9395,18513.1191,0.51,D0_BREAKOUT_WATCH,,0.1197
,,2016-12-08,10118905.09,,18765.4707,0.00,D5_FALLBACK_EXIT,,
,,2016-12-09,10139361.64,,18839.9805,0.00,execute,,
9,,2016-12-09,10139361.64,18765.4707,18996.3691,0.00,D0_BREAKOUT_WATCH,,0.2889
,,2016-12-14,10139361.64,,19253.6094,0.25,D3_TRIAL,,
,,2016-12-15,10139361.64,,19327.6992,0.25,execute,,
9,,2016-12-16,10148994.81,,19401.1504,1.00,D5_STRONG_ADD,,0.2889
,,2016-12-19,10141740.80,,19345.8398,1.00,execute,,
3,,2016-12-20,10219688.82,19439.9707,19494.5293,1.00,D0_BREAKOUT_WATCH,,0.1915
,,2016-12-28,10171035.43,,19401.7207,0.00,D5_FALLBACK_EXIT,,
,,2016-12-29,10118254.72,,19301.0391,0.00,execute,,
1,,2017-01-04,10118254.72,19592.9004,19594.1602,0.00,D0_BREAKOUT_WATCH,,0.0125
,,2017-01-12,10118254.72,,19134.6992,0.00,D5_FALLBACK_EXIT,,
,,2017-01-13,10118254.72,,19174.9707,0.00,execute,,
2,,2017-03-02,10118254.72,19519.4395,19564.8008,0.00,D0_BREAKOUT_WATCH,,0.0381
,,2017-03-09,10118254.72,,19318.5801,0.00,D5_FALLBACK_EXIT,,
,,2017-03-10,10118254.72,,19444.7109,0.00,execute,,
3,,2017-04-26,10118254.72,19251.3008,19289.4297,0.00,D0_BREAKOUT_WATCH,,0.2936
,,2017-05-08,10118254.72,,19895.6992,0.00,D5_FALLBACK_EXIT,,
,,2017-05-09,10118254.72,,19915.6406,0.00,execute,,
5,,2017-05-11,10118254.72,19938.5293,19961.5508,0.00,D0_BREAKOUT_WATCH,,0.1489
,,2017-05-18,10118254.72,,19553.8594,0.00,D5_FALLBACK_EXIT,,
,,2017-05-19,10118254.72,,19591.4102,0.00,execute,,
3,,2017-06-02,10118254.72,19998.4902,20177.2793,0.00,D0_BREAKOUT_WATCH,,0.0750
,,2017-06-09,10118254.72,,20013.2598,0.00,D5_FALLBACK_EXIT,,
,,2017-06-12,10118254.72,,19920.7695,0.00,execute,,
3,,2017-09-13,10118254.72,19792.0605,19865.8203,0.00,D0_BREAKOUT_WATCH,,0.0658
,,2017-09-19,10118254.72,,20299.3809,0.25,D3_TRIAL,,
,,2017-09-20,10118254.72,,20301.3301,0.25,execute,,
3,,2017-09-21,10124005.10,,20347.4805,0.50,D5_PRICE_CONFIRM_ADD,,0.0658
,,2017-09-22,10132244.82,,20413.6094,0.50,execute,,
4,,2017-10-03,10181993.97,20481.2695,20614.0703,0.50,D0_BREAKOUT_WATCH,,0.3582
4,,2017-10-11,10248305.80,,20881.2695,1.00,D5_STRONG_ADD,,0.3582
,,2017-10-12,10267392.89,,20958.1797,1.00,execute,,
5,,2017-10-12,10265698.33,20898.4102,20954.7207,1.00,D0_BREAKOUT_WATCH,,0.2755
9,,2017-10-23,10629169.00,21503.8496,21696.6504,1.00,D0_BREAKOUT_WATCH,,0.2697
11,,2017-11-01,10983576.54,22086.8809,22420.0801,1.00,D0_BREAKOUT_WATCH,,0.4809
13,,2018-01-04,11515729.41,23382.1504,23506.3301,1.00,D0_BREAKOUT_WATCH,,0.3783
2,,2018-01-23,11818399.01,24084.4199,24124.1504,1.00,D0_BREAKOUT_WATCH,,0.0485
,,2018-01-30,11410714.95,,23291.9707,0.00,D5_FALLBACK_EXIT,,
,,2018-01-31,11368220.99,,23205.2305,0.00,execute,,
1,,2018-04-18,11368220.99,21933.9902,22158.1992,0.00,D0_BREAKOUT_WATCH,,0.1666
,,2018-04-23,11368220.99,,22088.0391,0.25,D3_TRIAL,,
,,2018-04-24,11368220.99,,22228.8203,0.25,execute,,
1,,2018-04-25,11366494.95,,22215.3203,0.50,D5_PRICE_CONFIRM_ADD,,0.1666
,,2018-04-26,11374607.22,,22278.7695,0.50,execute,,
5,,2018-04-27,11422880.40,22381.6602,22467.8691,0.50,D0_BREAKOUT_WATCH,,0.2999
5,,2018-05-09,11407821.92,,22408.8809,1.00,D5_STRONG_ADD,,0.2999
,,2018-05-10,11426617.84,,22482.5098,1.00,execute,,
3,,2018-05-11,11566878.51,22568.1895,22758.4805,1.00,D0_BREAKOUT_WATCH,,0.0773
1,,2018-05-21,11690833.65,22954.1895,23002.3691,1.00,D0_BREAKOUT_WATCH,,0.0251
,,2018-05-28,11425896.17,,22481.0898,0.00,D5_FALLBACK_EXIT,,
,,2018-05-29,11400920.71,,22431.9492,0.00,execute,,
5,,2018-09-14,11400920.71,23032.1699,23094.6699,0.00,D0_BREAKOUT_WATCH,,0.2157
,,2018-09-20,11400920.71,,23674.9297,0.25,D3_TRIAL,,
,,2018-09-21,11400920.71,,23848.6309,0.25,execute,,
5,,2018-09-25,11411871.59,,23940.2598,1.00,D5_STRONG_ADD,,0.2157
,,2018-09-26,11400677.95,,23846.5996,1.00,execute,,
4,,2018-09-26,11490170.23,23971.4102,24033.7891,1.00,D0_BREAKOUT_WATCH,,0.0751
,,2018-10-03,11527064.87,,24110.9609,0.00,D5_FALLBACK_EXIT,,
