b20_vol_count,bd20_vol_count,date,equity_before,level,price,target_position,type,vol_down_count,weighted_b20_vol
1,,2016-09-05,10000000.00,16946.4902,17037.6309,0.00,V2_D0_BREAKOUT_WATCH,,0.0163
,,2016-09-08,10000000.00,,16958.7695,0.35,V2_D3_TRIAL,,
,,2016-09-09,10000000.00,,16994.3691,0.35,execute,,
,,2016-09-12,9933797.35,,16672.9199,0.00,V2_D5_FALLBACK_TRIM_NOT_CLEAR,,
,,2016-09-13,9952689.29,,16764.6504,0.00,execute,,
2,,2016-10-20,9952689.29,17156.3594,17235.5000,0.00,V2_D0_BREAKOUT_WATCH,,0.0394
,,2016-10-25,9952689.29,,17365.2500,0.35,V2_D3_TRIAL,,
,,2016-10-26,9952689.29,,17329.0293,0.35,execute,,
2,,2016-10-27,9954174.94,,17336.4199,0.75,V2_D5_TREND_ADD_NORMAL,,0.0394
,,2016-10-28,9976654.76,,17448.2500,0.75,execute,,
6,,2016-10-28,9975865.76,17414.2109,17446.4102,0.75,V2_D0_BREAKOUT_WATCH,,0.2695
,,2016-11-07,9860422.63,,17177.2109,0.56,V2_D5_FALLBACK_TRIM_NOT_CLEAR,,
,,2016-11-08,9888506.56,,17242.6992,0.56,execute,,
,,2016-11-09,9570026.99,,16251.5400,0.25,V2_SYSTEMIC_DOWN_REDUCE_TO_25,28,
,,2016-11-10,9670060.21,,16562.8594,0.25,execute,,
,,2016-11-14,9832040.76,,17672.6191,0.75,V2_D3_SUPPORT_RECLAIM_RESTORE,,
4,,2016-11-14,9832040.76,17621.7305,17672.6191,0.26,V2_D0_BREAKOUT_WATCH,,0.0521
,,2016-11-15,9834609.88,,17690.2207,0.75,execute,,
1,,2016-11-22,10031710.49,18129.0293,18162.9395,0.75,V2_D0_BREAKOUT_WATCH,,0.0119
6,,2016-12-01,10177718.31,18482.9395,18513.1191,0.76,V2_D0_BREAKOUT_WATCH,,0.1197
,,2016-12-08,10282936.58,,18765.4707,0.57,V2_D5_FALLBACK_TRIM_NOT_CLEAR,,
,,2016-12-09,10314003.51,,18839.9805,0.57,execute,,
9,,2016-12-09,10362862.09,18765.4707,18996.3691,0.57,V2_D0_BREAKOUT_WATCH,,0.2889
9,,2016-12-16,10489322.89,,19401.1504,1.00,V2_D5_TREND_ADD_STRONG,,0.2889
,,2016-12-19,10472042.90,,19345.8398,1.00,execute,,
3,,2016-12-20,10552529.57,19439.9707,19494.5293,1.00,V2_D0_BREAKOUT_WATCH,,0.1915
