date,close,ma50,ma200,ma200_slope20,component_above_200d_weighted_breadth,component_above_200d_count,component_valid_count,market_regime,confirmed_regime
2017-03-21,19455.880859,19252.176133,17635.315894,0.01604891,0.93633934,27,30,bull,bull
2017-03-22,19041.380859,19246.974961,17645.182700,0.01602376,0.73840392,24,30,bull,bull
2017-03-23,19085.310547,19241.387773,17654.434351,0.01594535,0.73840392,24,30,bull,bull
2017-03-24,19262.529297,19243.944375,17665.968345,0.01581834,0.93633934,27,30,bull,bull
2017-03-27,18985.589844,19237.910586,17678.083540,0.01559925,0.73840392,24,30,bull,bull
2017-03-28,19202.869141,19240.063164,17690.886733,0.01545950,0.75460040,25,30,bull,bull
2017-03-29,19217.480469,19248.142188,17704.073989,0.01537050,0.73840392,24,30,bull,bull
2017-03-30,19063.220703,19251.519219,17716.012847,0.01523180,0.73840392,24,30,bull,bull
2017-03-31,18909.259766,19248.259414,17726.404546,0.01495899,0.72603707,23,30,bull,bull
2017-04-03,18983.230469,19245.165820,17737.978647,0.01480160,0.73840392,24,30,bull,bull
2017-04-04,18810.250000,19243.550234,17749.023101,0.01457239,0.72603707,23,30,bull,bull
2017-04-05,18861.269531,19245.015820,17763.233550,0.01455023,0.73840392,24,30,bull,bull
2017-04-06,18597.060547,19235.807031,17776.923853,0.01457848,0.73840392,24,30,bull,bull
2017-04-07,18664.630859,19221.051836,17790.649106,0.01458765,0.72603707,23,30,bull,bull
2017-04-10,18797.880859,19207.661445,17807.467812,0.01469097,0.73840392,24,30,bull,bull
2017-04-11,18747.869141,19195.241836,17823.208857,0.01475025,0.73840392,24,30,bull,bull
2017-04-12,18552.609375,19185.467227,17836.145405,0.01463330,0.73840392,24,30,bull,bull
2017-04-13,18426.839844,19171.042422,17847.434053,0.01438721,0.72603707,23,30,bull,bull
2017-04-14,18335.630859,19159.463437,17858.783608,0.01421581,0.72603707,23,30,bull,bull
2017-04-17,18355.259766,19148.204648,17869.368159,0.01402534,0.72603707,23,30,bull,bull
2017-04-18,18418.589844,19137.042227,17886.701011,0.01425464,0.72603707,23,30,bull,bull
2017-04-19,18432.199219,19127.470625,17902.315957,0.01457243,0.70969660,22,30,bull,bull
2017-04-20,18430.490234,19115.928437,17917.852710,0.01492080,0.69748782,21,30,bull,bull
2017-04-21,18620.750000,19110.190039,17933.122310,0.01512252,0.70969660,22,30,bull,bull
2017-04-24,18875.880859,19100.129063,17949.622114,0.01536018,0.86122423,23,30,bull,bull
2017-04-25,19079.330078,19092.532656,17966.606362,0.01558540,0.88993155,25,30,bull,bull
2017-04-26,19289.429688,19093.541641,17984.174512,0.01582125,0.88993155,25,30,bull,bull
2017-04-27,19251.869141,19089.819414,18002.087207,0.01614778,0.73840392,24,30,bull,bull
2017-04-28,19196.740234,19086.803633,18021.175957,0.01662895,0.88993155,25,30,bull,bull
2017-05-01,19310.519531,19088.321641,18041.347354,0.01710278,0.73840392,24,30,bull,bull
2017-05-02,19445.699219,19092.214023,18063.040947,0.01769212,0.73840392,24,30,bull,bull
2017-05-08,19895.699219,19102.499219,18083.975342,0.01805650,0.90720790,26,30,bull,bull
