date,from,to,close,note
2017-03-21,START,bull,19455.880859,raw_initial
2017-08-21,bull,range,19393.130859,raw_transition
2017-09-11,range,bull,19545.769531,raw_transition
2018-03-05,bull,range,21042.089844,raw_transition
2018-03-06,range,bull,21417.759766,raw_transition
2018-03-23,bull,range,20617.859375,raw_transition
2018-03-27,range,bull,21317.320312,raw_transition
2018-03-28,bull,range,21031.310547,raw_transition
2018-03-30,range,bull,21454.300781,raw_transition
2018-04-03,bull,range,21292.289062,raw_transition
2018-04-05,range,bull,21645.419922,raw_transition
2018-06-18,bull,range,22680.330078,raw_transition
2018-07-10,range,bull,22196.890625,raw_transition
2018-07-11,bull,range,21932.210938,raw_transition
2018-07-13,range,bull,22597.349609,raw_transition
2018-08-10,bull,range,22298.080078,raw_transition
2018-09-04,range,bull,22696.900391,raw_transition
2018-09-07,bull,range,22307.060547,raw_transition
2018-09-11,range,bull,22664.689453,raw_transition
2018-09-12,bull,range,22604.609375,raw_transition
2018-09-19,range,bull,23672.519531,raw_transition
2018-09-27,bull,range,23796.740234,raw_transition
2018-09-28,range,bull,24120.039062,raw_transition
2018-10-09,bull,range,23469.390625,raw_transition
2018-12-11,range,bear,21148.019531,raw_transition
2019-03-01,bear,range,21602.689453,raw_transition
2019-03-06,range,bear,21596.810547,raw_transition
2019-03-07,bear,range,21456.009766,raw_transition
2019-03-08,range,bear,21025.560547,raw_transition
2019-03-12,bear,range,21503.689453,raw_transition
2019-03-13,range,bear,21290.240234,raw_transition
2019-03-14,bear,range,21287.019531,raw_transition
2019-03-15,range,bear,21450.849609,raw_transition
2019-03-18,bear,range,21584.500000,raw_transition
2019-03-25,range,bear,20977.109375,raw_transition
2019-03-26,bear,range,21428.390625,raw_transition
2019-03-28,range,bear,21033.759766,raw_transition
2019-04-01,bear,range,21509.029297,raw_transition
2019-10-17,range,bull,22451.859375,raw_transition
2020-02-27,bull,range,21948.230469,raw_transition
2020-03-24,range,bear,18092.349609,raw_transition
2020-04-17,bear,range,19897.259766,raw_transition
2020-04-21,range,bear,19280.779297,raw_transition
2020-04-23,bear,range,19429.439453,raw_transition
2020-04-24,range,bear,19262.000000,raw_transition
2020-04-27,bear,range,19783.220703,raw_transition
2020-05-07,range,bear,19674.769531,raw_transition
2020-05-08,bear,range,20179.089844,raw_transition
2020-07-17,range,bull,22696.419922,raw_transition
2020-07-31,bull,range,21710.000000,raw_transition
2020-08-03,range,bull,22195.380859,raw_transition
2020-08-06,bull,range,22418.150391,raw_transition
2020-08-07,range,bull,22329.939453,raw_transition
2020-09-30,bull,range,23185.119141,raw_transition
2020-10-07,range,bull,23422.820312,raw_transition
2020-10-16,bull,range,23410.630859,raw_transition
2020-11-12,range,bull,25520.880859,raw_transition
2021-07-19,bull,range,27652.740234,raw_transition
2021-07-26,range,bull,27833.289062,raw_transition
2021-07-28,bull,range,27581.660156,raw_transition
2021-08-11,range,bull,28070.509766,raw_transition
2021-08-13,bull,range,27977.150391,raw_transition
2021-11-01,range,bull,29647.080078,raw_transition
2021-11-26,bull,range,28751.619141,raw_transition
2022-01-21,range,bear,27522.259766,raw_transition
2022-03-24,bear,range,28110.390625,raw_transition
2022-03-28,range,bear,27943.890625,raw_transition
2022-03-29,bear,range,28252.419922,raw_transition
2022-03-30,range,bear,28027.250000,raw_transition
2022-06-06,bear,range,27915.890625,raw_transition
2022-06-10,range,bear,27824.289062,raw_transition
2022-07-20,bear,range,27680.259766,raw_transition
2022-11-29,range,bull,28027.839844,raw_transition
2022-12-19,bull,range,27237.640625,raw_transition
2023-01-19,range,bear,26405.230469,raw_transition
2023-01-20,bear,range,26553.529297,raw_transition
2023-03-24,range,bull,27385.250000,raw_transition
2024-08-02,bull,range,35909.699219,raw_transition
2024-08-16,range,bull,38062.671875,raw_transition
2024-09-04,bull,range,37047.609375,raw_transition
2024-09-20,range,bull,37723.910156,raw_transition
2024-09-25,bull,range,37870.261719,raw_transition
2024-12-03,range,bull,39248.859375,raw_transition
2025-01-14,bull,range,38474.300781,raw_transition
2025-02-18,range,bull,39270.398438,raw_transition
2025-02-25,bull,range,38237.789062,raw_transition
2025-03-19,range,bear,37751.878906,raw_transition
2025-05-13,bear,range,38183.261719,raw_transition
2025-05-16,range,bear,37753.718750,raw_transition
2025-05-29,bear,range,38432.980469,raw_transition
2025-06-02,range,bear,37470.671875,raw_transition
2025-06-05,bear,range,37554.488281,raw_transition
2025-07-08,range,bull,39688.808594,raw_transition
