date,from,to,close,note
2017-03-21,START,bull,19455.880859,confirmed_initial
2017-08-25,bull,range,19452.609375,confirmed_5d_transition
2017-09-15,range,bull,19909.500000,confirmed_5d_transition
2018-06-22,bull,range,22516.830078,confirmed_5d_transition
2018-07-19,range,bull,22764.679688,confirmed_5d_transition
2018-08-16,bull,range,22192.039062,confirmed_5d_transition
2018-09-26,range,bull,24033.789062,confirmed_5d_transition
2018-10-15,bull,range,22271.300781,confirmed_5d_transition
2018-12-17,range,bear,21506.880859,confirmed_5d_transition
2019-04-05,bear,range,21807.500000,confirmed_5d_transition
2019-10-24,range,bull,22750.599609,confirmed_5d_transition
2020-03-04,bull,range,21100.060547,confirmed_5d_transition
2020-03-30,range,bear,19084.970703,confirmed_5d_transition
2020-05-14,bear,range,19914.779297,confirmed_5d_transition
2020-07-27,range,bull,22715.849609,confirmed_5d_transition
2020-10-22,bull,range,23474.269531,confirmed_5d_transition
2020-11-18,range,bull,25728.140625,confirmed_5d_transition
2021-08-03,bull,range,27641.830078,confirmed_5d_transition
2021-11-08,range,bull,29507.050781,confirmed_5d_transition
2021-12-02,bull,range,27753.369141,confirmed_5d_transition
2022-01-27,range,bear,26170.300781,confirmed_5d_transition
2022-07-26,bear,range,27655.210938,confirmed_5d_transition
2022-12-05,range,bull,27820.400391,confirmed_5d_transition
2022-12-23,bull,range,26235.250000,confirmed_5d_transition
2023-03-30,range,bull,27782.929688,confirmed_5d_transition
2024-08-08,bull,range,34831.148438,confirmed_5d_transition
2024-08-22,range,bull,38211.011719,confirmed_5d_transition
2024-09-10,bull,range,36159.160156,confirmed_5d_transition
2024-12-09,range,bull,39160.500000,confirmed_5d_transition
2025-01-20,bull,range,38902.500000,confirmed_5d_transition
2025-03-26,range,bear,38027.289062,confirmed_5d_transition
2025-06-11,bear,range,38421.191406,confirmed_5d_transition
2025-07-14,range,bull,39459.621094,confirmed_5d_transition
