start_date,end_date,market_regime,trading_days,start_close,end_close
2017-03-21,2017-08-24,bull,108,19455.880859,19353.769531
2017-08-25,2017-09-14,range,15,19452.609375,19807.439453
2017-09-15,2018-06-21,bull,187,19909.500000,22693.039062
2018-06-22,2018-07-18,range,19,22516.830078,22794.189453
2018-07-19,2018-08-15,bull,20,22764.679688,22204.220703
2018-08-16,2018-09-25,range,27,22192.039062,23940.259766
2018-09-26,2018-10-12,bull,12,24033.789062,22694.660156
2018-10-15,2018-12-14,range,44,22271.300781,21374.830078
2018-12-17,2019-04-04,bear,71,21506.880859,21724.949219
2019-04-05,2019-10-23,range,132,21807.500000,22625.380859
2019-10-24,2020-03-03,bull,86,22750.599609,21082.730469
2020-03-04,2020-03-27,range,17,21100.060547,19389.429688
2020-03-30,2020-05-13,bear,29,19084.970703,20267.050781
2020-05-14,2020-07-22,range,50,19914.779297,22751.609375
2020-07-27,2020-10-21,bull,59,22715.849609,23639.460938
2020-10-22,2020-11-17,range,18,23474.269531,26014.619141
2020-11-18,2021-08-02,bull,172,25728.140625,27781.019531
2021-08-03,2021-11-05,range,65,27641.830078,29611.570312
2021-11-08,2021-12-01,bull,17,29507.050781,27935.619141
2021-12-02,2022-01-26,range,37,27753.369141,27011.330078
2022-01-27,2022-07-25,bear,120,26170.300781,27699.250000
2022-07-26,2022-12-02,range,88,27655.210938,27777.900391
2022-12-05,2022-12-22,bull,14,27820.400391,26507.869141
2022-12-23,2023-03-29,range,64,26235.250000,27883.779297
2023-03-30,2024-08-07,bull,335,27782.929688,35089.621094
2024-08-08,2024-08-21,range,9,34831.148438,37951.800781
2024-08-22,2024-09-09,bull,13,38211.011719,36215.750000
2024-09-10,2024-12-06,range,60,36159.160156,39091.171875
2024-12-09,2025-01-17,bull,25,39160.500000,38451.460938
2025-01-20,2025-03-25,range,44,38902.500000,37780.539062
2025-03-26,2025-06-10,bear,52,38027.289062,38211.511719
2025-06-11,2025-07-11,range,23,38421.191406,39569.679688
2025-07-14,2026-04-24,bull,191,39459.621094,59716.179688
