b20_vol_count,date,equity_before,price,regime,ret1,ret3,ret5,target_position,type,weighted_b20_vol
3,2017-04-26,10000000.00,19289.4297,bull,,,,0.00,V6_D0_BREAKOUT_WATCH,0.2936
5,2017-05-11,10000000.00,19961.5508,bull,,,,0.00,V6_D0_BREAKOUT_WATCH,0.1489
3,2017-06-02,10000000.00,20177.2793,bull,,,,0.00,V6_D0_BREAKOUT_WATCH,0.0750
3,2017-09-13,10000000.00,19865.8203,range,,,,0.00,V6_D0_BREAKOUT_WATCH,0.0658
,2017-09-19,10000000.00,20299.3809,bull,,,,0.35,V6_D3_TRIAL,
,2017-09-20,10000000.00,20301.3301,,,,,0.35,execute,
,2017-09-21,10007956.44,20347.4805,bull,,,,0.80,V6_D5_ADD_NORMAL,
,2017-09-22,10019357.23,20413.6094,,,,,0.80,execute,
4,2017-10-03,10098069.02,20614.0703,bull,,,,0.80,V6_D0_BREAKOUT_WATCH,0.3582
,2017-10-11,10202985.87,20881.2695,bull,,,,1.00,V6_D5_ADD_STRONG,
,2017-10-12,10233184.95,20958.1797,,,,,1.00,execute,
5,2017-10-12,10231496.05,20954.7207,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.2755
9,2017-10-23,10593755.74,21696.6504,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.2697
11,2017-11-01,10946982.49,22420.0801,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.4809
,2017-11-09,11166034.08,22868.7109,bull,,,,1.00,V6_D5_ADD_STRONG,
,2017-11-10,11025407.50,22580.6992,,,,,1.00,execute,
13,2018-01-04,11477362.39,23506.3301,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.3783
2,2018-01-23,11779023.58,24124.1504,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.0485
,2018-02-06,10551564.52,21610.2402,bull,-0.0473,-0.0799,-0.0722,0.50,V6_NIKKEI_SHOCK_REDUCE,
,2018-02-07,10742500.71,22001.2891,,,,,0.50,execute,
,2018-03-23,10404759.26,20617.8594,bull,,,,0.35,V6_STRUCTURAL_BREAK_REDUCE,
,2018-03-26,10357277.69,20423.3691,,,,,0.35,execute,
1,2018-04-18,10665201.47,22158.1992,bull,,,,0.37,V6_D0_BREAKOUT_WATCH,0.1666
,2018-04-25,10675340.18,22215.3203,bull,,,,0.80,V6_D5_ADD_NORMAL,
,2018-04-26,10686602.10,22278.7695,,,,,0.80,execute,
5,2018-04-27,10759167.41,22467.8691,bull,,,,0.80,V6_D0_BREAKOUT_WATCH,0.2999
,2018-05-09,10736531.18,22408.8809,bull,,,,1.00,V6_D5_ADD_STRONG,
,2018-05-10,10764785.63,22482.5098,,,,,1.00,execute,
3,2018-05-11,10896922.36,22758.4805,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.0773
1,2018-05-21,11013697.99,23002.3691,bull,,,,1.00,V6_D0_BREAKOUT_WATCH,0.0251
,2018-06-22,10781218.43,22516.8301,range,,,,0.75,V6_REGIME_CAP,
,2018-06-25,10794017.17,22543.5605,,,,,0.75,execute,
,2018-07-02,10531284.63,21811.9297,range,,,,0.10,V6_STRUCTURAL_BREAK_REDUCE,
,2018-07-03,10558982.73,21889.0605,,,,,0.10,execute,
5,2018-09-14,10617139.67,23094.6699,range,,,,0.10,V6_D0_BREAKOUT_WATCH,0.2157
,2018-09-20,10645130.61,23674.9297,range,,,,0.25,V6_D3_TRIAL,
,2018-09-21,10653509.72,23848.6309,,,,,0.25,execute,
,2018-09-25,10663742.69,23940.2598,range,,,,0.75,V6_D5_ADD_STRONG,
,2018-09-26,10653282.87,23846.5996,,,,,0.75,execute,
4,2018-09-26,10716001.94,24033.7891,bull,,,,0.75,V6_D0_BREAKOUT_WATCH,0.0751
,2018-10-11,10232538.73,22590.8594,bull,-0.0389,-0.0502,-0.0630,0.50,V6_NIKKEI_SHOCK_REDUCE,
,2018-10-12,10142934.63,22323.4297,,,,,0.50,execute,
