date,close,base_position_v3,market_regime,ret1,ret3,ret5,ret10,ret20,dist_ma20,dist_ma50,dist_ma200,ma50_over_ma200,ma200_slope20,volume_ratio60,breakout20,breakout60,breakdown20,breakdown60,below200,dist_res20,dist_sup20,dist_sup60,future20_return,future20_drawdown,adjustment_label,component_b20_vol_count,component_b60_vol_count,component_vol_down_count,component_bd20_vol_count,weighted_b20_vol,weighted_b60_vol,weighted_vol_down,weighted_bd20_vol,component_above200_breadth,avg_component_vr,regime_bull,regime_range,regime_bear
2017-03-21,19455.88085938,0.00000000,bull,-0.00336596,-0.00620614,-0.00905936,0.00395994,0.01063840,0.00248197,0.01058250,0.10405449,0.09249319,0.01582405,0.81447964,0,0,0,0,0,-0.01078548,0.02423357,0.04319231,-0.05331504,-0.06328170,0,0,0,2,1,0,0,0.04275814,0.03021131,0.93633934,0.85758644,1,0,0
2017-03-22,19041.38085938,0.00000000,bull,-0.02130461,-0.02801204,-0.02897163,-0.01565174,-0.01754558,-0.01939292,-0.01094917,0.07973007,0.09168309,0.01604891,1.09660155,0,0,0,0,0,-0.03186031,0.00241267,0.02096750,-0.03199251,-0.04289086,0,0,0,13,8,0,0,0.21732299,0.13152500,0.73840392,1.18521343,1,0,0
2017-03-23,19085.31054688,0.00000000,bull,0.00230706,-0.02234855,-0.02513463,-0.00876278,-0.01519920,-0.01626921,-0.00839947,0.08161592,0.09077788,0.01602376,0.97054931,0,0,0,0,0,-0.02962675,0.00472530,0.02332294,-0.03431017,-0.04509389,0,0,0,3,1,0,0,0.05757427,0.01220879,0.73840392,0.88653985,1,0,0
2017-03-24,19262.52929688,0.00000000,bull,0.00928561,-0.00993795,-0.01672328,-0.00290139,-0.00562331,-0.00638038,0.00109875,0.09108731,0.08988979,0.01594535,1.02326451,0,0,0,0,0,-0.02061624,0.01521994,0.03282511,-0.03331750,-0.05387920,0,0,0,0,0,0,0,0,0,0.93633934,0.99062982,1,0,0
2017-03-27,18985.58984375,0.00000000,bull,-0.01437711,-0.00292999,-0.02745678,-0.03157520,-0.01545096,-0.02039053,-0.01342524,0.07469851,0.08932293,0.01581834,0.96254980,0,0,0,0,0,-0.03469695,0.00062401,0.01797608,-0.00577854,-0.04007830,0,0,0,1,0,0,0,0.01948930,0,0.73840392,0.89015457,1,0,0
2017-03-28,19202.86914062,0.00000000,bull,0.01144443,0.00615964,-0.01300438,-0.02194593,0.00499273,-0.00841725,-0.00182148,0.08625288,0.08823508,0.01559925,0.97313211,0,0,0,0,0,-0.02364960,0.01207559,0.02962624,-0.00643336,-0.05093976,0,2,0,0,0,0.13356266,0,0,0,0.75460040,1.06143197,1,0,0
2017-03-29,19217.48046875,0.00000000,bull,0.00076089,-0.00233868,0.00924826,-0.01999131,0.00515143,-0.00790712,-0.00117373,0.08629266,0.08756918,0.01545950,0.91045721,0,0,0,0,0,-0.02290670,0.01284567,0.03040967,0.00374395,-0.05166134,0,2,2,0,0,0.13085829,0.13085829,0,0,0.73840392,0.98821376,1,0,0
2017-03-30,19063.22070312,0.00000000,bull,-0.00802705,0.00408894,-0.00115743,-0.02626297,-0.01703239,-0.01612084,-0.00960724,0.07677028,0.08721542,0.01537050,0.99113682,0,0,0,0,0,-0.03074989,0.00471550,0.02213852,0.00989594,-0.04398737,0,2,2,0,0,0.13085829,0.13085829,0,0,0.73840392,0.87419855,1,0,0
2017-03-31,18909.25976562,0.00000000,bull,-0.00807633,-0.01528987,-0.01833973,-0.03475630,-0.03350614,-0.02323437,-0.01777831,0.06735415,0.08667336,0.01523180,1.18671704,0,0,1,0,0,-0.03857787,-0.00339892,0.01388338,0.01520316,-0.03620343,0,1,1,6,1,0.01643749,0.01643749,0.21452785,0.03348065,0.72603707,1.15435264,1,0,0
2017-04-03,18983.23046875,0.00000000,bull,0.00391188,-0.01218942,-0.00012427,-0.02757764,-0.02495943,-0.01775032,-0.01376898,0.07090134,0.08585243,0.01495899,1.06943633,0,0,0,0,0,-0.03425079,0.00391188,0.01784957,0.01724096,-0.03995899,0,1,1,5,2,0.11442080,0.11442080,0.09900057,0.04982112,0.73840392,0.97473828,1,0,0
2017-04-04,18810.25000000,0.00000000,bull,-0.00911228,-0.01327009,-0.02044586,-0.03318436,-0.02935582,-0.02547568,-0.02259870,0.06045059,0.08496950,0.01480160,1.17068895,0,0,1,0,0,-0.04305097,-0.00523605,0.00857464,0.03378207,-0.03113038,0,0,0,10,4,0,0,0.42149348,0.07776157,0.72603707,1.14565014,1,0,0
2017-04-05,18861.26953125,0.00000000,bull,0.00271233,-0.00253792,-0.01853578,-0.00945894,-0.02496263,-0.02139032,-0.01986539,0.06266522,0.08420335,0.01457239,0.96550081,0,0,0,0,0,-0.04045541,0.00842824,0.01131023,0.05484412,-0.03375117,1,0,0,2,0,0,0,0.02621266,0,0.73840392,0.95098602,1,0,0
2017-04-06,18597.06054688,0.00000000,bull,-0.01400802,-0.02034269,-0.02445338,-0.02558250,-0.03412110,-0.03388845,-0.03366873,0.04694117,0.08341850,0.01455023,1.06042968,0,0,1,1,0,-0.05389672,-0.00569784,-0.00285622,0.06699658,-0.02002364,1,0,0,11,5,0,0,0.29776389,0.10073306,0.73840392,1.16209343,1,0,0
