date,equity,position,close
2022-01-04,10000000.00000000,0.00000000,29301.78906250
2022-01-05,10003709.82842872,0.25087291,29332.16015625
2022-01-06,9931472.28321792,0.24542406,28487.86914062
2022-01-07,9930675.83987147,0.24536355,28478.56054688
2022-01-11,9908765.62659336,0.24369490,28222.48046875
2022-01-12,9955240.08446061,0.24722559,28765.66015625
2022-01-13,9931580.23588301,0.24543227,28489.13085938
2022-01-14,9900363.53363987,0.24305305,28124.27929688
2022-01-17,9918266.12955864,0.24441935,28333.51953125
2022-01-18,9911740.50793065,0.24392189,28257.25000000
2022-01-19,9844146.43130313,0.23873034,27467.23046875
2022-01-20,9870302.05860068,0.24074765,27772.92968750
2022-01-21,9848854.73832922,0.23909427,27522.25976562
2022-01-24,9854511.05691729,0.23953102,27588.36914062
2022-01-25,9815407.62707536,0.23650140,27131.33984375
2022-01-26,9805139.59068786,0.23570186,27011.33007812
2022-01-27,9733181.11815616,0.23005132,26170.30078125
2022-01-28,9779985.78417545,0.23373611,26717.33984375
2022-01-31,9804339.63804425,0.23563949,27001.98046875
2022-02-01,9810884.97858010,0.23614944,27078.48046875
2022-02-02,9849824.97543990,0.23916922,27533.59960938
2022-02-03,9824816.72120503,0.23723259,27241.31054688
2022-02-04,9841815.75665920,0.23855006,27439.99023438
2022-02-07,9825463.43453922,0.23728280,27248.86914062
2022-02-08,9828513.68221082,0.23751950,27284.51953125
2022-02-09,9853783.79685775,0.23947489,27579.86914062
2022-02-10,9863726.80548426,0.24024153,27696.08007812
2022-02-14,9810979.89671287,0.23615683,27079.58984375
2022-02-15,9792635.79778920,0.23472596,26865.18945312
2022-02-16,9843562.04977092,0.23868515,27460.40039062
2022-02-17,9824094.47442715,0.23717651,27232.86914062
2022-02-18,9814614.52591668,0.23643970,27122.07031250
2022-02-21,9796544.15217167,0.23503126,26910.86914062
2022-02-22,9757078.76339386,0.23193712,26449.60937500
2022-02-24,9716113.56785263,0.22869881,25970.82031250
2022-02-25,9759379.52545722,0.23211819,26476.50000000
2022-02-28,9763684.93174719,0.23245680,26526.82031250
2022-03-01,9790884.49139583,0.23458907,26844.72070312
2022-03-02,9752237.77151316,0.23155586,26393.02929688
2022-03-03,9768001.36725682,0.23279597,26577.26953125
2022-03-04,9717367.05537713,0.22879830,25985.47070312
2022-03-07,9651994.02963457,0.22357494,25221.41015625
2022-03-08,9615163.78880686,0.22060090,24790.94921875
2022-03-09,9608881.97977696,0.22009137,24717.52929688
2022-03-10,9692120.83737278,0.22678946,25690.40039062
2022-03-11,9646977.57289576,0.22317120,25162.77929688
2022-03-14,9659389.78984942,0.22416942,25307.84960938
2022-03-15,9662695.04644813,0.22443480,25346.48046875
