adjustment,base_position,date,equity_before,price,regime,target_position,type
0,0.25,2022-01-04,,,range,0.25,signal
,,2022-01-05,10000000.00,29288.8008,,0.25,execute
0,0.55,2023-01-31,,,range,0.55,signal
,,2023-02-01,9845530.77,27483.4102,,0.55,execute
0,0.33,2023-02-14,,,range,0.33,signal
,,2023-02-15,9885362.64,27686.0098,,0.33,execute
0,0.75,2023-03-13,,,range,0.75,signal
,,2023-03-14,9858336.45,27455.9492,,0.75,execute
0,1.00,2023-04-24,,,bull,1.00,signal
,,2023-04-25,10192581.97,28697.7305,,1.00,execute
0,0.80,2023-05-30,,,bull,0.80,signal
,,2023-05-31,11030556.39,31057.0898,,0.80,execute
0,1.00,2023-06-13,,,bull,1.00,signal
,,2023-06-14,11677334.34,33331.4688,,1.00,execute
0,0.80,2023-09-11,,,bull,0.80,signal
,,2023-09-12,11431287.81,32629.1602,,0.80,execute
0,0.64,2023-09-26,,,bull,0.64,signal
,,2023-09-27,11261734.33,32023.3691,,0.64,execute
0,0.25,2023-11-14,,,bull,0.25,signal
,,2023-11-15,11505920.06,33112.3086,,0.25,execute
0,0.50,2023-11-21,,,bull,0.50,signal
,,2023-11-22,11512050.94,33182.9883,,0.50,execute
0,1.00,2023-11-24,,,bull,1.00,signal
,,2023-11-27,11603337.99,33710.0312,,1.00,execute
0,0.80,2024-01-30,,,bull,0.80,signal
,,2024-01-31,12304790.05,35747.8906,,0.80,execute
0,1.00,2024-02-21,,,bull,1.00,signal
,,2024-02-22,13064304.70,38508.0703,,1.00,execute
0,0.80,2024-03-12,,,bull,0.80,signal
,,2024-03-13,13251535.95,39059.9492,,0.80,execute
0,0.65,2024-03-29,,,bull,0.65,signal
,,2024-04-01,13682921.74,40646.6992,,0.65,execute
0,0.25,2024-05-28,,,bull,0.25,signal
,,2024-05-29,13298851.22,38880.5000,,0.25,execute
0,0.50,2024-07-02,,,bull,0.50,signal
,,2024-07-03,13413838.73,40225.8281,,0.50,execute
0,1.00,2024-07-04,,,bull,1.00,signal
,,2024-07-05,13545349.57,41009.3594,,1.00,execute
0,0.35,2024-07-26,,,bull,0.35,signal
,,2024-07-29,12597312.79,38139.1211,,0.35,execute
0,0.20,2025-04-01,,,bear,0.20,signal
,,2025-04-02,12321833.49,35751.0195,,0.20,execute
0,0.35,2025-05-14,,,bear,0.35,signal
,,2025-05-15,12464226.35,37832.3594,,0.35,execute
0,0.75,2025-07-04,,,range,0.75,signal
,,2025-07-07,12682729.50,39729.5586,,0.75,execute
0,0.60,2025-07-31,,,bull,0.60,signal
,,2025-08-01,12993684.08,41029.8398,,0.60,execute
0,1.00,2025-08-20,,,bull,1.00,signal
,,2025-08-21,13329439.99,42783.2617,,1.00,execute
0,0.80,2025-11-07,,,bull,0.80,signal
,,2025-11-10,15778906.38,50645.2695,,0.80,execute
0,0.65,2026-01-14,,,bull,0.65,signal
,,2026-01-15,16624045.76,54039.3984,,0.65,execute
0,0.35,2026-03-10,,,bull,0.35,signal
,,2026-03-11,16799574.90,54917.9297,,0.35,execute
