adjustment,base_position,date,equity_before,price,regime,target_position,type
1,0.25,2022-01-06,,,range,0.50,signal
,,2022-01-07,10000000.00,28711.5293,,0.50,execute
-1,0.24,2022-01-11,,,range,0.00,signal
,,2022-01-12,9954798.78,28449.5293,,0.00,execute
1,0.24,2022-01-19,,,range,0.49,signal
,,2022-01-20,9954798.78,27401.4297,,0.49,execute
-1,0.23,2022-01-27,,,bear,0.00,signal
,,2022-01-28,9782319.97,26429.8496,,0.00,execute
0,0.20,2022-01-28,,,bear,0.20,signal
,,2022-01-31,9782319.97,26690.5996,,0.20,execute
-1,0.21,2022-02-16,,,bear,0.00,signal
,,2022-02-17,9837094.91,27431.4199,,0.00,execute
0,0.20,2022-02-17,,,bear,0.20,signal
,,2022-02-18,9837094.91,26895.1602,,0.20,execute
1,0.20,2022-02-18,,,bear,0.35,signal
,,2022-02-21,9827836.45,26771.5801,,0.35,execute
-1,0.20,2022-02-21,,,bear,0.00,signal
,,2022-02-22,9794927.51,26515.4492,,0.00,execute
0,0.20,2022-02-22,,,bear,0.20,signal
,,2022-02-24,9794927.51,26281.3496,,0.20,execute
-1,0.20,2022-02-25,,,bear,0.00,signal
,,2022-02-28,9808066.92,26457.5195,,0.00,execute
1,0.20,2022-03-01,,,bear,0.35,signal
,,2022-03-02,9808066.92,26532.1992,,0.35,execute
-1,0.20,2022-03-02,,,bear,0.00,signal
,,2022-03-03,9820574.39,26628.8691,,0.00,execute
0,0.20,2022-03-04,,,bear,0.20,signal
,,2022-03-07,9820574.39,25634.0898,,0.20,execute
1,0.19,2022-03-08,,,bear,0.35,signal
,,2022-03-09,9763309.56,24876.4902,,0.35,execute
0,0.20,2022-03-10,,,bear,0.20,signal
,,2022-03-11,9848275.16,25495.0293,,0.20,execute
1,0.19,2022-03-11,,,bear,0.35,signal
,,2022-03-14,9836465.09,25338.6406,,0.35,execute
0,0.19,2022-03-15,,,bear,0.19,signal
,,2022-03-16,9868565.72,25574.9004,,0.19,execute
1,0.20,2022-03-17,,,bear,0.35,signal
,,2022-03-18,9948754.58,26649.5000,,0.35,execute
0,0.21,2022-03-23,,,bear,0.21,signal
,,2022-03-24,10085200.42,27693.7695,,0.21,execute
-1,0.21,2022-03-24,,,bear,0.00,signal
,,2022-03-25,10134443.51,28338.8105,,0.00,execute
0,0.21,2022-03-25,,,bear,0.21,signal
,,2022-03-28,10134443.51,28084.0801,,0.21,execute
0,0.35,2022-03-30,,,bear,0.35,signal
,,2022-03-31,10113643.70,27809.9707,,0.35,execute
-1,0.34,2022-04-08,,,bear,0.09,signal
,,2022-04-11,9995579.44,26877.5996,,0.09,execute
1,0.34,2022-04-11,,,bear,0.35,signal
,,2022-04-12,9986553.14,26606.8691,,0.35,execute
-1,0.33,2022-04-27,,,bear,0.08,signal
,,2022-04-28,9963354.87,26430.2793,,0.08,execute
0,0.34,2022-04-28,,,bear,0.34,signal
,,2022-05-02,9976780.67,26851.0996,,0.34,execute
0,0.20,2022-05-13,,,bear,0.20,signal
