Date of Data,Code,Company Name,Nikkei Industrial Classification,Sector,Weight
"2026/03/31","1332","NISSUI CORP.","Fishery","Consumer Goods","0.0879%"
"2026/03/31","1605","INPEX CORP.","Mining","Materials","0.1225%"
"2026/03/31","1721","COMSYS HOLDINGS CORP.","Construction","Capital Goods/Others","0.3260%"
"2026/03/31","1801","TAISEI CORP.","Construction","Capital Goods/Others","0.2102%"
"2026/03/31","1802","OBAYASHI CORP.","Construction","Capital Goods/Others","0.2459%"
"2026/03/31","1803","SHIMIZU CORP.","Construction","Capital Goods/Others","0.1815%"
"2026/03/31","1808","HASEKO CORP.","Construction","Capital Goods/Others","0.0378%"
"2026/03/31","1812","KAJIMA CORP.","Construction","Capital Goods/Others","0.1933%"
"2026/03/31","1925","DAIWA HOUSE IND. CO., LTD.","Construction","Capital Goods/Others","0.3219%"
"2026/03/31","1928","SEKISUI HOUSE, LTD.","Construction","Capital Goods/Others","0.2304%"
"2026/03/31","1963","JGC HOLDINGS CORP.","Construction","Capital Goods/Others","0.1487%"
"2026/03/31","2002","NISSHIN SEIFUN GROUP INC.","Foods","Consumer Goods","0.1372%"
"2026/03/31","2269","MEIJI HOLDINGS CO., LTD.","Foods","Consumer Goods","0.1010%"
"2026/03/31","2282","NH FOODS LTD.","Foods","Consumer Goods","0.2301%"
"2026/03/31","2413","M3, INC.","Services","Consumer Goods","0.2522%"
"2026/03/31","2432","DENA CO., LTD.","Services","Consumer Goods","0.0478%"
"2026/03/31","2501","SAPPORO HOLDINGS LTD.","Foods","Consumer Goods","0.1120%"
"2026/03/31","2502","ASAHI GROUP HOLDINGS, LTD.","Foods","Consumer Goods","0.3113%"
"2026/03/31","2503","KIRIN HOLDINGS CO., LTD.","Foods","Consumer Goods","0.1653%"
"2026/03/31","2768","SOJITZ CORP.","Trading Companies","Materials","0.0401%"
"2026/03/31","2801","KIKKOMAN CORP.","Foods","Consumer Goods","0.4697%"
"2026/03/31","2802","AJINOMOTO CO., INC.","Foods","Consumer Goods","0.5756%"
