week_start,week_end,spot_weekly_return,spot_first_close,spot_last_close,volume_source,volume_total,weekly_volume_ratio_4w,weekly_volume_ratio_13w,weekly_volume_ratio_26w,weekly_volume_ratio_52w,weekly_price_position_52w,weekly_volume_accumulation_26w,weekly_volume_accumulation_52w,weekly_high_volume_low_price_signal,weekly_high_volume_breakout_signal,weekly_up_day_volume_share,weekly_down_day_volume_share,weekly_volume_price_confirmation,next_week_return,next_week_positive_label,split_name,next_4w_return,next_4w_positive_label,price_position_bucket_52w,volume_ratio_4w_bucket,volume_ratio_13w_bucket,volume_ratio_26w_bucket,volume_ratio_52w_bucket,weekly_price_direction,volume_price_state,is_low_price_high_volume,is_high_price_high_volume,is_extreme_volume_any_window,anomaly_score,behavior_hypothesis
2025-04-07,2025-04-11,0.07865346804305418,31136.58,33585.58,NK225_VOL.YFINANCE,1042100000,1.5778038532874068,1.6918052849792697,1.7020397137993204,1.744572076132588,0.0,0.7020397137993204,0.744572076132588,1,0,0.37760291718645045,0.3664715478361002,1,0.034083079702658114,1,train,0.11664976457158094,1,low,extreme_volume,extreme_volume,extreme_volume,extreme_volume,up,low__extreme_volume__up,1,0,1,2.889144152265176,low_price_high_volume_possible_accumulation_or_panic
2024-08-05,2024-08-09,0.11337441613405885,31458.42,35025.0,NK225_VOL.YFINANCE,1121800000,1.9160510696443058,1.9227645492181524,1.9396946158757182,2.1396696609678356,0.39546170748279985,0.568081378569113,0.6889739508751517,1,0,0.5980566945979675,0.14735246924585488,1,0.0867286224125623,1,train,0.03901413276231258,1,mid_low,extreme_volume,extreme_volume,extreme_volume,extreme_volume,up,mid_low__extreme_volume__up,1,0,1,2.8331819043601874,low_price_high_volume_possible_accumulation_or_panic
2022-03-07,2022-03-11,-0.0023246123035944866,25221.41,25162.78,NK225_VOL.YFINANCE,496400000,1.4244924313078413,1.5502438321281862,1.4682714841528066,1.5428127428127427,0.0,0.4682714841528066,0.5428127428127427,1,0,0.1917808219178082,0.5958904109589042,-1,0.0661552499366127,1,train,0.07244906961790387,1,low,extreme_volume,extreme_volume,extreme_volume,extreme_volume,down,low__extreme_volume__down,1,0,1,2.493056574940929,low_price_high_volume_possible_accumulation_or_panic
2025-03-31,2025-04-04,-0.051575121934236856,35617.56,33780.58,NK225_VOL.YFINANCE,844100000,1.374084323620381,1.4086573640226447,1.4068874443888866,1.4251362855649319,0.0,0.4068874443888866,0.4251362855649319,1,0,0.29889823480630257,0.5015993365714962,-1,-0.005772547422217111,0,train,0.09029181855373714,1,low,extreme_volume,extreme_volume,extreme_volume,extreme_volume,down,low__extreme_volume__down,1,0,1,2.2502725711298637,low_price_high_volume_possible_accumulation_or_panic
2022-09-26,2022-09-30,-0.018702648917676035,26431.55,25937.21,NK225_VOL.YFINANCE,446400000,1.5638465580662113,1.4528703402348346,1.3591587230952993,1.3208979429254275,0.16897551651833156,0.2984696923482067,0.2666740472699333,1,0,0.3487903225806452,0.4350358422939068,-1,0.045452074452109636,1,train,0.04503144324312447,1,low,extreme_volume,extreme_volume,extreme_volume,extreme_volume,down,low__extreme_volume__down,1,0,1,2.0615450888178133,low_price_high_volume_possible_accumulation_or_panic
2022-02-28,2022-03-04,-0.020407647807011875,26526.82,25985.47,NK225_VOL.YFINANCE,421100000,1.2222625353747913,1.3039014862804879,1.2579681503780131,1.313372319688109,0.0,0.25796815037801313,0.3133723196881091,1,0,0.35336024697221563,0.4303015910710045,-1,-0.03165961593151878,0,train,0.06467114121853479,1,low,warm_volume,extreme_volume,extreme_volume,extreme_volume,down,low__extreme_volume__down,1,0,1,2.026744639376218,low_price_high_volume_possible_accumulation_or_panic
2022-05-09,2022-05-13,0.004115224773873605,26319.34,26427.65,NK225_VOL.YFINANCE,441200000,1.5762772418720972,1.2844825655611045,1.3359887262266634,1.3643683766071577,0.23698819808628804,0.2563633634208993,0.2780173715954014,1,0,0.4299637352674524,0.3898458748866727,1,0.011782356736221189,1,train,0.05284768036507215,1,low,extreme_volume,extreme_volume,extreme_volume,extreme_volume,up,low__extreme_volume__up,1,0,1,2.0173064153812104,low_price_high_volume_possible_accumulation_or_panic
2020-11-09,2020-11-13,0.021982025649118553,24839.84,25385.87,NK225_VOL.YFINANCE,455800000,1.6823844237335055,1.6247623574144487,1.6247623574144487,1.6247623574144487,0.5,0.31238117870722437,0.31238117870722437,0,0,0.6827555945590171,0.17025010969723564,1,0.005573966935149333,1,train,0.04989586726789352,1,mid_high,extreme_volume,extreme_volume,extreme_volume,extreme_volume,up,mid_high__extreme_volume__up,0,0,1,1.9947656024407299,extreme_volume_context_needed
2022-01-24,2022-01-28,-0.03157236183217782,27588.37,26717.34,NK225_VOL.YFINANCE,363200000,1.3017921146953404,1.1466873907130366,1.1289346898274892,1.1280446286717714,0.0,0.12893468982748924,0.12804462867177135,1,0,0.2092511013215859,0.6227973568281938,-1,0.027047977081550822,1,train,-0.009014370442566477,0,low,extreme_volume,warm_volume,warm_volume,warm_volume,down,low__warm_volume__down,1,0,1,1.8298367433671117,low_price_high_volume_possible_accumulation_or_panic
2023-03-13,2023-03-17,-0.01793449205546227,27832.96,27333.79,NK225_VOL.YFINANCE,517000000,1.5213712940484072,1.5454482742762539,1.5360705755979385,1.5318256667977186,0.466879931612744,0.2857899819231686,0.28352693585329775,0,0,0.3638297872340426,0.45029013539651835,-1,0.0018826514727741106,1,train,0.04242660823837463,1,mid_high,extreme_volume,extreme_volume,extreme_volume,extreme_volume,down,mid_high__extreme_volume__down,0,0,1,1.8289752101295516,extreme_volume_context_needed
