group,count,next_1w_avg_return,next_1w_positive_rate,next_4w_avg_return,next_4w_positive_rate
mid_high__shrink__down,12,-0.0010587785923355058,0.5,0.0002887451470435602,0.4166666666666667
mid_high__shrink__up,12,-0.003369332731649355,0.5,0.0025683512466949756,0.5
high__shrink__up,8,0.009742296430366351,0.5,0.02395727920251149,0.625
high__shrink__down,4,-0.013899217693970845,0.25,0.0018026465360159172,0.5
mid_low__shrink__up,1,-0.021327187970771266,0.0,0.02807074326496206,1.0
mid_low__shrink__down,1,-0.044804729203946625,0.0,-0.009694764974222836,0.0
low__shrink__down,1,-0.004623579681542145,0.0,0.04936135967349453,1.0
low__shrink__up,1,0.0056083329964560225,1.0,0.059121385547387106,1.0
high__normal__up,29,-0.00015979255825535535,0.4827586206896552,0.01590201740211014,0.6551724137931034
mid_high__normal__up,23,0.002821294530787919,0.5652173913043478,0.01304768344480966,0.6956521739130435
mid_high__normal__down,20,0.0028071172993605342,0.65,0.013961707828625325,0.5
high__normal__down,12,0.004350773681643698,0.75,0.03596518683265477,0.75
mid_low__normal__down,9,0.0008107875628232305,0.5555555555555556,0.005043439845307319,0.4444444444444444
mid_low__normal__up,9,0.0012897773347563752,0.5555555555555556,-0.006428647018959201,0.4444444444444444
low__normal__up,2,0.003543013424554986,0.5,0.07037877886039345,1.0
low__normal__down,1,-0.01854588030895321,0.0,0.06320095178743412,1.0
high__mild_volume__up,29,0.005162224535751739,0.6206896551724138,0.0025135361309363445,0.56
high__mild_volume__down,15,-0.005775495785528162,0.4666666666666667,0.016934875837567,0.6666666666666666
mid_high__mild_volume__up,14,0.013297851078993355,0.7142857142857143,0.0024597804674283247,0.5
mid_high__mild_volume__down,12,0.0014107415501209049,0.5833333333333334,0.023885640193005504,0.6666666666666666
mid_low__mild_volume__up,6,0.01040651926451889,0.8333333333333334,0.003770464901104368,0.6666666666666666
low__mild_volume__down,4,0.010149856823587738,0.75,0.020046820540647048,0.5
low__mild_volume__up,1,-0.023802386764727013,0.0,-0.01086347760329498,0.0
mid_low__mild_volume__down,1,0.004498312014719508,1.0,-0.0842187134442679,0.0
high__extreme_volume__up,22,0.004818927111590109,0.45454545454545453,0.01927791496163891,0.6363636363636364
high__extreme_volume__down,14,0.004133432377168027,0.6428571428571429,-0.004478188328048328,0.42857142857142855
mid_high__extreme_volume__down,8,0.025215775951427474,0.875,0.043892888013473574,1.0
mid_high__extreme_volume__up,7,-0.002506077583510894,0.5714285714285714,-0.007677302840821449,0.42857142857142855
low__extreme_volume__down,4,0.018543790258746612,0.5,0.06811086815832507,1.0
low__extreme_volume__up,3,0.018399388595847183,1.0,0.03883004566312779,0.6666666666666666
mid_low__extreme_volume__down,2,0.004599136161163031,0.5,0.019661169904751863,1.0
mid_low__extreme_volume__up,2,0.06801091358302758,1.0,0.024460205761260845,1.0
