signal_date,execute_date,signal_adjustment,signal_base_position,signal_regime,target_position,etf_code,strategy
2022-01-06,2022-01-07,1.0,0.25,range,0.5,159866,next_open_no_cost
2022-01-11,2022-01-12,-1.0,0.24,range,0.0,159866,next_open_no_cost
2022-01-19,2022-01-20,1.0,0.24,range,0.49,159866,next_open_no_cost
2022-01-27,2022-01-28,-1.0,0.23,bear,0.0,159866,next_open_no_cost
2022-01-28,2022-02-07,0.0,0.2,bear,0.2,159866,next_open_no_cost
2022-02-16,2022-02-17,-1.0,0.21,bear,0.0,159866,next_open_no_cost
2022-02-17,2022-02-18,0.0,0.2,bear,0.2,159866,next_open_no_cost
2022-02-18,2022-02-21,1.0,0.2,bear,0.35,159866,next_open_no_cost
2022-02-21,2022-02-22,-1.0,0.2,bear,0.0,159866,next_open_no_cost
2022-02-22,2022-02-23,0.0,0.2,bear,0.2,159866,next_open_no_cost
2022-02-25,2022-02-28,-1.0,0.2,bear,0.0,159866,next_open_no_cost
2022-03-01,2022-03-02,1.0,0.2,bear,0.35,159866,next_open_no_cost
2022-03-02,2022-03-03,-1.0,0.2,bear,0.0,159866,next_open_no_cost
2022-03-04,2022-03-07,0.0,0.2,bear,0.2,159866,next_open_no_cost
2022-03-08,2022-03-09,1.0,0.19,bear,0.35,159866,next_open_no_cost
2022-03-10,2022-03-11,0.0,0.2,bear,0.2,159866,next_open_no_cost
2022-03-11,2022-03-14,1.0,0.19,bear,0.35,159866,next_open_no_cost
2022-03-15,2022-03-16,0.0,0.19,bear,0.19,159866,next_open_no_cost
2022-03-17,2022-03-18,1.0,0.2,bear,0.35,159866,next_open_no_cost
2022-03-23,2022-03-24,0.0,0.21,bear,0.21,159866,next_open_no_cost
2022-03-24,2022-03-25,-1.0,0.21,bear,0.0,159866,next_open_no_cost
2022-03-25,2022-03-28,0.0,0.21,bear,0.21,159866,next_open_no_cost
2022-03-30,2022-03-31,0.0,0.35,bear,0.35,159866,next_open_no_cost
2022-04-08,2022-04-11,-1.0,0.34,bear,0.09,159866,next_open_no_cost
2022-04-11,2022-04-12,1.0,0.34,bear,0.35,159866,next_open_no_cost
2022-04-27,2022-04-28,-1.0,0.33,bear,0.08,159866,next_open_no_cost
2022-04-28,2022-04-29,0.0,0.34,bear,0.34,159866,next_open_no_cost
2022-05-13,2022-05-16,0.0,0.2,bear,0.2,159866,next_open_no_cost
2022-06-07,2022-06-08,0.0,0.35,bear,0.35,159866,next_open_no_cost
2022-06-10,2022-06-13,-1.0,0.35,bear,0.1,159866,next_open_no_cost
2022-06-13,2022-06-14,0.0,0.34,bear,0.34,159866,next_open_no_cost
2022-06-15,2022-06-16,-1.0,0.34,bear,0.09,159866,next_open_no_cost
2022-06-16,2022-06-17,1.0,0.34,bear,0.35,159866,next_open_no_cost
2022-06-17,2022-06-20,-1.0,0.33,bear,0.08,159866,next_open_no_cost
2022-06-20,2022-06-21,1.0,0.2,bear,0.35,159866,next_open_no_cost
2022-06-21,2022-06-22,-1.0,0.2,bear,0.0,159866,next_open_no_cost
2022-06-22,2022-06-23,0.0,0.2,bear,0.2,159866,next_open_no_cost
2022-07-04,2022-07-05,1.0,0.2,bear,0.35,159866,next_open_no_cost
2022-07-05,2022-07-06,0.0,0.2,bear,0.2,159866,next_open_no_cost
2022-07-12,2022-07-13,-1.0,0.2,bear,0.0,159866,next_open_no_cost
2022-07-15,2022-07-18,0.0,0.2,bear,0.2,159866,next_open_no_cost
2022-07-20,2022-07-21,-1.0,0.21,bear,0.0,159866,next_open_no_cost
2022-08-19,2022-08-22,0.0,0.22,range,0.22,159866,next_open_no_cost
2022-08-22,2022-08-23,-1.0,0.22,range,0.0,159866,next_open_no_cost
2022-09-01,2022-09-02,0.0,0.21,range,0.21,159866,next_open_no_cost
2022-09-02,2022-09-05,-1.0,0.21,range,0.0,159866,next_open_no_cost
2022-09-14,2022-09-15,0.0,0.21,range,0.21,159866,next_open_no_cost
2022-09-15,2022-09-16,-1.0,0.21,range,0.0,159866,next_open_no_cost
2022-09-16,2022-09-19,0.0,0.21,range,0.21,159866,next_open_no_cost
2022-09-20,2022-09-21,-1.0,0.21,range,0.0,159866,next_open_no_cost
2022-09-21,2022-09-22,0.0,0.21,range,0.21,159866,next_open_no_cost
2022-09-22,2022-09-23,-1.0,0.21,range,0.0,159866,next_open_no_cost
2022-09-26,2022-09-27,0.0,0.2,range,0.2,159866,next_open_no_cost
2022-09-27,2022-09-28,-1.0,0.2,range,0.0,159866,next_open_no_cost
2022-09-28,2022-09-29,0.0,0.2,range,0.2,159866,next_open_no_cost
2022-10-04,2022-10-10,-1.0,0.21,range,0.0,159866,next_open_no_cost
2022-10-11,2022-10-12,0.0,0.2,range,0.2,159866,next_open_no_cost
2022-10-12,2022-10-13,-1.0,0.2,range,0.0,159866,next_open_no_cost
2022-10-14,2022-10-17,0.0,0.21,range,0.21,159866,next_open_no_cost
2022-10-18,2022-10-19,-1.0,0.21,range,0.0,159866,next_open_no_cost
2022-11-08,2022-11-09,0.0,0.21,range,0.21,159866,next_open_no_cost
2022-11-09,2022-11-10,-1.0,0.21,range,0.0,159866,next_open_no_cost
2022-11-11,2022-11-14,0.0,0.21,range,0.21,159866,next_open_no_cost
2022-11-17,2022-11-18,-1.0,0.21,range,0.0,159866,next_open_no_cost
2022-11-22,2022-11-23,0.0,0.21,range,0.21,159866,next_open_no_cost
2022-11-29,2022-11-30,-1.0,0.21,range,0.0,159866,next_open_no_cost
2022-12-01,2022-12-02,0.0,0.21,range,0.21,159866,next_open_no_cost
2022-12-02,2022-12-05,-1.0,0.21,range,0.0,159866,next_open_no_cost
2022-12-20,2022-12-21,0.0,0.2,bull,0.2,159866,next_open_no_cost
2022-12-22,2022-12-23,1.0,0.2,bull,0.45,159866,next_open_no_cost
2023-01-18,2023-01-19,0.0,0.2,range,0.2,159866,next_open_no_cost
2023-01-19,2023-01-20,1.0,0.2,range,0.45,159866,next_open_no_cost
2023-01-27,2023-01-30,-1.0,0.3,range,0.05,159866,next_open_no_cost
2023-01-31,2023-02-01,0.0,0.55,range,0.55,159866,next_open_no_cost
2023-02-02,2023-02-03,1.0,0.55,range,0.75,159866,next_open_no_cost
2023-02-03,2023-02-06,0.0,0.55,range,0.55,159866,next_open_no_cost
2023-02-14,2023-02-15,0.0,0.33,range,0.33,159866,next_open_no_cost
2023-03-13,2023-03-14,0.0,0.75,range,0.75,159866,next_open_no_cost
2023-03-17,2023-03-20,-1.0,0.75,range,0.5,159866,next_open_no_cost
2023-03-20,2023-03-21,0.0,0.74,range,0.74,159866,next_open_no_cost
2023-04-07,2023-04-10,-1.0,0.75,bull,0.5,159866,next_open_no_cost
2023-04-11,2023-04-12,0.0,0.75,bull,0.75,159866,next_open_no_cost
2023-04-19,2023-04-20,-1.0,0.75,bull,0.5,159866,next_open_no_cost
2023-04-24,2023-04-25,-1.0,1.0,bull,0.75,159866,next_open_no_cost
2023-04-25,2023-04-26,0.0,1.0,bull,1.0,159866,next_open_no_cost
2023-04-26,2023-04-27,-1.0,1.0,bull,0.75,159866,next_open_no_cost
2023-04-27,2023-04-28,0.0,1.0,bull,1.0,159866,next_open_no_cost
2023-05-30,2023-05-31,0.0,0.8,bull,0.8,159866,next_open_no_cost
2023-06-13,2023-06-14,0.0,1.0,bull,1.0,159866,next_open_no_cost
2023-08-24,2023-08-25,-1.0,1.0,bull,0.75,159866,next_open_no_cost
2023-08-25,2023-08-28,0.0,1.0,bull,1.0,159866,next_open_no_cost
2023-09-01,2023-09-04,-1.0,1.0,bull,0.75,159866,next_open_no_cost
2023-09-07,2023-09-08,0.0,1.0,bull,1.0,159866,next_open_no_cost
2023-09-08,2023-09-11,-1.0,1.0,bull,0.75,159866,next_open_no_cost
2023-10-10,2023-10-11,0.0,0.61,bull,0.61,159866,next_open_no_cost
2023-10-23,2023-10-24,1.0,0.6,bull,0.85,159866,next_open_no_cost
2023-10-24,2023-10-25,0.0,0.6,bull,0.6,159866,next_open_no_cost
