strategy,date,cash,shares_159866,shares_513520,equity,position_ratio,premium_open_159866,premium_open_513520
dual_low_premium_buy_no_deadband_3bp,2022-01-04,1000000.0,0.0,0.0,1000000.0,0.0,-1.4558881741407181,-0.7032828608856012
dual_low_premium_buy_no_deadband_3bp,2022-01-05,1000000.0,0.0,0.0,1000000.0,0.0,-0.46978986655299426,-0.251257559362561
dual_low_premium_buy_no_deadband_3bp,2022-01-06,1000000.0,0.0,0.0,1000000.0,0.0,1.910112948899867,1.6351113836449382
dual_low_premium_buy_no_deadband_3bp,2022-01-07,499850.0,559284.1202091016,0.0,996494.305146181,0.49839151371098467,0.2691783087838795,0.37014793690874903
dual_low_premium_buy_no_deadband_3bp,2022-01-10,499850.0,559284.1202091016,0.0,996494.305146181,0.49839151371098467,-0.4595884492667013,-0.2581721944365678
dual_low_premium_buy_no_deadband_3bp,2022-01-11,499850.0,559284.1202091016,0.0,994257.1641316579,0.49726286313808177,-0.011258704640038086,0.12970102642504422
dual_low_premium_buy_no_deadband_3bp,2022-01-12,996904.4209912092,0.0,0.0,996904.4209912092,0.0,-1.561289052210335,-1.8024169877766893
dual_low_premium_buy_no_deadband_3bp,2022-01-13,996904.4209912092,0.0,0.0,996904.4209912092,0.0,0.3456323066274969,-0.0767285749221025
dual_low_premium_buy_no_deadband_3bp,2022-01-14,996904.4209912092,0.0,0.0,996904.4209912092,0.0,0.42543828727630295,0.00858115314852359
dual_low_premium_buy_no_deadband_3bp,2022-01-17,996904.4209912092,0.0,0.0,996904.4209912092,0.0,-0.7021093480127027,0.2922013847636906
dual_low_premium_buy_no_deadband_3bp,2022-01-18,996904.4209912092,0.0,0.0,996904.4209912092,0.0,0.08976880053002123,0.8650526455941998
dual_low_premium_buy_no_deadband_3bp,2022-01-19,996904.4209912092,0.0,0.0,996904.4209912092,0.0,1.3124562781059668,0.900424318125026
dual_low_premium_buy_no_deadband_3bp,2022-01-20,508274.70975563105,564720.4172255478,0.0,1002969.7879746596,0.49323028883849807,-1.3907877865089846,-0.9736033241306008
dual_low_premium_buy_no_deadband_3bp,2022-01-21,508274.70975563105,564720.4172255478,0.0,1000146.1885813286,0.4917995833423107,-0.5720803612156877,-0.9683098591549255
dual_low_premium_buy_no_deadband_3bp,2022-01-24,508274.70975563105,564720.4172255478,0.0,1000146.1885813286,0.4917995833423107,-0.570777181076676,-0.3780870295908345
dual_low_premium_buy_no_deadband_3bp,2022-01-25,508274.70975563105,564720.4172255478,0.0,991110.6772546617,0.487166548176504,0.5697023063298667,0.5281555589657483
dual_low_premium_buy_no_deadband_3bp,2022-01-26,508274.70975563105,564720.4172255478,0.0,989981.2173013533,0.48658146147341436,-0.17533929357747002,-0.07196062008753001
dual_low_premium_buy_no_deadband_3bp,2022-01-27,508274.70975563105,564720.4172255478,0.0,974169.047234716,0.4782479373591024,3.014164261863539,2.010420339815844
dual_low_premium_buy_no_deadband_3bp,2022-01-28,977981.1523623075,1.1641532182693481e-10,0.0,977981.1523623077,1.1903636542047287e-16,-1.187646417323307,-0.8703603146002936
dual_low_premium_buy_no_deadband_3bp,2022-02-07,782326.2430207044,233408.3897180899,0.0,981190.1906153258,0.20267624920904428,-1.6893477800137502,-1.114704796668653
dual_low_premium_buy_no_deadband_3bp,2022-02-08,782326.2430207044,233408.3897180899,0.0,981657.0013846811,0.20305540334639263,-0.6290790752506936,-0.09873123723637134
dual_low_premium_buy_no_deadband_3bp,2022-02-09,782326.2430207044,233408.3897180899,0.0,983757.6776712285,0.20475716654873466,-0.8904830202058789,-0.9144938056659169
dual_low_premium_buy_no_deadband_3bp,2022-02-10,782326.2430207044,233408.3897180899,0.0,983757.6776712285,0.20475716654873466,-0.19592063361301149,-0.4340549853876774
dual_low_premium_buy_no_deadband_3bp,2022-02-11,782326.2430207044,233408.3897180899,0.0,981890.420681583,0.20324485651092347,-0.3928832267265703,-0.7287607725260714
dual_low_premium_buy_no_deadband_3bp,2022-02-14,782326.2430207044,233408.3897180899,0.0,978856.1089441008,0.20077503131220648,0.35293943741743217,0.42560604682362335
dual_low_premium_buy_no_deadband_3bp,2022-02-15,782326.2430207044,233408.3897180899,0.0,977922.4734931659,0.20001200072004321,-0.23753280594343007,0.47453471095182387
dual_low_premium_buy_no_deadband_3bp,2022-02-16,782326.2430207044,233408.3897180899,0.0,981190.1906153258,0.20267624920904428,-1.398599564612324,-0.8435015188903217
dual_low_premium_buy_no_deadband_3bp,2022-02-17,980897.1960679851,-2.9103830456733704e-11,0.0,980897.1960679851,0.0,-0.011748212048567908,0.05408457771001185
dual_low_premium_buy_no_deadband_3bp,2022-02-18,784658.9030226241,232992.20598100658,0.0,981537.3237425352,0.20058169562949177,-1.1040629986616812,-0.6064950130293845
dual_low_premium_buy_no_deadband_3bp,2022-02-21,637652.2766763625,407324.99186404096,0.0,980212.6031858117,0.3494755376497771,-0.35461054907904854,0.1275489351144854
dual_low_premium_buy_no_deadband_3bp,2022-02-22,979295.4157130969,5.820766091346741e-11,0.0,979295.4157130969,0.0,0.43092969219051813,0.526168803522542
dual_low_premium_buy_no_deadband_3bp,2022-02-23,783377.5748455347,236544.7838158767,0.0,980419.3807793001,0.20097706124204107,-0.14471670768138045,0.3617491110414317
dual_low_premium_buy_no_deadband_3bp,2022-02-24,783377.5748455347,236544.7838158767,0.0,975451.9337771528,0.1969080713058471,1.1649280293158926,0.6673540720781412
dual_low_premium_buy_no_deadband_3bp,2022-02-25,783377.5748455347,236544.7838158767,0.0,977580.8376210491,0.19865698600241552,-0.4355173205567886,-0.6136104758231675
dual_low_premium_buy_no_deadband_3bp,2022-02-28,977286.1058663423,5.820766091346741e-11,0.0,977286.1058663423,0.0,-0.6782954399899954,0.27933165125784143
dual_low_premium_buy_no_deadband_3bp,2022-03-01,977286.1058663423,5.820766091346741e-11,0.0,977286.1058663423,0.0,-1.2921765878115554,-0.3483670335748146
dual_low_premium_buy_no_deadband_3bp,2022-03-02,635133.3537720066,419179.0973644427,0.0,979279.3843132469,0.3514278315810605,-1.6274882771294852,1.660141147043559
dual_low_premium_buy_no_deadband_3bp,2022-03-03,980014.2613785896,1.1641532182693481e-10,0.0,980014.2613785897,1.1878941604704094e-16,-0.3631944517823671,0.0929388414971477
dual_low_premium_buy_no_deadband_3bp,2022-03-04,980014.2613785896,1.1641532182693481e-10,0.0,980014.2613785897,1.1878941604704094e-16,0.9988908277279496,-0.19903579782777348
dual_low_premium_buy_no_deadband_3bp,2022-03-07,783952.608247189,243179.7191900787,0.0,974848.6941890427,0.1958212459838769,1.4346833976786044,1.5169223613286542
dual_low_premium_buy_no_deadband_3bp,2022-03-08,783952.608247189,243179.7191900787,0.0,972416.8848216436,0.19381016466926312,1.2903259646507959,2.349661204597475
dual_low_premium_buy_no_deadband_3bp,2022-03-09,632025.4106441344,243179.7191900787,150825.85671892797,971189.3098320574,0.34922532173111837,0.7540270616409384,0.6597330550202063
dual_low_premium_buy_no_deadband_3bp,2022-03-10,632025.4106441344,243179.7191900787,150825.85671892797,981876.641926363,0.3563087422019212,0.5404061732976029,-0.9843637436611097
