model,feature,importance,importance_std
hgb_l2_leaf20_live,base_position_v3,0.2126984126984127,0.009589719026662358
hgb_l2_leaf20_live,dist_sup60,0.1650793650793651,0.019697894676175984
hgb_l2_leaf20_live,ma200_slope20,0.16190476190476188,0.01868032110466638
hgb_l2_leaf20_live,ma50_over_ma200,0.13571428571428573,0.0159521835255887
hgb_l2_leaf20_live,component_above200_breadth,0.030952380952380953,0.008093681767607566
hgb_l2_leaf20_live,dist_ma200,0.023809523809523836,0.0050194883494736
hgb_l2_leaf20_live,dist_ma50,0.008730158730158722,0.00462773959908359
hgb_l2_leaf20_live,weighted_vol_down,0.0087301587301587,0.0029695693545824823
hgb_l2_leaf20_live,dist_sup20,0.00714285714285714,0.0046277395990835975
hgb_l2_leaf20_live,ret5,0.004761904761904745,0.0029695693545824823
hgb_l2_leaf20_live,dist_res20,0.004761904761904745,0.0015873015873015817
hgb_l2_leaf20_live,ret10,0.003968253968253954,0.003549314249999654
hgb_l2_leaf20_live,ret20,0.0023809523809523725,0.0019440394783993406
hgb_l2_leaf20_live,ret1,0.0015873015873015817,0.0019440394783993406
hgb_l2_leaf20_live,dist_ma20,0.0015873015873015817,0.0019440394783993406
hgb_l2_leaf20_live,volume_ratio60,0.0007936507936507908,0.0015873015873015817
hgb_l2_leaf20_live,ret3,0.0,0.0
hgb_l2_leaf20_live,breakout20,0.0,0.0
hgb_l2_leaf20_live,breakout60,0.0,0.0
hgb_l2_leaf20_live,breakdown20,0.0,0.0
hgb_l2_leaf20_live,breakdown60,0.0,0.0
hgb_l2_leaf20_live,below200,0.0,0.0
hgb_l2_leaf20_live,component_b20_vol_count,0.0,0.0
hgb_l2_leaf20_live,component_b60_vol_count,0.0,0.0
hgb_l2_leaf20_live,component_vol_down_count,0.0,0.0
hgb_l2_leaf20_live,component_bd20_vol_count,0.0,0.0
hgb_l2_leaf20_live,weighted_b20_vol,0.0,0.0
hgb_l2_leaf20_live,weighted_b60_vol,0.0,0.0
hgb_l2_leaf20_live,weighted_bd20_vol,0.0,0.0
hgb_l2_leaf20_live,avg_component_vr,0.0,0.0
hgb_l2_leaf20_live,regime_bull,0.0,0.0
hgb_l2_leaf20_live,regime_range,0.0,0.0
hgb_l2_leaf20_live,regime_bear,0.0,0.0
rf_depth4_leaf20_live,ma50_over_ma200,0.11507936507936505,0.020998026278290415
rf_depth4_leaf20_live,base_position_v3,0.05476190476190472,0.013137258220037185
rf_depth4_leaf20_live,ma200_slope20,0.049999999999999975,0.008171135032529388
rf_depth4_leaf20_live,dist_sup60,0.02539682539682535,0.01342185279784743
rf_depth4_leaf20_live,dist_sup20,0.02301587301587298,0.008093681767607603
rf_depth4_leaf20_live,ret10,0.019047619047619025,0.010163689265766438
rf_depth4_leaf20_live,component_above200_breadth,0.019047619047619,0.00769472993240687
rf_depth4_leaf20_live,ret5,0.011904761904761862,0.0
rf_depth4_leaf20_live,dist_ma20,0.00952380952380949,0.0064476495274888345
rf_depth4_leaf20_live,ret1,0.005555555555555536,0.0019440394783993406
rf_depth4_leaf20_live,ret3,0.0031746031746031633,0.0015873015873015817
rf_depth4_leaf20_live,breakdown20,0.0031746031746031633,0.0015873015873015817
rf_depth4_leaf20_live,component_b20_vol_count,0.0031746031746031633,0.0015873015873015817
rf_depth4_leaf20_live,component_b60_vol_count,0.0031746031746031633,0.0015873015873015817
rf_depth4_leaf20_live,weighted_b60_vol,0.0031746031746031633,0.0015873015873015817
rf_depth4_leaf20_live,weighted_bd20_vol,0.0031746031746031633,0.0015873015873015817
rf_depth4_leaf20_live,component_bd20_vol_count,0.0023809523809523725,0.0019440394783993406
rf_depth4_leaf20_live,regime_bear,0.0023809523809523725,0.0031746031746031633
rf_depth4_leaf20_live,volume_ratio60,0.0015873015873015817,0.0031746031746031633
rf_depth4_leaf20_live,weighted_vol_down,0.0015873015873015817,0.0031746031746031633
rf_depth4_leaf20_live,weighted_b20_vol,0.0007936507936507908,0.0015873015873015817
rf_depth4_leaf20_live,breakout20,0.0,0.0
rf_depth4_leaf20_live,breakout60,0.0,0.0
rf_depth4_leaf20_live,breakdown60,0.0,0.0
rf_depth4_leaf20_live,dist_res20,0.0,0.003549314249999654
rf_depth4_leaf20_live,dist_ma200,-0.0007936507936508131,0.005264483794214932
rf_depth4_leaf20_live,avg_component_vr,-0.0007936507936508131,0.00462773959908359
rf_depth4_leaf20_live,below200,-0.0015873015873015817,0.0031746031746031633
rf_depth4_leaf20_live,component_vol_down_count,-0.0023809523809523946,0.005382801573908963
rf_depth4_leaf20_live,ret20,-0.003968253968253998,0.0043470044246442015
rf_depth4_leaf20_live,dist_ma50,-0.011904761904761973,0.0025097441747368
rf_depth4_leaf20_live,regime_range,-0.013492063492063555,0.0031746031746031633
rf_depth4_leaf20_live,regime_bull,-0.014285714285714323,0.011931187601883244
