model,feature,importance,importance_std
hgb_l2_leaf20_live,dist_sup60,0.10322580645161294,0.051612903225806445
hgb_l2_leaf20_live,dist_res20,0.06774193548387099,0.02580645161290323
hgb_l2_leaf20_live,dist_sup20,0.048387096774193575,0.02280989616730798
hgb_l2_leaf20_live,weighted_b60_vol,0.02258064516129036,0.0079015798154296
hgb_l2_leaf20_live,ma50_over_ma200,0.016129032258064536,0.014426245016127688
hgb_l2_leaf20_live,dist_ma200,0.012903225806451646,0.006451612903225823
hgb_l2_leaf20_live,weighted_b20_vol,0.009677419354838745,0.012903225806451623
hgb_l2_leaf20_live,weighted_vol_down,0.009677419354838745,0.021878483816533126
hgb_l2_leaf20_live,ret5,0.009677419354838724,0.021878483816533126
hgb_l2_leaf20_live,dist_ma20,0.0064516129032258455,0.019354838709677424
hgb_l2_leaf20_live,component_above200_breadth,2.2204460492503132e-17,0.014426245016127688
hgb_l2_leaf20_live,breakout20,0.0,0.0
hgb_l2_leaf20_live,breakdown20,0.0,0.0
hgb_l2_leaf20_live,breakdown60,0.0,0.0
hgb_l2_leaf20_live,below200,0.0,0.0
hgb_l2_leaf20_live,component_b60_vol_count,0.0,0.0
hgb_l2_leaf20_live,component_bd20_vol_count,0.0,0.0
hgb_l2_leaf20_live,regime_bull,0.0,0.0
hgb_l2_leaf20_live,regime_range,0.0,0.0
hgb_l2_leaf20_live,regime_bear,0.0,0.0
hgb_l2_leaf20_live,avg_component_vr,-0.0032258064516128893,0.01880952224143646
hgb_l2_leaf20_live,component_vol_down_count,-0.0032258064516129,0.0064516129032258
hgb_l2_leaf20_live,dist_ma50,-0.006451612903225779,0.029914898372566782
hgb_l2_leaf20_live,ret1,-0.00967741935483869,0.026206575498825675
hgb_l2_leaf20_live,weighted_bd20_vol,-0.00967741935483869,0.012903225806451623
hgb_l2_leaf20_live,base_position_v3,-0.01290322580645159,0.03592106040535497
hgb_l2_leaf20_live,ret10,-0.01290322580645159,0.03444218790977841
hgb_l2_leaf20_live,component_b20_vol_count,-0.0129032258064516,0.0064516129032258
hgb_l2_leaf20_live,volume_ratio60,-0.019354838709677392,0.03127535391881501
hgb_l2_leaf20_live,ma200_slope20,-0.019354838709677403,0.012069862537980446
hgb_l2_leaf20_live,breakout60,-0.019354838709677403,0.0064516129032258
hgb_l2_leaf20_live,ret3,-0.0258064516129032,0.021878483816533106
hgb_l2_leaf20_live,ret20,-0.0419354838709677,0.0079015798154296
rf_depth4_leaf20_live,ma50_over_ma200,0.0354838709677419,0.012069862537980446
rf_depth4_leaf20_live,dist_sup20,0.0258064516129032,0.01644845004384768
rf_depth4_leaf20_live,component_above200_breadth,0.016129032258064502,0.017668469596940826
rf_depth4_leaf20_live,dist_ma200,0.009677419354838701,0.012903225806451602
rf_depth4_leaf20_live,dist_sup60,0.0064516129032258,0.0079015798154296
rf_depth4_leaf20_live,dist_res20,0.006451612903225779,0.01290322580645164
rf_depth4_leaf20_live,ret1,0.0,0.0
rf_depth4_leaf20_live,dist_ma20,0.0,0.0
rf_depth4_leaf20_live,breakout20,0.0,0.0
rf_depth4_leaf20_live,breakout60,0.0,0.0
rf_depth4_leaf20_live,breakdown20,0.0,0.0
rf_depth4_leaf20_live,breakdown60,0.0,0.0
rf_depth4_leaf20_live,below200,0.0,0.0
rf_depth4_leaf20_live,component_b20_vol_count,0.0,0.0
rf_depth4_leaf20_live,component_b60_vol_count,0.0,0.0
rf_depth4_leaf20_live,component_vol_down_count,0.0,0.0
rf_depth4_leaf20_live,component_bd20_vol_count,0.0,0.0
rf_depth4_leaf20_live,weighted_b60_vol,0.0,0.0
rf_depth4_leaf20_live,weighted_vol_down,0.0,0.0
rf_depth4_leaf20_live,weighted_bd20_vol,0.0,0.0
rf_depth4_leaf20_live,regime_bull,0.0,0.0
rf_depth4_leaf20_live,regime_range,0.0,0.0
rf_depth4_leaf20_live,regime_bear,0.0,0.0
rf_depth4_leaf20_live,base_position_v3,-0.0064516129032258455,0.024139725075960936
rf_depth4_leaf20_live,dist_ma50,-0.0064516129032258455,0.016448450043847724
rf_depth4_leaf20_live,ma200_slope20,-0.0064516129032258455,0.007901579815429655
rf_depth4_leaf20_live,weighted_b20_vol,-0.0064516129032258455,0.007901579815429655
rf_depth4_leaf20_live,ret10,-0.012903225806451646,0.015803159630859254
rf_depth4_leaf20_live,ret3,-0.012903225806451691,0.0064516129032258455
rf_depth4_leaf20_live,volume_ratio60,-0.012903225806451691,0.0064516129032258455
rf_depth4_leaf20_live,ret5,-0.016129032258064592,0.01020089567796254
rf_depth4_leaf20_live,ret20,-0.01935483870967749,0.01206986253798048
rf_depth4_leaf20_live,avg_component_vr,-0.022580645161290415,0.0079015798154296
